"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 13 03:02:25 GMT 2023","Sun Aug 13 03:02:25 GMT 2023","9","tests.unit.db","test_cursor","","","","test_cursor_fetchone","cursor fetchone fetches single row in correct order; if no rows returns None."
"passed","Sun Aug 13 03:02:13 GMT 2023","Sun Aug 13 03:02:13 GMT 2023","0","tests.unit.async_db","test_typing_format","","","","test_format_value[value11-'2022-01-10']",""
"passed","Sun Aug 13 03:02:26 GMT 2023","Sun Aug 13 03:02:26 GMT 2023","15","tests.unit.db","test_cursor","","","","test_cursor_multi_statement","executemany with multiple parameter sets is not supported."
"passed","Sun Aug 13 03:02:25 GMT 2023","Sun Aug 13 03:02:25 GMT 2023","21","tests.unit.db","test_cursor","","","","test_cursor_execute_error","Cursor handles all types of errors properly."
"passed","Sun Aug 13 03:02:19 GMT 2023","Sun Aug 13 03:02:19 GMT 2023","1","tests.unit.common","test_settings","","","","test_settings_auth_credentials[kwargs1]",""
"passed","Sun Aug 13 03:02:13 GMT 2023","Sun Aug 13 03:02:13 GMT 2023","1","tests.unit.async_db","test_typing_format","","","","test_format_value[some\x00value-'some\\0value']",""
"passed","Sun Aug 13 03:02:08 GMT 2023","Sun Aug 13 03:02:08 GMT 2023","254","tests.unit.async_db","test_connection","","","","test_connect_with_auth",""
"passed","Sun Aug 13 03:02:14 GMT 2023","Sun Aug 13 03:02:14 GMT 2023","342","tests.unit.client","test_client","","","","test_client_different_auths","
    Client properly handles such auth types:
    - tuple(username, password)
    - Auth
    - None
    All other types should raise TypeError.
    "
"passed","Sun Aug 13 03:02:28 GMT 2023","Sun Aug 13 03:02:28 GMT 2023","188","tests.unit.service","test_database","","","","test_database_create",""
"passed","Sun Aug 13 03:02:33 GMT 2023","Sun Aug 13 03:02:33 GMT 2023","1","tests.unit.utils","test_usage_tracker","","","","test_detect_connectors[stack5-map5-expected5]",""
"passed","Sun Aug 13 03:02:13 GMT 2023","Sun Aug 13 03:02:13 GMT 2023","0","tests.unit.async_db","test_typing_format","","","","test_statement_to_set[statement1-result1]",""
"passed","Sun Aug 13 03:02:19 GMT 2023","Sun Aug 13 03:02:19 GMT 2023","80","tests.unit.common","test_settings","","","","test_no_deprecation_warning_with_env",""
"passed","Sun Aug 13 03:02:23 GMT 2023","Sun Aug 13 03:02:23 GMT 2023","1","tests.unit.db","test_connection","","","","test_connection_commit",""
"passed","Sun Aug 13 03:02:21 GMT 2023","Sun Aug 13 03:02:22 GMT 2023","412","tests.unit.db","test_connection","","","","test_connect_engine_name","connect properly handles engine_name"
"passed","Sun Aug 13 03:02:24 GMT 2023","Sun Aug 13 03:02:24 GMT 2023","8","tests.unit.db","test_cursor","","","","test_cursor_no_query","Some of cursor methods are unavailable until a query is run."
"passed","Sun Aug 13 03:02:13 GMT 2023","Sun Aug 13 03:02:13 GMT 2023","0","tests.unit.async_db","test_typing_format","","","","test_format_value[None-NULL]",""
"passed","Sun Aug 13 03:02:13 GMT 2023","Sun Aug 13 03:02:13 GMT 2023","2","tests.unit.async_db","test_typing_format","","","","test_split_format_sql[insert into t values (1, 2);select * from t;-params6-result6]",""
"passed","Sun Aug 13 03:02:14 GMT 2023","Sun Aug 13 03:02:14 GMT 2023","237","tests.unit.client","test_client","","","","test_client_account_id",""
"passed","Sun Aug 13 03:02:19 GMT 2023","Sun Aug 13 03:02:19 GMT 2023","586","tests.unit.client.auth","test_request_auth","","","","test_auth_error_handling[ServiceAccount]","Auth handles various errors properly."
"passed","Sun Aug 13 03:02:14 GMT 2023","Sun Aug 13 03:02:14 GMT 2023","1","tests.unit.async_db","test_typing_parse","","","","test_parse_value_datetime[None-None-None provided]","parse_value parses all date values correctly."
"passed","Sun Aug 13 03:02:13 GMT 2023","Sun Aug 13 03:02:13 GMT 2023","1","tests.unit.async_db","test_typing_format","","","","test_split_format_sql[select * from t-params1-result1]",""
"passed","Sun Aug 13 03:02:13 GMT 2023","Sun Aug 13 03:02:13 GMT 2023","0","tests.unit.async_db","test_typing_format","","","","test_format_statement[statement2-params2-select * from table where id == '?']",""
"passed","Sun Aug 13 03:02:31 GMT 2023","Sun Aug 13 03:02:32 GMT 2023","482","tests.unit.service","test_resource_manager","","","","test_rm_credentials","Credentials, that are passed to rm are processed properly."
"passed","Sun Aug 13 03:02:25 GMT 2023","Sun Aug 13 03:02:25 GMT 2023","16","tests.unit.db","test_cursor","","","","test_cursor_execute","Cursor is able to execute query, all fields are populated properly."
"passed","Sun Aug 13 03:02:08 GMT 2023","Sun Aug 13 03:02:09 GMT 2023","94","tests.unit.async_db","test_connection","","","","test_connect_no_user_agent",""
"passed","Sun Aug 13 03:02:28 GMT 2023","Sun Aug 13 03:02:28 GMT 2023","162","tests.unit.service","test_database","","","","test_database_update",""
"passed","Sun Aug 13 03:02:08 GMT 2023","Sun Aug 13 03:02:08 GMT 2023","97","tests.unit.async_db","test_connection","","","","test_connect_with_user_agent",""
"passed","Sun Aug 13 03:02:13 GMT 2023","Sun Aug 13 03:02:13 GMT 2023","1","tests.unit.async_db","test_typing_format","","","","test_format_value[test' OR '1' == '1-'test\\' OR \\'1\\' == \\'1']",""
"passed","Sun Aug 13 03:02:33 GMT 2023","Sun Aug 13 03:02:33 GMT 2023","16","tests.unit.utils","test_usage_tracker","","","","test_user_agent[drivers3-clients3-PythonSDK/2 (Python 1; Win; ciso) ConnectorA/0.1.1 ConnectorB/0.2.0]",""
"passed","Sun Aug 13 03:02:19 GMT 2023","Sun Aug 13 03:02:19 GMT 2023","0","tests.unit.client.auth","test_token","","","","test_token_expired","Authorization error is raised when token expires."
"passed","Sun Aug 13 03:02:14 GMT 2023","Sun Aug 13 03:02:14 GMT 2023","0","tests.unit.async_db","test_typing_parse","","","","test_parse_value_date[2021-12-31 23:59:59-expected4-datetime provided]","parse_value parses all date values correctly."
"passed","Sun Aug 13 03:02:21 GMT 2023","Sun Aug 13 03:02:21 GMT 2023","328","tests.unit.db","test_connection","","","","test_cursor_initialized","Connection initialized its cursors properly."
"passed","Sun Aug 13 03:02:19 GMT 2023","Sun Aug 13 03:02:19 GMT 2023","1","tests.unit.common","test_settings","","","","test_settings_happy_path[fields1]",""
"passed","Sun Aug 13 03:02:12 GMT 2023","Sun Aug 13 03:02:12 GMT 2023","200","tests.unit.async_db","test_cursor","","","","test_cursor_server_side_async_cancel","
    Cursor is able to cancel query server-side asynchronously and
    query_id is returned.
    "
"passed","Sun Aug 13 03:02:33 GMT 2023","Sun Aug 13 03:02:33 GMT 2023","15","tests.unit.utils","test_usage_tracker","","","","test_incorrect_user_agent[Connector1.1-clients2]",""
"passed","Sun Aug 13 03:02:20 GMT 2023","Sun Aug 13 03:02:20 GMT 2023","150","tests.unit.common","test_token_storage","","","","test_token_storage_wrong_parameter","
    Test getting token with different username or password.
    "
"passed","Sun Aug 13 03:02:19 GMT 2023","Sun Aug 13 03:02:19 GMT 2023","87","tests.unit.client.auth","test_token","","","","test_token_invalid","Authorization error raised when token is invalid."
"passed","Sun Aug 13 03:02:07 GMT 2023","Sun Aug 13 03:02:08 GMT 2023","536","tests.unit.async_db","test_connection","","","","test_connection_token_caching",""
"passed","Sun Aug 13 03:02:20 GMT 2023","Sun Aug 13 03:02:20 GMT 2023","176","tests.unit.common","test_token_storage","","","","test_token_storage_happy_path","
    Test storage happy path cache token and get token
    "
"passed","Sun Aug 13 03:02:30 GMT 2023","Sun Aug 13 03:02:30 GMT 2023","225","tests.unit.service","test_engine","","","","test_attach_to_database",""
"passed","Sun Aug 13 03:02:13 GMT 2023","Sun Aug 13 03:02:13 GMT 2023","1","tests.unit.async_db","test_typing_format","","","","test_statement_to_set[statement2-result2]",""
"passed","Sun Aug 13 03:02:13 GMT 2023","Sun Aug 13 03:02:13 GMT 2023","3","tests.unit.async_db","test_typing_format","","","","test_split_format_sql[select * from t;insert into t values (1, 2)-params5-result5]",""
"passed","Sun Aug 13 03:02:10 GMT 2023","Sun Aug 13 03:02:11 GMT 2023","199","tests.unit.async_db","test_cursor","","","","test_cursor_fetchall","cursor fetchall fetches all rows remaining after last query."
