"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 11:43:38 GMT 2024","Mon Jan 22 11:43:38 GMT 2024","1","tests.unit.utils","test_usage_tracker","","","","test_detect_connectors[stack1-map1-expected1]",""
"passed","Mon Jan 22 11:43:24 GMT 2024","Mon Jan 22 11:43:24 GMT 2024","5","tests.unit.db.V1","test_cursor","","","","test_cursor_fetchone","cursor fetchone fetches single row in correct order; if no rows returns None."
"passed","Mon Jan 22 11:43:16 GMT 2024","Mon Jan 22 11:43:16 GMT 2024","132","tests.unit.async_db.V2","test_cursor","","","","test_cursor_server_side_async_cancel","
    Cursor is able to cancel query server-side asynchronously and
    query_id is returned.
    "
"passed","Mon Jan 22 11:43:19 GMT 2024","Mon Jan 22 11:43:19 GMT 2024","41","tests.unit.client.V2","test_client_async","","","","test_client_account_id",""
"passed","Mon Jan 22 11:43:10 GMT 2024","Mon Jan 22 11:43:10 GMT 2024","0","tests.unit.async_db.V1","test_typing_format","","","","test_format_value[value11-'2022-01-10']",""
"passed","Mon Jan 22 11:43:10 GMT 2024","Mon Jan 22 11:43:10 GMT 2024","0","tests.unit.async_db.V1","test_typing_format","","","","test_split_format_sql[-params0-result0]",""
"passed","Mon Jan 22 11:43:22 GMT 2024","Mon Jan 22 11:43:23 GMT 2024","298","tests.unit.db.V1","test_connection","","","","test_connection_token_caching",""
"passed","Mon Jan 22 11:43:32 GMT 2024","Mon Jan 22 11:43:32 GMT 2024","2","tests.unit.db.V2","test_cursor","","","","test_cursor_unknown_error_body_logging",""
"passed","Mon Jan 22 11:43:18 GMT 2024","Mon Jan 22 11:43:18 GMT 2024","0","tests.unit.async_db.V2","test_typing_parse","","","","test_parse_value_datetime[2021-12-31-expected6-date provided]","parse_value parses all date values correctly."
"passed","Mon Jan 22 11:43:21 GMT 2024","Mon Jan 22 11:43:21 GMT 2024","45","tests.unit.common","test_token_storage","","","","test_token_storage_wrong_parameter","
    Test getting token with different username or password.
    "
"passed","Mon Jan 22 11:43:26 GMT 2024","Mon Jan 22 11:43:26 GMT 2024","0","tests.unit.db.V2","test_connection","","","","test_cursors_closed_on_close","Connection closes all its cursors on close."
"passed","Mon Jan 22 11:43:39 GMT 2024","Mon Jan 22 11:43:39 GMT 2024","11","tests.unit.utils","test_usage_tracker","","","","test_user_agent[drivers1-clients1-PythonSDK/2 (Python 1; Win; ciso) ConnectorA/0.1.1]",""
"passed","Mon Jan 22 11:43:10 GMT 2024","Mon Jan 22 11:43:10 GMT 2024","0","tests.unit.async_db.V1","test_typing_format","","","","test_format_statement_errors",""
"passed","Mon Jan 22 11:43:18 GMT 2024","Mon Jan 22 11:43:18 GMT 2024","1","tests.unit.async_db.V2","test_typing_parse","","","","test_parse_value_date[None-None-None provided]","parse_value parses all date values correctly."
"passed","Mon Jan 22 11:43:10 GMT 2024","Mon Jan 22 11:43:10 GMT 2024","0","tests.unit.async_db.V1","test_typing_format","","","","test_format_statement[statement5-params5-select * from t where id == '\\' or \\'\\' == \\'']",""
"passed","Mon Jan 22 11:43:11 GMT 2024","Mon Jan 22 11:43:11 GMT 2024","0","tests.unit.async_db.V1","test_typing_parse","","","","test_helpers","All provided helper functions work properly."
"passed","Mon Jan 22 11:43:39 GMT 2024","Mon Jan 22 11:43:39 GMT 2024","10","tests.unit.utils","test_usage_tracker","","","","test_user_agent[drivers0-clients0-PythonSDK/2 (Python 1; Win; ciso)]",""
"passed","Mon Jan 22 11:43:27 GMT 2024","Mon Jan 22 11:43:27 GMT 2024","175","tests.unit.db.V2","test_connection","","","","test_connect_database",""
"passed","Mon Jan 22 11:43:11 GMT 2024","Mon Jan 22 11:43:12 GMT 2024","319","tests.unit.async_db.V2","test_connection","","","","test_connect_engine_name","connect properly handles engine_name"
"passed","Mon Jan 22 11:43:10 GMT 2024","Mon Jan 22 11:43:10 GMT 2024","0","tests.unit.async_db.V1","test_typing_format","","","","test_format_value[value15-[1, 2, 3]]",""
"passed","Mon Jan 22 11:43:27 GMT 2024","Mon Jan 22 11:43:27 GMT 2024","50","tests.unit.db.V2","test_connection","","","","test_connect_system_engine_404",""
"passed","Mon Jan 22 11:43:39 GMT 2024","Mon Jan 22 11:43:39 GMT 2024","10","tests.unit.utils","test_usage_tracker","","","","test_incorrect_user_agent[drivers3-clients3]",""
"passed","Mon Jan 22 11:43:10 GMT 2024","Mon Jan 22 11:43:10 GMT 2024","91","tests.unit.async_db.V1","test_cursor","","","","test_server_side_header_database",""
