"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 22 03:08:53 GMT 2024","Tue Oct 22 03:08:53 GMT 2024","4","tests.unit.V1.db","test_cursor","","","","test_cursor_skip_parse","Cursor doesn't process a query if skip_parsing is provided."
"broken","Tue Oct 22 03:10:07 GMT 2024","Tue Oct 22 03:10:07 GMT 2024","1","tests.unit.utils","test_usage_tracker","","","","test_detect_connectors[stack4-map4-expected4]",""
"broken","Tue Oct 22 03:09:19 GMT 2024","Tue Oct 22 03:09:19 GMT 2024","0","tests.unit.common","test_base_cursor","","","","test_flush_parameters",""
"broken","Tue Oct 22 03:08:36 GMT 2024","Tue Oct 22 03:08:37 GMT 2024","120","tests.unit.V1.async_db","test_cursor","","","","test_cursor_multi_statement","executemany with multiple parameter sets is not supported."
"broken","Tue Oct 22 03:09:29 GMT 2024","Tue Oct 22 03:09:29 GMT 2024","1","tests.unit.common","test_typing_parse","","","","test_parse_value_float[-inf--inf-None]","parse_value parses all float values correctly."
"broken","Tue Oct 22 03:09:33 GMT 2024","Tue Oct 22 03:09:33 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_arrays[value0-expected0-int]",""
"broken","Tue Oct 22 03:09:33 GMT 2024","Tue Oct 22 03:09:33 GMT 2024","1","tests.unit.common","test_typing_parse","","","","test_parse_arrays[value1-expected1-int]",""
"broken","Tue Oct 22 03:09:16 GMT 2024","Tue Oct 22 03:09:16 GMT 2024","54","tests.unit.client.auth","test_auth","","","","test_auth_refresh_on_expiration","Auth refreshes the token on expiration."
"broken","Tue Oct 22 03:08:40 GMT 2024","Tue Oct 22 03:08:40 GMT 2024","1","tests.unit.V1.async_db","test_module","","","","test_has_exceptions","Verify async module has top-level dbapi exceptions exposed."
"broken","Tue Oct 22 03:08:41 GMT 2024","Tue Oct 22 03:08:41 GMT 2024","140","tests.unit.V1.client","test_client","","","","test_client_account_id",""
"broken","Tue Oct 22 03:09:31 GMT 2024","Tue Oct 22 03:09:31 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_value_date[None-None-None provided]","parse_value parses all date values correctly."
"broken","Tue Oct 22 03:09:31 GMT 2024","Tue Oct 22 03:09:31 GMT 2024","1","tests.unit.common","test_typing_parse","","","","test_parse_value_date[2021-12-31-expected0-str provided]","parse_value parses all date values correctly."
"broken","Tue Oct 22 03:09:16 GMT 2024","Tue Oct 22 03:09:16 GMT 2024","57","tests.unit.client.auth","test_auth","","","","test_auth_uses_same_token_if_valid","Auth reuses the token until it's expired."
"passed","Tue Oct 22 03:10:05 GMT 2024","Tue Oct 22 03:10:05 GMT 2024","360","tests.unit.service","test_resource_manager","","","","test_rm_token_cache","Credentials, that are passed to rm are cached properly."
