"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 11:32:19 GMT 2024","Tue Jul 02 11:32:20 GMT 2024","761","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select","Select handles all data types properly."
"passed","Tue Jul 02 11:36:44 GMT 2024","Tue Jul 02 11:36:44 GMT 2024","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Tue Jul 02 11:32:22 GMT 2024","Tue Jul 02 11:32:23 GMT 2024","597","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert","Insert and delete queries are handled properly."
"passed","Tue Jul 02 11:32:22 GMT 2024","Tue Jul 02 11:32:22 GMT 2024","101","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan",""
"passed","Tue Jul 02 11:32:18 GMT 2024","Tue Jul 02 11:32:18 GMT 2024","592","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan",""
"passed","Tue Jul 02 11:32:17 GMT 2024","Tue Jul 02 11:32:17 GMT 2024","579","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Jul 02 11:32:17 GMT 2024","Tue Jul 02 11:32:18 GMT 2024","1222","tests.integration.dbapi.async.V2","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"skipped","Tue Jul 02 11:32:16 GMT 2024","Tue Jul 02 11:32:16 GMT 2024","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Tue Jul 02 11:32:28 GMT 2024","Tue Jul 02 11:32:29 GMT 2024","865","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Tue Jul 02 11:32:22 GMT 2024","Tue Jul 02 11:32:22 GMT 2024","322","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Tue Jul 02 11:32:21 GMT 2024","Tue Jul 02 11:32:22 GMT 2024","95","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf",""
"skipped","Tue Jul 02 11:32:20 GMT 2024","Tue Jul 02 11:32:20 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Tue Jul 02 11:33:07 GMT 2024","Tue Jul 02 11:36:27 GMT 2024","200396","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Tue Jul 02 11:32:52 GMT 2024","Tue Jul 02 11:32:53 GMT 2024","1066","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Tue Jul 02 11:32:29 GMT 2024","Tue Jul 02 11:32:30 GMT 2024","325","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Tue Jul 02 11:32:30 GMT 2024","Tue Jul 02 11:33:07 GMT 2024","36750","tests.integration.resource_manager.V2","test_engine","","","","test_create_start_stop_engine",""
"passed","Tue Jul 02 11:32:18 GMT 2024","Tue Jul 02 11:32:20 GMT 2024","1760","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Tue Jul 02 11:32:24 GMT 2024","Tue Jul 02 11:32:28 GMT 2024","3504","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Tue Jul 02 11:32:22 GMT 2024","Tue Jul 02 11:32:22 GMT 2024","229","tests.integration.dbapi.sync.V2","test_queries","","","","test_select","Select handles all data types properly."
"passed","Tue Jul 02 11:32:20 GMT 2024","Tue Jul 02 11:32:52 GMT 2024","32724","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Tue Jul 02 11:32:17 GMT 2024","Tue Jul 02 11:32:18 GMT 2024","1164","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Tue Jul 02 11:32:18 GMT 2024","Tue Jul 02 11:32:19 GMT 2024","897","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Tue Jul 02 11:32:23 GMT 2024","Tue Jul 02 11:32:23 GMT 2024","360","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Tue Jul 02 11:32:18 GMT 2024","Tue Jul 02 11:32:18 GMT 2024","543","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf",""
"passed","Tue Jul 02 11:32:23 GMT 2024","Tue Jul 02 11:32:24 GMT 2024","1077","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Tue Jul 02 11:32:25 GMT 2024","Tue Jul 02 11:32:25 GMT 2024","78","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter",""
"passed","Tue Jul 02 11:32:20 GMT 2024","Tue Jul 02 11:32:20 GMT 2024","447","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter",""
"passed","Tue Jul 02 11:32:18 GMT 2024","Tue Jul 02 11:32:19 GMT 2024","812","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
"passed","Tue Jul 02 11:32:18 GMT 2024","Tue Jul 02 11:32:20 GMT 2024","1021","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Tue Jul 02 11:32:20 GMT 2024","Tue Jul 02 11:32:20 GMT 2024","122","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
