"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jun 14 14:24:43 GMT 2024","Fri Jun 14 14:24:43 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"skipped","Fri Jun 14 14:24:43 GMT 2024","Fri Jun 14 14:24:43 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Fri Jun 14 14:24:40 GMT 2024","Fri Jun 14 14:24:41 GMT 2024","1095","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select","Select handles all data types properly."
"passed","Fri Jun 14 14:26:07 GMT 2024","Fri Jun 14 14:26:07 GMT 2024","51","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Fri Jun 14 14:32:23 GMT 2024","Fri Jun 14 14:32:24 GMT 2024","660","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Fri Jun 14 14:25:29 GMT 2024","Fri Jun 14 14:26:38 GMT 2024","69459","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Fri Jun 14 14:24:51 GMT 2024","Fri Jun 14 14:24:51 GMT 2024","36","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_account",""
"passed","Fri Jun 14 14:32:16 GMT 2024","Fri Jun 14 14:32:17 GMT 2024","383","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter",""
"passed","Fri Jun 14 14:25:06 GMT 2024","Fri Jun 14 14:25:07 GMT 2024","818","tests.integration.dbapi.sync.V2","test_queries","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Fri Jun 14 14:24:44 GMT 2024","Fri Jun 14 14:24:44 GMT 2024","150","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Fri Jun 14 14:24:39 GMT 2024","Fri Jun 14 14:24:41 GMT 2024","1332","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Fri Jun 14 14:26:06 GMT 2024","Fri Jun 14 14:26:06 GMT 2024","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Fri Jun 14 14:26:06 GMT 2024","Fri Jun 14 14:26:06 GMT 2024","51","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Fri Jun 14 14:24:50 GMT 2024","Fri Jun 14 14:24:51 GMT 2024","236","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Fri Jun 14 14:24:48 GMT 2024","Fri Jun 14 14:24:50 GMT 2024","1529","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Fri Jun 14 14:24:41 GMT 2024","Fri Jun 14 14:24:43 GMT 2024","2018","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Fri Jun 14 14:24:47 GMT 2024","Fri Jun 14 14:24:47 GMT 2024","56","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter",""
"passed","Fri Jun 14 14:24:44 GMT 2024","Fri Jun 14 14:24:45 GMT 2024","730","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Fri Jun 14 14:24:48 GMT 2024","Fri Jun 14 14:24:49 GMT 2024","1521","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"skipped","Fri Jun 14 14:24:45 GMT 2024","Fri Jun 14 14:24:45 GMT 2024","0","tests.integration.dbapi.sync.V2","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Fri Jun 14 14:24:44 GMT 2024","Fri Jun 14 14:24:44 GMT 2024","57","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf",""
"passed","Fri Jun 14 14:24:45 GMT 2024","Fri Jun 14 14:24:46 GMT 2024","1611","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Fri Jun 14 14:24:54 GMT 2024","Fri Jun 14 14:24:54 GMT 2024","465","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"skipped","Fri Jun 14 14:24:39 GMT 2024","Fri Jun 14 14:24:39 GMT 2024","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Fri Jun 14 14:24:39 GMT 2024","Fri Jun 14 14:24:40 GMT 2024","1111","tests.integration.dbapi.async.V2","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Fri Jun 14 14:24:39 GMT 2024","Fri Jun 14 14:24:42 GMT 2024","2534","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"passed","Fri Jun 14 14:24:43 GMT 2024","Fri Jun 14 14:24:43 GMT 2024","29","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error","Connection properly reacts to sql execution error."
"passed","Fri Jun 14 14:24:47 GMT 2024","Fri Jun 14 14:24:49 GMT 2024","1530","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Fri Jun 14 14:24:45 GMT 2024","Fri Jun 14 14:24:46 GMT 2024","688","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Fri Jun 14 14:24:44 GMT 2024","Fri Jun 14 14:24:44 GMT 2024","177","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Fri Jun 14 14:24:40 GMT 2024","Fri Jun 14 14:32:16 GMT 2024","455966","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Fri Jun 14 14:26:06 GMT 2024","Fri Jun 14 14:26:06 GMT 2024","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Fri Jun 14 14:24:41 GMT 2024","Fri Jun 14 14:24:42 GMT 2024","960","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Fri Jun 14 14:24:41 GMT 2024","Fri Jun 14 14:24:42 GMT 2024","870","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Fri Jun 14 14:26:06 GMT 2024","Fri Jun 14 14:26:07 GMT 2024","51","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Fri Jun 14 14:24:46 GMT 2024","Fri Jun 14 14:24:47 GMT 2024","1161","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"skipped","Fri Jun 14 14:24:39 GMT 2024","Fri Jun 14 14:24:39 GMT 2024","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Fri Jun 14 14:24:47 GMT 2024","Fri Jun 14 14:24:48 GMT 2024","613","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert","Insert and delete queries are handled properly."
"passed","Fri Jun 14 14:24:39 GMT 2024","Fri Jun 14 14:24:41 GMT 2024","1296","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error","Connection properly reacts to SQL execution error."
"skipped","Fri Jun 14 14:24:43 GMT 2024","Fri Jun 14 14:24:43 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Fri Jun 14 14:24:42 GMT 2024","Fri Jun 14 14:24:42 GMT 2024","170","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db",""
"passed","Fri Jun 14 14:24:43 GMT 2024","Fri Jun 14 14:24:44 GMT 2024","887","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Fri Jun 14 14:24:39 GMT 2024","Fri Jun 14 14:24:40 GMT 2024","989","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Fri Jun 14 14:26:06 GMT 2024","Fri Jun 14 14:26:06 GMT 2024","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]",""
"passed","Fri Jun 14 14:24:51 GMT 2024","Fri Jun 14 14:25:29 GMT 2024","37590","tests.integration.resource_manager.V2","test_engine","","","","test_create_start_stop_engine",""
"passed","Fri Jun 14 14:24:45 GMT 2024","Fri Jun 14 14:24:45 GMT 2024","144","tests.integration.dbapi.sync.V2","test_queries","","","","test_select","Select handles all data types properly."
"passed","Fri Jun 14 14:24:46 GMT 2024","Fri Jun 14 14:24:46 GMT 2024","211","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Fri Jun 14 14:26:06 GMT 2024","Fri Jun 14 14:26:06 GMT 2024","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Fri Jun 14 14:24:50 GMT 2024","Fri Jun 14 14:24:54 GMT 2024","4018","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Fri Jun 14 14:24:43 GMT 2024","Fri Jun 14 14:24:43 GMT 2024","90","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Fri Jun 14 14:24:54 GMT 2024","Fri Jun 14 14:26:06 GMT 2024","71929","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"passed","Fri Jun 14 14:25:28 GMT 2024","Fri Jun 14 14:25:29 GMT 2024","985","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_use_engine",""
"passed","Fri Jun 14 14:24:42 GMT 2024","Fri Jun 14 14:24:46 GMT 2024","4199","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Fri Jun 14 14:25:20 GMT 2024","Fri Jun 14 14:25:21 GMT 2024","934","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Fri Jun 14 14:24:50 GMT 2024","Fri Jun 14 14:24:50 GMT 2024","272","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Fri Jun 14 14:24:49 GMT 2024","Fri Jun 14 14:24:50 GMT 2024","695","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Fri Jun 14 14:24:50 GMT 2024","Fri Jun 14 14:24:50 GMT 2024","615","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Fri Jun 14 14:24:42 GMT 2024","Fri Jun 14 14:24:43 GMT 2024","148","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_account",""
"passed","Fri Jun 14 14:26:06 GMT 2024","Fri Jun 14 14:26:06 GMT 2024","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"passed","Fri Jun 14 14:24:39 GMT 2024","Fri Jun 14 14:24:40 GMT 2024","467","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Fri Jun 14 14:24:42 GMT 2024","Fri Jun 14 14:24:42 GMT 2024","644","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Fri Jun 14 14:24:42 GMT 2024","Fri Jun 14 14:24:43 GMT 2024","815","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf",""
"passed","Fri Jun 14 14:24:47 GMT 2024","Fri Jun 14 14:24:48 GMT 2024","1861","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Fri Jun 14 14:24:40 GMT 2024","Fri Jun 14 14:24:41 GMT 2024","536","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan",""
"passed","Fri Jun 14 14:24:41 GMT 2024","Fri Jun 14 14:24:42 GMT 2024","906","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
"passed","Fri Jun 14 14:24:44 GMT 2024","Fri Jun 14 14:24:44 GMT 2024","59","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan",""
"passed","Fri Jun 14 14:24:51 GMT 2024","Fri Jun 14 14:24:51 GMT 2024","465","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"passed","Fri Jun 14 14:24:45 GMT 2024","Fri Jun 14 14:32:22 GMT 2024","457178","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Fri Jun 14 14:24:42 GMT 2024","Fri Jun 14 14:25:20 GMT 2024","38084","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
