"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 08 09:03:43 GMT 2024","Thu Aug 08 09:03:43 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_value_datetime[None-None-None provided]","parse_value parses all date values correctly."
"passed","Thu Aug 08 09:03:40 GMT 2024","Thu Aug 08 09:03:40 GMT 2024","87","tests.unit.client","test_client_async","","","","test_concurent_auth_lock",""
"passed","Thu Aug 08 09:03:40 GMT 2024","Thu Aug 08 09:03:40 GMT 2024","72","tests.unit.client","test_client_async","","","","test_client_clone",""
"passed","Thu Aug 08 09:03:54 GMT 2024","Thu Aug 08 09:03:54 GMT 2024","0","tests.unit.service","test_instance_type","","","","test_instance_types",""
"passed","Thu Aug 08 09:03:41 GMT 2024","Thu Aug 08 09:03:41 GMT 2024","58","tests.unit.client.auth","test_auth_async","","","","test_auth_uses_same_token_if_valid","Auth reuses the token until it's expired."
"passed","Thu Aug 08 09:03:42 GMT 2024","Thu Aug 08 09:03:42 GMT 2024","1","tests.unit.common","test_typing_format","","","","test_statement_to_set_errors[statement0-InterfaceError]",""
"passed","Thu Aug 08 09:03:43 GMT 2024","Thu Aug 08 09:03:43 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_value_float[1.1-1.1-None1]","parse_value parses all float values correctly."
"passed","Thu Aug 08 09:03:42 GMT 2024","Thu Aug 08 09:03:42 GMT 2024","29","tests.unit.common","test_token_storage","","","","test_multiple_tokens","
    Check that the TokenSecureStorage properly handles multiple tokens hashed.
    "
"passed","Thu Aug 08 09:03:42 GMT 2024","Thu Aug 08 09:03:42 GMT 2024","2","tests.unit.common","test_typing_format","","","","test_split_format_sql[insert into t values (1, 2);select * from t;-params6-result6]",""
"passed","Thu Aug 08 09:03:43 GMT 2024","Thu Aug 08 09:03:43 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_value_float[None-None-None]","parse_value parses all float values correctly."
"passed","Thu Aug 08 09:03:42 GMT 2024","Thu Aug 08 09:03:42 GMT 2024","2","tests.unit.common","test_typing_format","","","","test_split_format_sql[set \t\na     =   \t\n b   ; set c=d;-params9-result9]",""
"passed","Thu Aug 08 09:03:42 GMT 2024","Thu Aug 08 09:03:42 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_value_int[1-1-None1]","parse_value parses all int values correctly."
"passed","Thu Aug 08 09:03:22 GMT 2024","Thu Aug 08 09:03:22 GMT 2024","69","tests.unit.V1.async_db","test_connection","","","","test_connection_commit",""
"passed","Thu Aug 08 09:03:51 GMT 2024","Thu Aug 08 09:03:51 GMT 2024","4","tests.unit.service","test_database","","","","test_database_get",""
"passed","Thu Aug 08 09:03:33 GMT 2024","Thu Aug 08 09:03:33 GMT 2024","1","tests.unit.async_db","test_connection","","","","test_connect_empty_parameters",""
"passed","Thu Aug 08 09:03:43 GMT 2024","Thu Aug 08 09:03:43 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_value_float[a-None-ValueError]","parse_value parses all float values correctly."
"passed","Thu Aug 08 09:03:33 GMT 2024","Thu Aug 08 09:03:33 GMT 2024","111","tests.unit.async_db","test_connection","","","","test_cursor_initialized","Connection initialized its cursors properly."
"passed","Thu Aug 08 09:03:32 GMT 2024","Thu Aug 08 09:03:33 GMT 2024","110","tests.unit.async_db","test_connection","","","","test_closed_connection","Connection methods are unavailable for closed connection."
"passed","Thu Aug 08 09:03:42 GMT 2024","Thu Aug 08 09:03:42 GMT 2024","0","tests.unit.common","test_typing_format","","","","test_statement_to_set[statement7-None]",""
"passed","Thu Aug 08 09:03:43 GMT 2024","Thu Aug 08 09:03:43 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_value_float[-nan-nan-None]","parse_value parses all float values correctly."
"passed","Thu Aug 08 09:03:43 GMT 2024","Thu Aug 08 09:03:43 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_arrays[value2-expected2-int]",""
"passed","Thu Aug 08 09:03:42 GMT 2024","Thu Aug 08 09:03:42 GMT 2024","0","tests.unit.common","test_typing_format","","","","test_format_statement[statement1-params1-select * from table where id == 1]",""
"passed","Thu Aug 08 09:03:33 GMT 2024","Thu Aug 08 09:03:33 GMT 2024","77","tests.unit.async_db","test_connection","","","","test_connect_database_failed","connect properly handles use database errors"
"passed","Thu Aug 08 09:03:43 GMT 2024","Thu Aug 08 09:03:43 GMT 2024","1","tests.unit.common","test_typing_parse","","","","test_parse_value_bool[2-True-None]","parse_value parses all int values correctly."
"passed","Thu Aug 08 09:03:27 GMT 2024","Thu Aug 08 09:03:27 GMT 2024","204","tests.unit.V1.db","test_connection","","","","test_connect_engine_name","connect properly handles engine_name"
"passed","Thu Aug 08 09:03:32 GMT 2024","Thu Aug 08 09:03:32 GMT 2024","35","tests.unit.V1.service","test_engine","","","","test_engine_get_many",""
"passed","Thu Aug 08 09:03:55 GMT 2024","Thu Aug 08 09:03:55 GMT 2024","1","tests.unit.utils","test_usage_tracker","","","","test_detect_connectors[stack5-map5-expected5]",""
"passed","Thu Aug 08 09:03:28 GMT 2024","Thu Aug 08 09:03:28 GMT 2024","150","tests.unit.V1.db","test_connection","","","","test_connect_with_auth",""
"passed","Thu Aug 08 09:03:50 GMT 2024","Thu Aug 08 09:03:50 GMT 2024","3","tests.unit.service","test_database","","","","test_database_get_by_name",""
"passed","Thu Aug 08 09:03:53 GMT 2024","Thu Aug 08 09:03:53 GMT 2024","6","tests.unit.service","test_engine","","","","test_engine_new_status[STOPPING-STOPPING]",""
"passed","Thu Aug 08 09:03:29 GMT 2024","Thu Aug 08 09:03:29 GMT 2024","7","tests.unit.V1.db","test_cursor","","","","test_cursor_fetchone","cursor fetchone fetches single row in correct order; if no rows returns None."
