"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 18 12:48:17 GMT 2024","Tue Jun 18 12:48:19 GMT 2024","1194","tests.integration.dbapi.async.V2","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Tue Jun 18 12:48:37 GMT 2024","Tue Jun 18 12:48:38 GMT 2024","1156","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_use_engine",""
"passed","Tue Jun 18 12:48:22 GMT 2024","Tue Jun 18 12:48:28 GMT 2024","5928","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Tue Jun 18 12:48:31 GMT 2024","Tue Jun 18 12:48:32 GMT 2024","469","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"skipped","Tue Jun 18 12:48:21 GMT 2024","Tue Jun 18 12:48:21 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Tue Jun 18 12:48:20 GMT 2024","Tue Jun 18 12:48:21 GMT 2024","1184","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select","Select handles all data types properly."
"passed","Tue Jun 18 12:48:24 GMT 2024","Tue Jun 18 12:48:24 GMT 2024","86","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf",""
"skipped","Tue Jun 18 12:48:21 GMT 2024","Tue Jun 18 12:48:21 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Tue Jun 18 12:48:32 GMT 2024","Tue Jun 18 12:49:45 GMT 2024","73046","tests.integration.resource_manager.V2","test_engine","","","","test_create_start_stop_engine",""
"passed","Tue Jun 18 12:50:26 GMT 2024","Tue Jun 18 12:50:26 GMT 2024","55","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"skipped","Tue Jun 18 12:48:17 GMT 2024","Tue Jun 18 12:48:17 GMT 2024","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Tue Jun 18 12:48:30 GMT 2024","Tue Jun 18 12:48:31 GMT 2024","239","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Tue Jun 18 12:48:19 GMT 2024","Tue Jun 18 12:48:22 GMT 2024","2294","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Tue Jun 18 12:48:20 GMT 2024","Tue Jun 18 12:48:21 GMT 2024","228","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db",""
"passed","Tue Jun 18 12:48:17 GMT 2024","Tue Jun 18 12:48:19 GMT 2024","1311","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Tue Jun 18 12:48:19 GMT 2024","Tue Jun 18 12:56:05 GMT 2024","465820","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Jun 18 12:49:21 GMT 2024","Tue Jun 18 12:49:23 GMT 2024","1209","tests.integration.dbapi.sync.V2","test_queries","","","","test_connection_with_mixed_case_db_and_engine",""
"skipped","Tue Jun 18 12:48:22 GMT 2024","Tue Jun 18 12:48:22 GMT 2024","0","tests.integration.dbapi.sync.V2","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Tue Jun 18 12:48:27 GMT 2024","Tue Jun 18 12:48:29 GMT 2024","2125","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Tue Jun 18 12:48:17 GMT 2024","Tue Jun 18 12:48:19 GMT 2024","1494","tests.integration.dbapi.async.V2","test_errors_async","","","","test_structured_error","Connection properly reacts to structured error."
"passed","Tue Jun 18 12:48:21 GMT 2024","Tue Jun 18 12:48:21 GMT 2024","128","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_account",""
"passed","Tue Jun 18 12:50:26 GMT 2024","Tue Jun 18 12:50:26 GMT 2024","53","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Tue Jun 18 12:48:29 GMT 2024","Tue Jun 18 12:48:30 GMT 2024","1057","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Tue Jun 18 12:49:45 GMT 2024","Tue Jun 18 12:51:36 GMT 2024","110773","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Tue Jun 18 12:50:26 GMT 2024","Tue Jun 18 12:50:26 GMT 2024","53","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Tue Jun 18 12:48:30 GMT 2024","Tue Jun 18 12:48:31 GMT 2024","707","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Tue Jun 18 12:48:19 GMT 2024","Tue Jun 18 12:48:21 GMT 2024","1183","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Tue Jun 18 12:48:20 GMT 2024","Tue Jun 18 12:48:21 GMT 2024","1123","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Tue Jun 18 12:48:25 GMT 2024","Tue Jun 18 12:48:27 GMT 2024","2000","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Tue Jun 18 12:48:24 GMT 2024","Tue Jun 18 12:48:26 GMT 2024","1881","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Tue Jun 18 12:48:19 GMT 2024","Tue Jun 18 12:48:19 GMT 2024","699","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf",""
"passed","Tue Jun 18 12:48:18 GMT 2024","Tue Jun 18 12:48:19 GMT 2024","1071","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Tue Jun 18 12:48:31 GMT 2024","Tue Jun 18 12:48:37 GMT 2024","5530","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Tue Jun 18 12:48:32 GMT 2024","Tue Jun 18 12:48:32 GMT 2024","324","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"passed","Tue Jun 18 12:49:33 GMT 2024","Tue Jun 18 12:49:34 GMT 2024","1152","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Tue Jun 18 12:48:19 GMT 2024","Tue Jun 18 12:48:19 GMT 2024","482","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan",""
"passed","Tue Jun 18 12:56:05 GMT 2024","Tue Jun 18 12:56:05 GMT 2024","458","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter",""
"passed","Tue Jun 18 12:48:28 GMT 2024","Tue Jun 18 12:48:28 GMT 2024","205","tests.integration.dbapi.sync.V2","test_errors","","","","test_structured_error","Connection properly reacts to structured error."
"passed","Tue Jun 18 12:48:21 GMT 2024","Tue Jun 18 12:48:21 GMT 2024","110","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Jun 18 12:50:26 GMT 2024","Tue Jun 18 12:50:26 GMT 2024","55","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]",""
"passed","Tue Jun 18 12:49:43 GMT 2024","Tue Jun 18 12:49:43 GMT 2024","60","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_account",""
"passed","Tue Jun 18 12:48:24 GMT 2024","Tue Jun 18 12:48:25 GMT 2024","630","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert","Insert and delete queries are handled properly."
"passed","Tue Jun 18 12:48:30 GMT 2024","Tue Jun 18 12:48:31 GMT 2024","800","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Tue Jun 18 12:48:28 GMT 2024","Tue Jun 18 12:48:30 GMT 2024","1681","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Tue Jun 18 12:48:23 GMT 2024","Tue Jun 18 12:48:23 GMT 2024","91","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan",""
"passed","Tue Jun 18 12:50:26 GMT 2024","Tue Jun 18 12:50:26 GMT 2024","55","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Tue Jun 18 12:48:21 GMT 2024","Tue Jun 18 12:48:22 GMT 2024","1271","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Tue Jun 18 12:48:25 GMT 2024","Tue Jun 18 12:48:25 GMT 2024","81","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter",""
"passed","Tue Jun 18 12:48:24 GMT 2024","Tue Jun 18 12:56:09 GMT 2024","464651","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Jun 18 12:48:21 GMT 2024","Tue Jun 18 12:48:22 GMT 2024","471","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Tue Jun 18 12:48:21 GMT 2024","Tue Jun 18 12:49:33 GMT 2024","72704","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Tue Jun 18 12:48:22 GMT 2024","Tue Jun 18 12:48:22 GMT 2024","377","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Tue Jun 18 12:56:09 GMT 2024","Tue Jun 18 12:56:10 GMT 2024","795","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Tue Jun 18 12:48:19 GMT 2024","Tue Jun 18 12:48:20 GMT 2024","1176","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Tue Jun 18 12:50:26 GMT 2024","Tue Jun 18 12:50:26 GMT 2024","55","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"passed","Tue Jun 18 12:50:26 GMT 2024","Tue Jun 18 12:50:26 GMT 2024","55","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Tue Jun 18 12:48:23 GMT 2024","Tue Jun 18 12:48:24 GMT 2024","248","tests.integration.dbapi.sync.V2","test_queries","","","","test_select","Select handles all data types properly."
"skipped","Tue Jun 18 12:48:21 GMT 2024","Tue Jun 18 12:48:21 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Tue Jun 18 12:48:28 GMT 2024","Tue Jun 18 12:48:30 GMT 2024","2289","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Tue Jun 18 12:48:22 GMT 2024","Tue Jun 18 12:48:23 GMT 2024","477","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Tue Jun 18 12:48:27 GMT 2024","Tue Jun 18 12:48:28 GMT 2024","730","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Tue Jun 18 12:48:17 GMT 2024","Tue Jun 18 12:48:19 GMT 2024","1892","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error","Connection properly reacts to SQL execution error."
"passed","Tue Jun 18 12:48:17 GMT 2024","Tue Jun 18 12:48:18 GMT 2024","662","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Jun 18 12:50:26 GMT 2024","Tue Jun 18 12:50:26 GMT 2024","53","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Tue Jun 18 12:48:31 GMT 2024","Tue Jun 18 12:48:31 GMT 2024","572","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Tue Jun 18 12:48:19 GMT 2024","Tue Jun 18 12:48:20 GMT 2024","1275","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
"passed","Tue Jun 18 12:48:38 GMT 2024","Tue Jun 18 12:50:26 GMT 2024","107633","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"passed","Tue Jun 18 12:48:17 GMT 2024","Tue Jun 18 12:48:20 GMT 2024","2700","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"passed","Tue Jun 18 12:48:23 GMT 2024","Tue Jun 18 12:48:23 GMT 2024","244","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"skipped","Tue Jun 18 12:48:17 GMT 2024","Tue Jun 18 12:48:17 GMT 2024","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Tue Jun 18 12:48:22 GMT 2024","Tue Jun 18 12:48:22 GMT 2024","76","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error","Connection properly reacts to sql execution error."
