"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 12 03:19:38 GMT 2024","Thu Dec 12 03:19:38 GMT 2024","0","tests.unit.V1.db","test_connection","","","","test_connect_empty_parameters",""
"passed","Thu Dec 12 03:19:55 GMT 2024","Thu Dec 12 03:19:55 GMT 2024","12","tests.unit.db","test_cursor","","","","test_cursor_execute","Cursor is able to execute query, all fields are populated properly."
"passed","Thu Dec 12 03:19:49 GMT 2024","Thu Dec 12 03:19:49 GMT 2024","47","tests.unit.client","test_client_async","","","","test_client_different_auths","
    Client properly handles such auth types:
    - tuple(username, password)
    - Auth
    - None
    All other types should raise TypeError.
    "
"passed","Thu Dec 12 03:19:46 GMT 2024","Thu Dec 12 03:19:46 GMT 2024","98","tests.unit.async_db","test_cursor","","","","test_cursor_execute","Cursor is able to execute query, all fields are populated properly."
"passed","Thu Dec 12 03:20:03 GMT 2024","Thu Dec 12 03:20:03 GMT 2024","11","tests.unit.utils","test_usage_tracker","","","","test_user_agent[drivers2-clients2-PythonSDK/2 (Python 1; Win; ciso) ConnectorA/0.1.1 ConnectorB/0.2.0]",""
"passed","Thu Dec 12 03:19:51 GMT 2024","Thu Dec 12 03:19:51 GMT 2024","1","tests.unit.common","test_typing_format","","","","test_statement_to_set[statement0-None]",""
"passed","Thu Dec 12 03:19:52 GMT 2024","Thu Dec 12 03:19:52 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_value_datetime[9999-12-31 23:59:59.999999-expected2-range high provided]","parse_value parses all date values correctly."
"passed","Thu Dec 12 03:19:40 GMT 2024","Thu Dec 12 03:19:41 GMT 2024","13","tests.unit.V1.db","test_cursor","","","","test_cursor_multi_statement","executemany with multiple parameter sets is not supported."
"passed","Thu Dec 12 03:19:51 GMT 2024","Thu Dec 12 03:19:51 GMT 2024","0","tests.unit.common","test_typing_format","","","","test_format_value_errors",""
"passed","Thu Dec 12 03:19:39 GMT 2024","Thu Dec 12 03:19:39 GMT 2024","90","tests.unit.V1.db","test_connection","","","","test_connect_account_name",""
"passed","Thu Dec 12 03:19:53 GMT 2024","Thu Dec 12 03:19:53 GMT 2024","60","tests.unit.db","test_connection","","","","test_connect_database_failed","connect properly handles use database errors"
"passed","Thu Dec 12 03:19:43 GMT 2024","Thu Dec 12 03:19:43 GMT 2024","27","tests.unit.V1.service","test_resource_manager","","","","test_rm_invalid_account_name","Resource manager raises an error on invalid account name."
"passed","Thu Dec 12 03:19:56 GMT 2024","Thu Dec 12 03:19:56 GMT 2024","6","tests.unit.db","test_cursor","","","","test_cursor_fetchmany","
    Cursor's fetchmany fetches the provided amount of rows, or arraysize by
    default. If not enough rows left, returns less or None if there are no rows.
    "
"passed","Thu Dec 12 03:19:42 GMT 2024","Thu Dec 12 03:19:42 GMT 2024","36","tests.unit.V1.service","test_engine","","","","test_engine_start_stop",""
"passed","Thu Dec 12 03:20:03 GMT 2024","Thu Dec 12 03:20:03 GMT 2024","1","tests.unit.utils","test_utils","","","","test_parse_url_and_params[http://example.com/path-http://example.com/path-expected_params2]",""
"passed","Thu Dec 12 03:19:41 GMT 2024","Thu Dec 12 03:19:41 GMT 2024","4","tests.unit.V1.db","test_cursor","","","","test_cursor_unknown_error_body_logging",""
"passed","Thu Dec 12 03:20:03 GMT 2024","Thu Dec 12 03:20:03 GMT 2024","0","tests.unit.utils","test_utils","","","","test_parse_url_and_params[example.com/path?param1=-https://example.com/path-expected_params4]",""
"passed","Thu Dec 12 03:19:47 GMT 2024","Thu Dec 12 03:19:47 GMT 2024","98","tests.unit.async_db","test_cursor","","","","test_cursor_set_parameters_sent","Cursor passes provided set parameters to engine."
"passed","Thu Dec 12 03:20:03 GMT 2024","Thu Dec 12 03:20:03 GMT 2024","0","tests.unit.utils","test_utils","","","","test_parse_url_and_params[example.com/path?param1=value1&param2=value2-https://example.com/path-expected_params1]",""
"passed","Thu Dec 12 03:19:52 GMT 2024","Thu Dec 12 03:19:52 GMT 2024","1","tests.unit.common","test_typing_parse","","","","test_parse_value_datetime[0001-01-01 00:00:00.000000-expected1-range low provided]","parse_value parses all date values correctly."
"passed","Thu Dec 12 03:19:39 GMT 2024","Thu Dec 12 03:19:39 GMT 2024","30","tests.unit.V1.db","test_connection","","","","test_connection_unclosed_warnings",""
"passed","Thu Dec 12 03:19:52 GMT 2024","Thu Dec 12 03:19:52 GMT 2024","1","tests.unit.common","test_typing_parse","","","","test_parse_value_float[value12-None-TypeError]","parse_value parses all float values correctly."
"passed","Thu Dec 12 03:19:52 GMT 2024","Thu Dec 12 03:19:52 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_value_str[1-1]","parse_value parses all str values correctly."
"passed","Thu Dec 12 03:19:54 GMT 2024","Thu Dec 12 03:19:54 GMT 2024","26","tests.unit.db","test_connection","","","","test_connection_no_warnings",""
"passed","Thu Dec 12 03:19:51 GMT 2024","Thu Dec 12 03:19:51 GMT 2024","1","tests.unit.common","test_exceptions","","","","test_has_firebolt_error",""
"passed","Thu Dec 12 03:19:50 GMT 2024","Thu Dec 12 03:19:50 GMT 2024","0","tests.unit.client.auth","test_auth","","","","test_auth_adds_header","Auth adds required authentication headers to httpx.Request."
"passed","Thu Dec 12 03:19:51 GMT 2024","Thu Dec 12 03:19:51 GMT 2024","0","tests.unit.common","test_typing_format","","","","test_statement_to_set[statement2-result2]",""
"passed","Thu Dec 12 03:19:36 GMT 2024","Thu Dec 12 03:19:36 GMT 2024","62","tests.unit.V1.async_db","test_cursor","","","","test_cursor_skip_parse","Cursor doesn't process a query if skip_parsing is provided."
"passed","Thu Dec 12 03:19:37 GMT 2024","Thu Dec 12 03:19:37 GMT 2024","67","tests.unit.V1.client","test_client_async","","","","test_concurent_auth_lock",""
"passed","Thu Dec 12 03:19:52 GMT 2024","Thu Dec 12 03:19:52 GMT 2024","0","tests.unit.common","test_typing_parse","","","","test_parse_value_date[2021-12-31 23:59:59-expected4-datetime provided]","parse_value parses all date values correctly."
"passed","Thu Dec 12 03:19:51 GMT 2024","Thu Dec 12 03:19:51 GMT 2024","0","tests.unit.common","test_typing_format","","","","test_format_statement[statement2-params2-select * from table where id == '?']",""
"passed","Thu Dec 12 03:19:51 GMT 2024","Thu Dec 12 03:19:51 GMT 2024","0","tests.unit.common","test_typing_format","","","","test_format_value[abcd-'abcd']",""
"passed","Thu Dec 12 03:19:51 GMT 2024","Thu Dec 12 03:19:51 GMT 2024","0","tests.unit.common","test_typing_format","","","","test_split_format_sql[select * from t;-params2-result2]",""
"passed","Thu Dec 12 03:19:52 GMT 2024","Thu Dec 12 03:19:52 GMT 2024","0","tests.unit.common","test_typing_format","","","","test_statement_to_set_errors[statement2-InterfaceError]",""
"passed","Thu Dec 12 03:19:51 GMT 2024","Thu Dec 12 03:19:51 GMT 2024","0","tests.unit.common","test_typing_format","","","","test_format_value[some\x00value-'some\\0value']",""
"passed","Thu Dec 12 03:19:52 GMT 2024","Thu Dec 12 03:19:52 GMT 2024","1","tests.unit.common","test_typing_parse","","","","test_parse_value_bytes[1-None-DataError]","parse_value parses all int values correctly."
"passed","Thu Dec 12 03:19:39 GMT 2024","Thu Dec 12 03:19:39 GMT 2024","125","tests.unit.V1.db","test_connection","","","","test_connect_with_auth",""
"passed","Thu Dec 12 03:19:51 GMT 2024","Thu Dec 12 03:19:51 GMT 2024","0","tests.unit.common","test_typing_format","","","","test_format_value[value16-['a', 'b', 'c']]",""
"passed","Thu Dec 12 03:19:50 GMT 2024","Thu Dec 12 03:19:50 GMT 2024","48","tests.unit.client.auth","test_request_auth","","","","test_auth_service_account","Auth can retrieve token and expiration values."
"passed","Thu Dec 12 03:19:50 GMT 2024","Thu Dec 12 03:19:50 GMT 2024","45","tests.unit.client.auth","test_auth","","","","test_auth_uses_same_token_if_valid","Auth reuses the token until it's expired."
"passed","Thu Dec 12 03:20:03 GMT 2024","Thu Dec 12 03:20:03 GMT 2024","1","tests.unit.utils","test_usage_tracker","","","","test_detect_connectors[stack5-map5-expected5]",""
"passed","Thu Dec 12 03:19:52 GMT 2024","Thu Dec 12 03:19:52 GMT 2024","0","tests.unit.db","test_connection","","","","test_connection_attributes",""
"passed","Thu Dec 12 03:19:51 GMT 2024","Thu Dec 12 03:19:51 GMT 2024","1","tests.unit.common","test_typing_format","","","","test_split_format_sql[select * from t where id == ?;-params4-result4]",""
"passed","Thu Dec 12 03:20:03 GMT 2024","Thu Dec 12 03:20:03 GMT 2024","1","tests.unit.utils","test_usage_tracker","","","","test_detect_connectors[stack8-map8-expected8]",""
"passed","Thu Dec 12 03:19:35 GMT 2024","Thu Dec 12 03:19:35 GMT 2024","63","tests.unit.V1.async_db","test_cursor","","","","test_cursor_no_query","Some cursor methods are unavailable until a query is run."
"passed","Thu Dec 12 03:19:33 GMT 2024","Thu Dec 12 03:19:33 GMT 2024","80","tests.unit.V1.async_db","test_connection","","","","test_closed_connection","Connection methods are unavailable for closed connection."
