"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 12:50:28 GMT 2024","Fri Jun 07 12:50:29 GMT 2024","496","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan",""
"passed","Fri Jun 07 12:50:32 GMT 2024","Fri Jun 07 12:50:32 GMT 2024","268","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"broken","Fri Jun 07 12:50:27 GMT 2024","Fri Jun 07 12:50:28 GMT 2024","1430","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_stopped","Connection properly reacts to invalid engine name error."
"passed","Fri Jun 07 12:50:38 GMT 2024","Fri Jun 07 12:50:40 GMT 2024","1652","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"skipped","Fri Jun 07 12:50:40 GMT 2024","Fri Jun 07 12:50:40 GMT 2024","29","tests.integration.dbapi.sync.V2","test_queries","","","","test_use_database",""
"passed","Fri Jun 07 12:50:39 GMT 2024","Fri Jun 07 12:50:40 GMT 2024","495","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"skipped","Fri Jun 07 12:50:32 GMT 2024","Fri Jun 07 12:50:32 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Fri Jun 07 12:58:09 GMT 2024","Fri Jun 07 12:58:10 GMT 2024","766","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Fri Jun 07 12:50:36 GMT 2024","Fri Jun 07 12:50:37 GMT 2024","1599","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Fri Jun 07 12:52:52 GMT 2024","Fri Jun 07 12:52:52 GMT 2024","55","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
