"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 29 11:22:55 GMT 2025","Wed Oct 29 11:22:55 GMT 2025","1","tests.unit.common.cursor","test_statement_planners","","","","test_qmark_multi_statement_async_error","Test that multi-statement queries with async raise error."
"passed","Wed Oct 29 11:22:57 GMT 2025","Wed Oct 29 11:22:57 GMT 2025","0","tests.unit.common","test_typing_format","","","","test_format_value[value9-1.1229999999999999982236431605997495353221893310546875]",""
"passed","Wed Oct 29 11:22:59 GMT 2025","Wed Oct 29 11:22:59 GMT 2025","0","tests.unit.common","test_typing_parse","","","","test_parse_decimal[123-expected1]",""
"passed","Wed Oct 29 11:22:38 GMT 2025","Wed Oct 29 11:22:38 GMT 2025","98","tests.unit.async_db","test_cursor","","","","test_cursor_fetchmany","
    Cursor's fetchmany fetches the provided amount of rows, or arraysize by
    default. If not enough rows left, returns less or None if there are no rows.
    "
"passed","Wed Oct 29 11:22:57 GMT 2025","Wed Oct 29 11:22:57 GMT 2025","0","tests.unit.common","test_typing_format","","","","test_format_value[value8-1.123]",""
"passed","Wed Oct 29 11:22:59 GMT 2025","Wed Oct 29 11:22:59 GMT 2025","0","tests.unit.common","test_typing_parse","","","","test_parse_decimal[None-None]",""
"passed","Wed Oct 29 11:22:58 GMT 2025","Wed Oct 29 11:22:58 GMT 2025","0","tests.unit.common","test_typing_parse","","","","test_parse_value_float[nan-nan-None]","parse_value parses all float values correctly."
"passed","Wed Oct 29 11:22:57 GMT 2025","Wed Oct 29 11:22:57 GMT 2025","2","tests.unit.common.row_set","test_streaming_common","TestStreamingRowSetCommonBase","","","test_next_json_lines_record_from_line_start","Test _next_json_lines_record_from_line with START record."
"passed","Wed Oct 29 11:22:57 GMT 2025","Wed Oct 29 11:22:57 GMT 2025","0","tests.unit.common","test_types","","","","test_decimal_is_hashable","Test that DECIMAL type is hashable and can be used in dictionaries and sets."
"passed","Wed Oct 29 11:22:30 GMT 2025","Wed Oct 29 11:22:30 GMT 2025","97","tests.unit.V1.service","test_resource_manager","","","","test_rm_credentials","Credentials, that are passed to rm are processed properly."
"passed","Wed Oct 29 11:22:58 GMT 2025","Wed Oct 29 11:22:58 GMT 2025","0","tests.unit.common","test_typing_format","","","","test_statement_to_set[statement1-result1]",""
"passed","Wed Oct 29 11:22:16 GMT 2025","Wed Oct 29 11:22:16 GMT 2025","132","tests.unit.V1.async_db","test_connection","","","","test_connect_with_auth",""
"passed","Wed Oct 29 11:22:35 GMT 2025","Wed Oct 29 11:22:35 GMT 2025","79","tests.unit.async_db","test_connection","","","","test_connect_no_user_agent",""
"passed","Wed Oct 29 11:22:56 GMT 2025","Wed Oct 29 11:22:56 GMT 2025","2","tests.unit.common.row_set.asynchronous","test_in_memory","TestInMemoryAsyncRowSet","","","test_append_response_missing_data","Test appending a response with missing data field."
"passed","Wed Oct 29 11:22:43 GMT 2025","Wed Oct 29 11:22:43 GMT 2025","89","tests.unit.async_db","test_cursor","","","","test_cursor_execute_async_skip_parsing",""
"passed","Wed Oct 29 11:23:13 GMT 2025","Wed Oct 29 11:23:13 GMT 2025","3","tests.unit.db","test_cursor","","","","test_fb_numeric_parameter_formatting[test_params2-expected_query_params2]","Test that fb_numeric paramstyle formats parameters correctly for various types."
"passed","Wed Oct 29 11:22:17 GMT 2025","Wed Oct 29 11:22:17 GMT 2025","132","tests.unit.V1.async_db","test_connection","","","","test_from_asyncio",""
"passed","Wed Oct 29 11:22:56 GMT 2025","Wed Oct 29 11:22:56 GMT 2025","1","tests.unit.common.row_set.synchronous","test_streaming","TestStreamingRowSet","","","test_append_empty_response","Test appending an empty response."
"passed","Wed Oct 29 11:22:28 GMT 2025","Wed Oct 29 11:22:28 GMT 2025","1","tests.unit.V1.db","test_cursor","","","","test_disallowed_set_parameter[database]","Test that setting disallowed parameters raises an error."
"passed","Wed Oct 29 11:22:17 GMT 2025","Wed Oct 29 11:22:17 GMT 2025","64","tests.unit.V1.async_db","test_cursor","","","","test_cursor_no_query","Some cursor methods are unavailable until a query is run."
"passed","Wed Oct 29 11:22:56 GMT 2025","Wed Oct 29 11:22:56 GMT 2025","5","tests.unit.common.row_set.synchronous","test_in_memory","TestInMemoryRowSet","","","test_nextset_with_more_sets","Test nextset when there are more result sets."
"passed","Wed Oct 29 11:22:28 GMT 2025","Wed Oct 29 11:22:28 GMT 2025","1","tests.unit.V1.db","test_cursor","","","","test_disallowed_set_parameter[engine]","Test that setting disallowed parameters raises an error."
"passed","Wed Oct 29 11:23:03 GMT 2025","Wed Oct 29 11:23:03 GMT 2025","198","tests.unit.db","test_connection","","","","test_connect_system_engine_caching[True]",""
"passed","Wed Oct 29 11:22:58 GMT 2025","Wed Oct 29 11:22:58 GMT 2025","0","tests.unit.common","test_typing_format","","","","test_format_statement[statement5-params5-select * from t where id == ''' or '''' == ''']",""
"passed","Wed Oct 29 11:22:40 GMT 2025","Wed Oct 29 11:22:40 GMT 2025","99","tests.unit.async_db","test_cursor","","","","test_cursor_use_engine_no_parameters",""
"passed","Wed Oct 29 11:22:59 GMT 2025","Wed Oct 29 11:22:59 GMT 2025","0","tests.unit.common","test_typing_parse","","","","test_parse_arrays[None-None-str]",""
"passed","Wed Oct 29 11:22:44 GMT 2025","Wed Oct 29 11:22:44 GMT 2025","87","tests.unit.async_db","test_cursor","","","","test_fb_numeric_parameter_formatting[test_params4-expected_query_params4]","Test that fb_numeric paramstyle formats parameters correctly for various types."
"passed","Wed Oct 29 11:22:58 GMT 2025","Wed Oct 29 11:22:58 GMT 2025","0","tests.unit.common","test_typing_parse","","","","test_parse_value_float[None-None-None]","parse_value parses all float values correctly."
"passed","Wed Oct 29 11:23:15 GMT 2025","Wed Oct 29 11:23:15 GMT 2025","1","tests.unit.db","test_cursor","","","","test_executemany_bulk_insert_empty_params_fails","executemany with bulk_insert=True fails with empty parameters."
"passed","Wed Oct 29 11:22:59 GMT 2025","Wed Oct 29 11:22:59 GMT 2025","0","tests.unit.common","test_typing_parse","","","","test_split_struct_fields[a int, b text-expected0]",""
"passed","Wed Oct 29 11:22:19 GMT 2025","Wed Oct 29 11:22:19 GMT 2025","58","tests.unit.V1.client","test_client","","","","test_refresh_with_hooks","
    When hooks are used, the invalid token, fetched from cache, is refreshed
    "
"passed","Wed Oct 29 11:22:27 GMT 2025","Wed Oct 29 11:22:27 GMT 2025","7","tests.unit.V1.db","test_cursor","","","","test_cursor_fetchall","cursor fetchall fetches all rows that left after last query."
"passed","Wed Oct 29 11:22:45 GMT 2025","Wed Oct 29 11:22:45 GMT 2025","90","tests.unit.async_db","test_cursor","","","","test_fb_numeric_with_set_parameters","Test that fb_numeric paramstyle works correctly when cursor has pre-existing set parameters."
"passed","Wed Oct 29 11:22:49 GMT 2025","Wed Oct 29 11:22:49 GMT 2025","77","tests.unit.client","test_client_async","","","","test_concurent_auth_lock",""
"passed","Wed Oct 29 11:22:58 GMT 2025","Wed Oct 29 11:22:58 GMT 2025","1","tests.unit.common","test_typing_parse","","","","test_parse_value_int[1-1-None1]","parse_value parses all int values correctly."
"passed","Wed Oct 29 11:23:09 GMT 2025","Wed Oct 29 11:23:09 GMT 2025","6","tests.unit.db","test_cursor","","","","test_cursor_reset_session",""
"passed","Wed Oct 29 11:22:33 GMT 2025","Wed Oct 29 11:22:33 GMT 2025","90","tests.unit.async_db","test_connection","","","","test_cursor_initialized","Connection initialized its cursors properly."
"passed","Wed Oct 29 11:22:15 GMT 2025","Wed Oct 29 11:22:15 GMT 2025","79","tests.unit.V1.async_db","test_connection","","","","test_closed_connection","Connection methods are unavailable for closed connection."
"passed","Wed Oct 29 11:22:56 GMT 2025","Wed Oct 29 11:22:56 GMT 2025","1","tests.unit.common.row_set.synchronous","test_in_memory","TestInMemoryRowSet","","","test_append_empty_response","Test appending an empty response."
"passed","Wed Oct 29 11:23:02 GMT 2025","Wed Oct 29 11:23:02 GMT 2025","138","tests.unit.db","test_caching","","","","test_use_engine_parameters_caching","Test that USE ENGINE parameters are cached and correctly retrieved."
"passed","Wed Oct 29 11:22:58 GMT 2025","Wed Oct 29 11:22:58 GMT 2025","1","tests.unit.common","test_typing_format","","","","test_format_value[value14-'2022-01-10 00:01:01']",""
"passed","Wed Oct 29 11:23:16 GMT 2025","Wed Oct 29 11:23:16 GMT 2025","4","tests.unit.service","test_database","","","","test_database_get",""
"passed","Wed Oct 29 11:23:04 GMT 2025","Wed Oct 29 11:23:04 GMT 2025","81","tests.unit.db","test_connection","","","","test_connect_with_user_agent",""
"passed","Wed Oct 29 11:22:55 GMT 2025","Wed Oct 29 11:22:55 GMT 2025","0","tests.unit.common.cursor","test_statement_planners","","","","test_fb_numeric_planner_initialization","Test planner initialization."
"passed","Wed Oct 29 11:22:39 GMT 2025","Wed Oct 29 11:22:39 GMT 2025","97","tests.unit.async_db","test_cursor","","","","test_cursor_set_parameters_sent","Cursor passes provided set parameters to engine."
"passed","Wed Oct 29 11:22:56 GMT 2025","Wed Oct 29 11:22:56 GMT 2025","4","tests.unit.common.row_set.asynchronous","test_streaming","TestStreamingAsyncRowSet","","","test_malformed_record_format","Test handling of well-formed JSON but malformed record structure."
"passed","Wed Oct 29 11:22:57 GMT 2025","Wed Oct 29 11:22:57 GMT 2025","1","tests.unit.common","test_base_cursor","","","","test_remove_set_parameters[initial_set_params1-initial_params1-params_to_remove1-expected_set_params1-expected_params1]","Test removing parameters from cursor."
"passed","Wed Oct 29 11:23:03 GMT 2025","Wed Oct 29 11:23:03 GMT 2025","0","tests.unit.db","test_connection","","","","test_connection_unclosed_warnings",""
"passed","Wed Oct 29 11:23:17 GMT 2025","Wed Oct 29 11:23:17 GMT 2025","2","tests.unit.service","test_database","","","","test_database_update",""
"passed","Wed Oct 29 11:22:35 GMT 2025","Wed Oct 29 11:22:36 GMT 2025","202","tests.unit.async_db","test_connection","","","","test_connect_caching_headers",""
"passed","Wed Oct 29 11:22:59 GMT 2025","Wed Oct 29 11:22:59 GMT 2025","0","tests.unit.common","test_typing_parse","","","","test_parse_value_datetime[2021-12-31 23:59:59.1234-expected0-str provided]","parse_value parses all date values correctly."
"passed","Wed Oct 29 11:22:59 GMT 2025","Wed Oct 29 11:22:59 GMT 2025","0","tests.unit.common","test_typing_parse","","","","test_parse_value_bytes[\\x616263-abc-None]","parse_value parses all int values correctly."
"passed","Wed Oct 29 11:23:21 GMT 2025","Wed Oct 29 11:23:21 GMT 2025","0","tests.unit.utils","test_usage_tracker","","","","test_detect_connectors[stack5-map5-expected5]",""
"passed","Wed Oct 29 11:22:28 GMT 2025","Wed Oct 29 11:22:28 GMT 2025","6","tests.unit.V1.db","test_cursor","","","","test_server_side_header_database",""
"passed","Wed Oct 29 11:22:56 GMT 2025","Wed Oct 29 11:22:56 GMT 2025","2","tests.unit.common.row_set.asynchronous","test_streaming","TestStreamingAsyncRowSet","","","test_error_response","Test handling of error response."
"passed","Wed Oct 29 11:23:01 GMT 2025","Wed Oct 29 11:23:02 GMT 2025","225","tests.unit.db","test_caching","","","","test_calls_when_cache_expired","Test that expired cache entries trigger new backend requests."
"passed","Wed Oct 29 11:22:56 GMT 2025","Wed Oct 29 11:22:56 GMT 2025","2","tests.unit.common.row_set.asynchronous","test_in_memory","TestInMemoryAsyncRowSet","","","test_iteration","Test row iteration."
"passed","Wed Oct 29 11:22:58 GMT 2025","Wed Oct 29 11:22:58 GMT 2025","1","tests.unit.common","test_typing_format","","","","test_statement_to_set[statement2-result2]",""
