"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_parse_arrays[value4-expected4-str]","tests.unit.common","Wed Nov 26 17:19:09 UTC 2025","passed","Wed Nov 26 17:19:09 UTC 2025","","test_typing_parse","",""
"Test _read_data_json successfully reads and decrypts valid JSON data.","3","test_file_based_cache_read_data_json_valid_data","tests.unit.utils","Wed Nov 26 17:19:37 UTC 2025","passed","Wed Nov 26 17:19:37 UTC 2025","","test_cache","",""
"Test that cache entries expire after the specified time.","3","test_cache_expiry","tests.unit.utils","Wed Nov 26 17:19:36 UTC 2025","passed","Wed Nov 26 17:19:36 UTC 2025","","test_cache","",""
"cursor fetchone fetches single row in correct order. If no rows, returns None.","66","test_cursor_fetchone","tests.unit.V1.async_db","Wed Nov 26 17:18:14 UTC 2025","passed","Wed Nov 26 17:18:14 UTC 2025","","test_cursor","",""
"Test basic ExecutionPlan creation.","0","test_execution_plan_creation","tests.unit.common.cursor","Wed Nov 26 17:19:05 UTC 2025","passed","Wed Nov 26 17:19:05 UTC 2025","","test_statement_planners","",""
"Test that async connect rejects incompatible parameters with FireboltCore.","68","test_async_connect_with_incompatible_params","tests.unit.async_db.core","Wed Nov 26 17:18:26 UTC 2025","passed","Wed Nov 26 17:18:26 UTC 2025","","test_connection_validation","",""
"","0","test_format_value_v1[test\\-'test\\\\']","tests.unit.common","Wed Nov 26 17:19:08 UTC 2025","passed","Wed Nov 26 17:19:08 UTC 2025","","test_typing_format","",""
"Test that USE ENGINE parameters are cached and correctly retrieved.","192","test_use_engine_parameters_caching","tests.unit.db","Wed Nov 26 17:19:12 UTC 2025","passed","Wed Nov 26 17:19:13 UTC 2025","","test_caching","",""
"Credentials, that are passed to rm are cached properly.","374","test_rm_token_cache","tests.unit.service","Wed Nov 26 17:19:36 UTC 2025","passed","Wed Nov 26 17:19:36 UTC 2025","","test_resource_manager","",""
"Test _get_next_data_row_from_current_record with None record.","0","test_get_next_data_row_from_current_record_none","tests.unit.common.row_set","Wed Nov 26 17:19:07 UTC 2025","passed","Wed Nov 26 17:19:07 UTC 2025","TestStreamingRowSetCommonBase","test_streaming_common","",""
"cursor correctly parses and processes set statements.","9","test_cursor_set_statements","tests.unit.V1.db","Wed Nov 26 17:18:23 UTC 2025","passed","Wed Nov 26 17:18:23 UTC 2025","","test_cursor","",""
"","179","test_async_query_status_no_id_or_status","tests.unit.db","Wed Nov 26 17:19:19 UTC 2025","passed","Wed Nov 26 17:19:19 UTC 2025","","test_connection","",""
"Test that connections with different credentials are cached separately.","350","test_connection_cache_isolation_by_credentials[True]","tests.unit.db","Wed Nov 26 17:19:13 UTC 2025","passed","Wed Nov 26 17:19:13 UTC 2025","","test_caching","",""
"Test caching when switching between different engines.","267","test_connect_engine_switching_caching[True]","tests.unit.db","Wed Nov 26 17:19:11 UTC 2025","passed","Wed Nov 26 17:19:11 UTC 2025","","test_caching","",""
"connect properly handles use engine errors","66","test_connect_engine_failed","tests.unit.async_db","Wed Nov 26 17:18:31 UTC 2025","passed","Wed Nov 26 17:18:31 UTC 2025","","test_connection","",""
"Some cursor methods are unavailable until a query is run.","64","test_cursor_no_query","tests.unit.V1.async_db","Wed Nov 26 17:18:14 UTC 2025","passed","Wed Nov 26 17:18:14 UTC 2025","","test_cursor","",""
"connect properly handles use database errors","66","test_connect_database_failed","tests.unit.async_db","Wed Nov 26 17:18:30 UTC 2025","passed","Wed Nov 26 17:18:30 UTC 2025","","test_connection","",""
"","18347","test_true_concurent_requests","tests.unit.client","Wed Nov 26 17:18:47 UTC 2025","passed","Wed Nov 26 17:19:05 UTC 2025","","test_client_async","",""
"","2","test_split_format_sql[select * from t where id == ?-params7-result7]","tests.unit.common","Wed Nov 26 17:19:08 UTC 2025","passed","Wed Nov 26 17:19:08 UTC 2025","","test_typing_format","",""
