"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","test_connection_no_warnings","tests.unit.db","Wed Nov 19 09:58:25 UTC 2025","passed","Wed Nov 19 09:58:25 UTC 2025","","test_connection","",""
"Test handling of decimal data types in streaming responses.","1","test_streaming_with_decimals","tests.unit.common.row_set.synchronous","Wed Nov 19 09:58:16 UTC 2025","passed","Wed Nov 19 09:58:16 UTC 2025","TestStreamingRowSet","test_streaming","",""
"Test that fb_numeric paramstyle handles additional SDK-supported types correctly.","3","test_fb_numeric_additional_types[test_params2-expected_query_params2]","tests.unit.db","Wed Nov 19 09:58:36 UTC 2025","passed","Wed Nov 19 09:58:36 UTC 2025","","test_cursor","",""
"","1","test_format_statement[statement1-params1-select * from table where id == 1]","tests.unit.common","Wed Nov 19 09:58:17 UTC 2025","passed","Wed Nov 19 09:58:17 UTC 2025","","test_typing_format","",""
"Test appending a response with data.","2","test_append_response","tests.unit.common.row_set.asynchronous","Wed Nov 19 09:58:15 UTC 2025","passed","Wed Nov 19 09:58:15 UTC 2025","TestInMemoryAsyncRowSet","test_in_memory","",""
"","0","test_statement_to_set[statement5-result5]","tests.unit.common","Wed Nov 19 09:58:18 UTC 2025","passed","Wed Nov 19 09:58:18 UTC 2025","","test_typing_format","",""
"","0","test_get_internal_error_code[500-No error code here-None]","tests.unit.utils","Wed Nov 19 09:58:47 UTC 2025","passed","Wed Nov 19 09:58:47 UTC 2025","","test_utils","",""
"Test that fb_numeric paramstyle handles additional types consistently in async mode (same as sync).","89","test_fb_numeric_additional_types_unified_behavior[test_params1-expected_query_params1]","tests.unit.async_db","Wed Nov 19 09:58:06 UTC 2025","passed","Wed Nov 19 09:58:06 UTC 2025","","test_cursor","",""
"","0","test_generate_encrypted_file_name_different_keys_different_outputs","tests.unit.utils","Wed Nov 19 09:58:45 UTC 2025","passed","Wed Nov 19 09:58:45 UTC 2025","","test_file_operations","",""
"Test that fb_numeric paramstyle formats parameters correctly for various types.","3","test_fb_numeric_parameter_formatting[test_params1-expected_query_params1]","tests.unit.db","Wed Nov 19 09:58:35 UTC 2025","passed","Wed Nov 19 09:58:35 UTC 2025","","test_cursor","",""
"Test _next_json_lines_record_from_line with ERROR record.","2","test_next_json_lines_record_from_line_error","tests.unit.common.row_set","Wed Nov 19 09:58:17 UTC 2025","passed","Wed Nov 19 09:58:17 UTC 2025","TestStreamingRowSetCommonBase","test_streaming_common","",""
"","44","test_connection_unclosed_warnings","tests.unit.V1.db","Wed Nov 19 09:57:44 UTC 2025","passed","Wed Nov 19 09:57:45 UTC 2025","","test_connection","",""
