"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_parse_arrays[None-None-date]","tests.unit.common","Thu Nov 13 03:24:45 UTC 2025","passed","Thu Nov 13 03:24:45 UTC 2025","","test_typing_parse","",""
"","12","test_user_agent[drivers0-clients0-None-PythonSDK/2 (Python 1; Win; ciso)]","tests.unit.utils","Thu Nov 13 03:25:10 UTC 2025","passed","Thu Nov 13 03:25:10 UTC 2025","","test_usage_tracker","",""
"","58","test_cursor_unknown_error_body_logging","tests.unit.V1.async_db","Thu Nov 13 03:24:02 UTC 2025","passed","Thu Nov 13 03:24:02 UTC 2025","","test_cursor","",""
"","4","test_database_get_by_name","tests.unit.service","Thu Nov 13 03:25:04 UTC 2025","passed","Thu Nov 13 03:25:04 UTC 2025","","test_database","",""
"","11","test_user_agent[drivers7-clients7-additional_parameters7-ClientA/1.0.1 PythonSDK/2 (Python 1; Win; ciso; connId:12345; cachedConnId:67890-memory) ConnectorA/0.1.1 ConnectorB/0.2.0]","tests.unit.utils","Thu Nov 13 03:25:10 UTC 2025","passed","Thu Nov 13 03:25:10 UTC 2025","","test_usage_tracker","",""
"Test basic cache set and get operations.","0","test_cache_set_and_get","tests.unit.utils","Thu Nov 13 03:25:08 UTC 2025","passed","Thu Nov 13 03:25:08 UTC 2025","","test_cache","",""
"","63","test_concurent_auth_lock","tests.unit.V1.client","Thu Nov 13 03:24:03 UTC 2025","passed","Thu Nov 13 03:24:03 UTC 2025","","test_client_async","",""
"Test that fb_numeric paramstyle does not perform client-side parameter substitution.","85","test_fb_numeric_no_client_side_substitution","tests.unit.async_db","Thu Nov 13 03:24:30 UTC 2025","passed","Thu Nov 13 03:24:30 UTC 2025","","test_cursor","",""
"Test proper cleanup when multiple responses have errors during closing.","5","test_multiple_response_error_cleanup","tests.unit.common.row_set.asynchronous","Thu Nov 13 03:24:42 UTC 2025","passed","Thu Nov 13 03:24:42 UTC 2025","TestStreamingAsyncRowSet","test_streaming","",""
"parse_value parses all date values correctly.","1","test_parse_value_datetime[None-None-None provided]","tests.unit.common","Thu Nov 13 03:24:45 UTC 2025","passed","Thu Nov 13 03:24:45 UTC 2025","","test_typing_parse","",""
"parse_value parses all float values correctly.","0","test_parse_value_float[a-None-ValueError]","tests.unit.common","Thu Nov 13 03:24:45 UTC 2025","passed","Thu Nov 13 03:24:45 UTC 2025","","test_typing_parse","",""
"Auth adds required authentication headers to httpx.Request.","0","test_auth_adds_header","tests.unit.client.auth","Thu Nov 13 03:24:34 UTC 2025","passed","Thu Nov 13 03:24:34 UTC 2025","","test_auth","",""
"Test is_async_query_running method","86","test_async_query_cancellation","tests.unit.db","Thu Nov 13 03:24:51 UTC 2025","passed","Thu Nov 13 03:24:51 UTC 2025","","test_connection","",""
"parse_value parses all int values correctly.","1","test_parse_value_int[a-None-ValueError]","tests.unit.common","Thu Nov 13 03:24:45 UTC 2025","passed","Thu Nov 13 03:24:45 UTC 2025","","test_typing_parse","",""
"Test that COMMIT transaction is executed and connection state is cleared.","6","test_connection_commit_clears_transaction_state","tests.unit.db","Thu Nov 13 03:25:03 UTC 2025","passed","Thu Nov 13 03:25:03 UTC 2025","","test_cursor","",""
"","1","test_detect_connectors[stack4-map4-expected4]","tests.unit.utils","Thu Nov 13 03:25:10 UTC 2025","passed","Thu Nov 13 03:25:10 UTC 2025","","test_usage_tracker","",""
"Test that setting disallowed parameters raises an error.","1","test_disallowed_set_parameter[engine]","tests.unit.V1.db","Thu Nov 13 03:24:14 UTC 2025","passed","Thu Nov 13 03:24:14 UTC 2025","","test_cursor","",""
"Test that setting disallowed parameters raises an error.","1","test_disallowed_set_parameter[database]","tests.unit.V1.db","Thu Nov 13 03:24:14 UTC 2025","passed","Thu Nov 13 03:24:14 UTC 2025","","test_cursor","",""
"","5","test_engine_new_status[STARTING-STARTING]","tests.unit.service","Thu Nov 13 03:25:06 UTC 2025","passed","Thu Nov 13 03:25:06 UTC 2025","","test_engine","",""
"","1","test_statement_to_set[statement2-result2]","tests.unit.common","Thu Nov 13 03:24:44 UTC 2025","passed","Thu Nov 13 03:24:44 UTC 2025","","test_typing_format","",""
"parse_value parses all float values correctly.","1","test_parse_value_float[-inf--inf-None]","tests.unit.common","Thu Nov 13 03:24:45 UTC 2025","passed","Thu Nov 13 03:24:45 UTC 2025","","test_typing_parse","",""
"Connection closes all its cursors on close.","83","test_cursors_closed_on_close","tests.unit.async_db","Thu Nov 13 03:24:18 UTC 2025","passed","Thu Nov 13 03:24:18 UTC 2025","","test_connection","",""
"Test that multi-statement queries with async raise error.","1","test_qmark_multi_statement_async_error","tests.unit.common.cursor","Thu Nov 13 03:24:42 UTC 2025","passed","Thu Nov 13 03:24:42 UTC 2025","","test_statement_planners","",""
"parse_value parses all int values correctly.","0","test_parse_value_int[value6-None-TypeError]","tests.unit.common","Thu Nov 13 03:24:45 UTC 2025","passed","Thu Nov 13 03:24:45 UTC 2025","","test_typing_parse","",""
"","30","test_create_binding_existing_db","tests.unit.V1.service","Thu Nov 13 03:24:14 UTC 2025","passed","Thu Nov 13 03:24:14 UTC 2025","","test_bindings","",""
"Test that USE ENGINE with Firebolt-Update-Parameters header propagates to connection init_parameters and cursors.","83","test_use_engine_update_parameters_propagation","tests.unit.async_db","Thu Nov 13 03:24:22 UTC 2025","passed","Thu Nov 13 03:24:22 UTC 2025","","test_connection","",""
"Test error handling in execute_stream method.","10","test_cursor_execute_stream_error","tests.unit.db","Thu Nov 13 03:24:59 UTC 2025","passed","Thu Nov 13 03:24:59 UTC 2025","","test_cursor","",""
"","37","test_connection_no_warnings","tests.unit.db","Thu Nov 13 03:24:49 UTC 2025","passed","Thu Nov 13 03:24:50 UTC 2025","","test_connection","",""
"Test that fb_numeric paramstyle converts complex types to strings in async mode (same as sync).","85","test_fb_numeric_complex_types_converted_to_strings_async","tests.unit.async_db","Thu Nov 13 03:24:30 UTC 2025","passed","Thu Nov 13 03:24:30 UTC 2025","","test_cursor","",""
"","6","test_engine_new_status[DROPPING-DROPPING]","tests.unit.service","Thu Nov 13 03:25:06 UTC 2025","passed","Thu Nov 13 03:25:06 UTC 2025","","test_engine","",""
"Test execution plan with parameters.","1","test_fb_numeric_execution_plan_with_parameters","tests.unit.common.cursor","Thu Nov 13 03:24:42 UTC 2025","passed","Thu Nov 13 03:24:42 UTC 2025","","test_statement_planners","",""
"
    Test that Engine model correctly handles different instance types and statuses,
    including unknown values and empty strings that should default to UNKNOWN.
    ","0","test_engine_instantiation_with_different_configurations[INVALID_TYPE-InstanceType.UNKNOWN-INVALID_STATUS-UNKNOWN]","tests.unit.service","Thu Nov 13 03:25:07 UTC 2025","passed","Thu Nov 13 03:25:07 UTC 2025","","test_engine","",""
"Test get_async_query_info method","83","test_get_async_query_info","tests.unit.db","Thu Nov 13 03:24:52 UTC 2025","passed","Thu Nov 13 03:24:52 UTC 2025","","test_connection","",""
"","45","test_connect_no_user_agent","tests.unit.V1.async_db","Thu Nov 13 03:24:00 UTC 2025","passed","Thu Nov 13 03:24:00 UTC 2025","","test_connection","",""
"Test async query cancellation","90","test_async_query_cancellation","tests.unit.async_db","Thu Nov 13 03:24:21 UTC 2025","passed","Thu Nov 13 03:24:22 UTC 2025","","test_connection","",""
"Cursor doesn't process a query if skip_parsing is provided.","5","test_cursor_skip_parse","tests.unit.db","Thu Nov 13 03:24:55 UTC 2025","passed","Thu Nov 13 03:24:55 UTC 2025","","test_cursor","",""
"","1","test_cursor_execute_async_multiple_queries","tests.unit.db","Thu Nov 13 03:24:59 UTC 2025","passed","Thu Nov 13 03:24:59 UTC 2025","","test_cursor","",""
"Test nextset when there are more result sets.

        The implementation seems to add rowsets correctly, but behaves differently
        than expected when accessing them via nextset.
        ","2","test_nextset_with_more_sets","tests.unit.common.row_set.asynchronous","Thu Nov 13 03:24:42 UTC 2025","passed","Thu Nov 13 03:24:42 UTC 2025","TestInMemoryAsyncRowSet","test_in_memory","",""
"Test _get_next_data_row_from_current_record with valid record.","0","test_get_next_data_row_from_current_record","tests.unit.common.row_set","Thu Nov 13 03:24:43 UTC 2025","passed","Thu Nov 13 03:24:43 UTC 2025","TestStreamingRowSetCommonBase","test_streaming_common","",""
"Test appending a stream with decimal data type.","1","test_append_response_stream_with_decimals","tests.unit.common.row_set.synchronous","Thu Nov 13 03:24:43 UTC 2025","passed","Thu Nov 13 03:24:43 UTC 2025","TestInMemoryRowSet","test_in_memory","",""
"","1","test_detect_connectors[stack2-map2-expected2]","tests.unit.utils","Thu Nov 13 03:25:10 UTC 2025","passed","Thu Nov 13 03:25:10 UTC 2025","","test_usage_tracker","",""
"Connection initialized its cursors properly.","151","test_cursor_initialized","tests.unit.V1.db","Thu Nov 13 03:24:11 UTC 2025","passed","Thu Nov 13 03:24:11 UTC 2025","","test_connection","",""
"Test that setting disallowed parameters raises an error.","56","test_disallowed_set_parameter[engine]","tests.unit.V1.async_db","Thu Nov 13 03:24:02 UTC 2025","passed","Thu Nov 13 03:24:02 UTC 2025","","test_cursor","",""
"
    Client properly handles such auth types:
    - tuple(username, password)
    - Auth
    - None
    All other types should raise TypeError.
    ","109","test_client_different_auths","tests.unit.V1.client","Thu Nov 13 03:24:03 UTC 2025","passed","Thu Nov 13 03:24:03 UTC 2025","","test_client","",""
"Test that BaseRowSet is an abstract class.","1","test_abstract_methods","tests.unit.common.row_set","Thu Nov 13 03:24:43 UTC 2025","passed","Thu Nov 13 03:24:43 UTC 2025","TestBaseRowSetClass","test_base","",""
"Test caching when switching between different databases.","251","test_connect_db_switching_caching[False]","tests.unit.async_db","Thu Nov 13 03:24:16 UTC 2025","passed","Thu Nov 13 03:24:17 UTC 2025","","test_caching","",""
"","1","test_firebolt_structured_error[error_extra_fields]","tests.unit.utils","Thu Nov 13 03:25:08 UTC 2025","passed","Thu Nov 13 03:25:08 UTC 2025","","test_errors","",""
