"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Select handles errors properly during fetching.","283","test_streaming_error_during_fetching[remote]","tests.integration.dbapi.sync.V2","2026-04-14","passed","2026-04-14","","test_streaming","",""
"Select handles multiple records properly.","652","test_streaming_multiple_records[remote]","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_streaming","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10950","test_executemany_bulk_insert_paramstyles[remote-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_queries_async","",""
"Connection properly reacts to account that doesn't have
    a user attached to it.","2485","test_account_no_user","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_errors_async","",""
"","81","test_select_quoted_bigint[remote]","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_queries_async","",""
"","201","test_databases_get_many","tests.integration.resource_manager.V2","2026-04-14","passed","2026-04-14","","test_database","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","1019","test_autocommit_immediate_visibility[remote-explicit]","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_queries_async","",""
"Test that connection.rollback() works correctly.","1619","test_connection_rollback[remote]","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_queries_async","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[remote]","tests.integration.dbapi.async.V2","2026-04-14","skipped","2026-04-14","","test_auth_async","",""
"","110","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]","tests.integration.utils","2026-04-14","passed","2026-04-14","","test_usage_tracker","",""
"","415","test_select_nan[remote]","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_queries_async","",""
"","2592","test_check_async_execution_from_another_connection[remote]","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_server_async","",""
"","200","test_select_quoted_decimal[remote]","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_queries_async","",""
"","321","test_select_inf[remote]","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","2190","test_transaction_cursor_isolation[remote]","tests.integration.dbapi.async.V2","2026-04-14","passed","2026-04-14","","test_queries_async","",""
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","1230","test_database_switching_with_same_engine_preserves_database_context[remote]","tests.integration.dbapi.sync.V2","2026-04-14","passed","2026-04-14","","test_queries","",""
