"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Query parameters are handled properly.","32","test_parameterized_query_with_special_chars[core]","tests.integration.dbapi.async.V2","2026-04-17","passed","2026-04-17","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","83","test_transaction_rollback[core]","tests.integration.dbapi.sync.V2","2026-04-17","passed","2026-04-17","","test_queries","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.async.V2","2026-04-17","skipped","2026-04-17","","test_auth_async","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","134","test_context_manager_auto_commit_on_normal_exit[core]","tests.integration.dbapi.async.V2","2026-04-17","passed","2026-04-17","","test_queries_async","",""
"Insert and delete queries are handled properly.","51","test_insert[core]","tests.integration.dbapi.sync.V2","2026-04-17","passed","2026-04-17","","test_queries","",""
"","31","test_select_quoted_decimal[core]","tests.integration.dbapi.async.V2","2026-04-17","passed","2026-04-17","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","44","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.sync.V2","2026-04-17","passed","2026-04-17","","test_queries","",""
"Select handles all data types properly.","66","test_select[core]","tests.integration.dbapi.async.V2","2026-04-17","passed","2026-04-17","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","123","test_transaction_cursor_isolation[core]","tests.integration.dbapi.async.V2","2026-04-17","passed","2026-04-17","","test_queries_async","",""
"Query parameters are handled properly.","57","test_parameterized_query[core]","tests.integration.dbapi.sync.V2","2026-04-17","passed","2026-04-17","","test_queries","",""
"","31","test_select_geography[core]","tests.integration.dbapi.async.V2","2026-04-17","passed","2026-04-17","","test_queries_async","",""
"Test that connection.rollback() works correctly.","68","test_connection_rollback[core]","tests.integration.dbapi.sync.V2","2026-04-17","passed","2026-04-17","","test_queries","",""
"","7","test_select_quoted_bigint[core]","tests.integration.dbapi.sync.V2","2026-04-17","passed","2026-04-17","","test_queries","",""
