"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Select handles multiple records properly.","598","test_streaming_multiple_records[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_streaming","",""
"Test that cursors share the same transaction state - no isolation between cursors.","173","test_transaction_cursor_isolation[core]","tests.integration.dbapi.async.V2","2026-04-18","passed","2026-04-18","","test_queries_async","",""
"Select handles all data types properly.","149","test_select[core]","tests.integration.dbapi.async.V2","2026-04-18","passed","2026-04-18","","test_queries_async","",""
"Insert and delete queries are handled properly.","98","test_insert[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"","1031","test_query_timeout[core]","tests.integration.dbapi.async.V2","2026-04-18","passed","2026-04-18","","test_timeout","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10066","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"Query parameters are handled properly","61","test_multi_statement_query[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"Inserted and than selected bytea value doesn't get corrupted.","63","test_bytea_roundtrip[core]","tests.integration.dbapi.async.V2","2026-04-18","passed","2026-04-18","","test_queries_async","",""
"Select handles all data types properly.","56","test_streaming_select[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_streaming","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10179","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","2026-04-18","passed","2026-04-18","","test_queries_async","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[core]","tests.integration.dbapi.async.V2","2026-04-18","skipped","2026-04-18","","test_auth_async","",""
"","190","test_select_struct[core]","tests.integration.dbapi.async.V2","2026-04-18","passed","2026-04-18","","test_queries_async","",""
"","0","test_streaming_limited_memory[core]","tests.integration.dbapi.sync.V2","2026-04-18","skipped","2026-04-18","","test_streaming","",""
"Query parameters are handled properly.","44","test_parameterized_query_with_special_chars[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"Select handles all data types properly.","85","test_select[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","84","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","85","test_context_manager_auto_commit_on_normal_exit[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"","25","test_select_geography[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core]","tests.integration.dbapi.async.V2","2026-04-18","skipped","2026-04-18","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","25","test_executemany_bulk_insert_paramstyles[core-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","39","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"","33","test_select_geography[core]","tests.integration.dbapi.async.V2","2026-04-18","passed","2026-04-18","","test_queries_async","",""
"Query parameters are handled properly.","99","test_parameterized_query[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"","143","test_select_struct[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","125","test_database_switching_with_same_engine_preserves_database_context[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","76","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
"Test that connection.close() rolls back uncommitted transactions when autocommit=False.","83","test_connection_close_rollback_with_autocommit_off[core]","tests.integration.dbapi.sync.V2","2026-04-18","passed","2026-04-18","","test_queries","",""
