"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.sync.V2","2026-05-06","skipped","2026-05-06","","test_auth","",""
"","3","test_select_quoted_decimal[core]","tests.integration.dbapi.sync.V2","2026-05-06","passed","2026-05-06","","test_queries","",""
"","3","test_set_invalid_parameter[core]","tests.integration.dbapi.sync.V2","2026-05-06","passed","2026-05-06","","test_queries","",""
"Test that connection.close() rolls back uncommitted transactions when autocommit=False.","54","test_connection_close_rollback_with_autocommit_off[core]","tests.integration.dbapi.sync.V2","2026-05-06","passed","2026-05-06","","test_queries","",""
"Select handles errors properly during fetching.","180","test_streaming_error_during_fetching[core]","tests.integration.dbapi.async.V2","2026-05-06","passed","2026-05-06","","test_streaming","",""
"Test that connection.commit() works correctly.","91","test_connection_commit[core]","tests.integration.dbapi.async.V2","2026-05-06","passed","2026-05-06","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10141","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","2026-05-06","passed","2026-05-06","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core]","tests.integration.dbapi.sync.V2","2026-05-06","skipped","2026-05-06","","test_queries","",""
"","0","test_streaming_limited_memory[core]","tests.integration.dbapi.async.V2","2026-05-06","skipped","2026-05-06","","test_streaming","",""
"Test transaction SQL statements with COMMIT.","170","test_transaction_commit[core]","tests.integration.dbapi.async.V2","2026-05-06","passed","2026-05-06","","test_queries_async","",""
"","0","test_streaming_limited_memory[core]","tests.integration.dbapi.sync.V2","2026-05-06","skipped","2026-05-06","","test_streaming","",""
"","20","test_select_quoted_bigint[core]","tests.integration.dbapi.async.V2","2026-05-06","passed","2026-05-06","","test_queries_async","",""
"Test that context manager does not auto-commit when autocommit=True.","63","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","2026-05-06","passed","2026-05-06","","test_queries","",""
