"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190","test_select_struct[core]","tests.integration.dbapi.async.V2","2026-04-10","passed","2026-04-10","","test_queries_async","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.async.V2","2026-04-10","skipped","2026-04-10","","test_auth_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","41","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.sync.V2","2026-04-10","passed","2026-04-10","","test_queries","",""
"","33","test_set_invalid_parameter[core]","tests.integration.dbapi.async.V2","2026-04-10","passed","2026-04-10","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","159","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.async.V2","2026-04-10","passed","2026-04-10","","test_queries_async","",""
"Test transaction SQL statements with COMMIT.","155","test_transaction_commit[core]","tests.integration.dbapi.async.V2","2026-04-10","passed","2026-04-10","","test_queries_async","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core]","tests.integration.dbapi.async.V2","2026-04-10","skipped","2026-04-10","","test_queries_async","",""
"Query parameters are handled properly.","111","test_parameterized_query[core]","tests.integration.dbapi.sync.V2","2026-04-10","passed","2026-04-10","","test_queries","",""
"Connection properly reacts to SQL execution error.","45","test_sql_error[core]","tests.integration.dbapi.async.V2","2026-04-10","passed","2026-04-10","","test_errors_async","",""
"Select handles errors properly during fetching.","150","test_streaming_error_during_fetching[core]","tests.integration.dbapi.async.V2","2026-04-10","passed","2026-04-10","","test_streaming","",""
"Test that cursors share the same transaction state - no isolation between cursors.","86","test_transaction_cursor_isolation[core]","tests.integration.dbapi.sync.V2","2026-04-10","passed","2026-04-10","","test_queries","",""
"Select handles errors properly during fetching.","100","test_streaming_error_during_fetching[core]","tests.integration.dbapi.sync.V2","2026-04-10","passed","2026-04-10","","test_streaming","",""
"","28","test_set_invalid_parameter[core]","tests.integration.dbapi.sync.V2","2026-04-10","passed","2026-04-10","","test_queries","",""
"Select handles all data types properly.","55","test_streaming_select[core]","tests.integration.dbapi.sync.V2","2026-04-10","passed","2026-04-10","","test_streaming","",""
"Test transaction SQL statements with COMMIT.","83","test_transaction_commit[core]","tests.integration.dbapi.sync.V2","2026-04-10","passed","2026-04-10","","test_queries","",""
