"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Select handles errors properly.","273","test_streaming_error[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_streaming","",""
"","51","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]","tests.integration.utils","2026-03-28","passed","2026-03-28","","test_usage_tracker","",""
"Test fb_numeric paramstyle: insert/select all supported types, and parameter count errors.","862","test_fb_numeric_paramstyle_all_types","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"","191","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]","tests.integration.utils","2026-03-28","passed","2026-03-28","","test_usage_tracker","",""
"Test fb_numeric paramstyle: not enough parameters supplied.","276","test_fb_numeric_paramstyle_not_enough_params","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","1387","test_context_manager_works_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Test that connection.close() does not rollback when autocommit=True.","899","test_connection_close_no_rollback_with_autocommit_on[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"","29586","test_create_start_stop_engine","tests.integration.resource_manager.V2","2026-03-28","passed","2026-03-28","","test_engine","",""
"","1399","test_database_switch","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Query parameters are handled properly.","380","test_parameterized_query_with_special_chars[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","808","test_context_manager_works_with_autocommit_on[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","525655","test_long_query[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Test that BEGIN does not start a transaction when autocommit is enabled.","1463","test_begin_with_autocommit_on[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","2155","test_database_switching_with_same_engine_preserves_database_context[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"","1246","test_connection_with_mixed_case_db_and_engine","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"","53194","test_streaming_limited_memory[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_streaming","",""
"","72613","test_streaming_limited_memory[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_streaming","",""
"","280","test_select_quoted_bigint[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    ","346","test_multi_thread_connection_sharing","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"","226","test_select_quoted_bigint[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Connection properly reacts to invalid account error.","899","test_invalid_account","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_errors_async","",""
"Auth raises Authentication Error on credentials invalidation","0","test_credentials_invalidation[connection]","tests.integration.dbapi.sync.V2","2026-03-28","skipped","2026-03-28","","test_auth","",""
"Test transaction SQL statements with COMMIT.","1495","test_transaction_commit[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"","1351","test_cancel_async_query[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_server_async","",""
"Query parameters are handled properly.","770","test_parameterized_query[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"","276","test_fb_numeric_paramstyle_incorrect_params","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Test that cursors share the same transaction state - no isolation between cursors.","2392","test_transaction_cursor_isolation[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"","272","test_select_quoted_decimal[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Test that connection.rollback() works correctly.","2080","test_connection_rollback[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Connection properly reacts to invalid engine name error.","323","test_engine_name_not_exists","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_errors","",""
"Test that context manager does not commit transaction on exception exit.","2073","test_context_manager_no_auto_commit_on_exception_exit[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Connecting with engine name is handled properly.","990","test_system_engine_no_db","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_system_engine_async","",""
"Select handles all data types properly.","912","test_streaming_select[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_streaming","",""
"Connecting with engine name is handled properly.","1220","test_connect_no_db","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Inserted and than selected bytea value doesn't get corrupted.","804","test_bytea_roundtrip[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"","3206","test_check_async_execution_from_another_connection[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_server_async","",""
"","64520","test_connection_with_mixed_case_db_and_engine","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Test that connection.commit() works correctly.","2329","test_connection_commit[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"","1207","test_query_timeout[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_timeout","",""
"","2455","test_select_struct[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Query parameters are handled properly","948","test_multi_statement_query[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Test fb_numeric paramstyle: not enough parameters supplied.","264","test_fb_numeric_paramstyle_not_enough_params","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Connection properly reacts to invalid engine name error.","1546","test_engine_name_not_exists","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_errors_async","",""
"Create and drop table/index queries are handled properly.","1868","test_drop_create[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Inserted and than selected bytea value doesn't get corrupted.","745","test_bytea_roundtrip[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Test transaction SQL statements with ROLLBACK.","1624","test_transaction_rollback[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","2239","test_context_manager_auto_commit_on_normal_exit[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","2928","test_transaction_cursor_isolation[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Select handles errors properly during fetching.","616","test_streaming_error_during_fetching[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_streaming","",""
"Test transaction SQL statements with COMMIT.","2043","test_transaction_commit[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[remote]","tests.integration.dbapi.sync.V2","2026-03-28","skipped","2026-03-28","","test_auth","",""
"","22166","test_engine_rename","tests.integration.resource_manager.V2","2026-03-28","passed","2026-03-28","","test_engine","",""
"","400","test_select_inf[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Select handles errors properly.","232","test_streaming_error[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_streaming","",""
"Test that connection.close() rolls back uncommitted transactions when autocommit=False.","1675","test_connection_close_rollback_with_autocommit_off[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Select handles multiple records properly.","1510","test_streaming_multiple_records[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_streaming","",""
"Test transaction SQL statements with ROLLBACK.","2375","test_transaction_rollback[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"","885","test_anyio_backend_import_issue[4]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","840","test_autocommit_immediate_visibility[remote-explicit]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","365","test_executemany_bulk_insert_paramstyles[remote-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"","915","test_anyio_backend_import_issue[1]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","715","test_autocommit_immediate_visibility[remote-implicit]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"","560","test_databases_get_many","tests.integration.resource_manager.V2","2026-03-28","passed","2026-03-28","","test_database","",""
"","13410","test_insert_async[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_server_async","",""
"","438","test_set_invalid_parameter[remote]","tests.integration.dbapi.async.V2","2026-03-28","passed","2026-03-28","","test_queries_async","",""
"Test fb_numeric paramstyle: too many parameters supplied (should succeed).","764","test_fb_numeric_paramstyle_too_many_params","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
"Connecting with engine name is handled properly.","1340","test_system_engine","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_system_engine","",""
"Select handles multiple records properly.","1675","test_streaming_multiple_records[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_streaming","",""
"","77021","test_engine_update_multiple_parameters","tests.integration.resource_manager.V2","2026-03-28","passed","2026-03-28","","test_engine","",""
"Select handles all data types properly.","621","test_select[remote]","tests.integration.dbapi.sync.V2","2026-03-28","passed","2026-03-28","","test_queries","",""
