"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","test_account_v2_connection_with_db","tests.integration.dbapi.sync.V2","2026-04-16","passed","2026-04-16","","test_queries","",""
"","78","test_select_geography[remote]","tests.integration.dbapi.async.V2","2026-04-16","passed","2026-04-16","","test_queries_async","",""
"","1134","test_select_struct[remote]","tests.integration.dbapi.async.V2","2026-04-16","passed","2026-04-16","","test_queries_async","",""
"","90","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]","tests.integration.utils","2026-04-16","passed","2026-04-16","","test_usage_tracker","",""
"Test that cursors share the same transaction state - no isolation between cursors.","1323","test_transaction_cursor_isolation[remote]","tests.integration.dbapi.sync.V2","2026-04-16","passed","2026-04-16","","test_queries","",""
"","203692","test_engine_update_single_parameter","tests.integration.resource_manager.V2","2026-04-16","passed","2026-04-16","","test_engine","",""
"","761","test_anyio_backend_import_issue[1]","tests.integration.dbapi.sync.V2","2026-04-16","passed","2026-04-16","","test_queries","",""
"Test fb_numeric paramstyle: too many parameters supplied (should succeed).","568","test_fb_numeric_paramstyle_too_many_params","tests.integration.dbapi.sync.V2","2026-04-16","passed","2026-04-16","","test_queries","",""
"","12583","test_insert_async[remote]","tests.integration.dbapi.async.V2","2026-04-16","passed","2026-04-16","","test_server_async","",""
"Connection properly reacts to invalid account error.","561","test_invalid_account","tests.integration.dbapi.async.V2","2026-04-16","passed","2026-04-16","","test_errors_async","",""
"","234492","test_create_start_stop_engine","tests.integration.resource_manager.V2","2026-04-16","passed","2026-04-16","","test_engine","",""
"","790","test_anyio_backend_import_issue[4]","tests.integration.dbapi.sync.V2","2026-04-16","passed","2026-04-16","","test_queries","",""
"Connection properly reacts to invalid engine name error.","112","test_engine_name_not_exists","tests.integration.dbapi.sync.V2","2026-04-16","passed","2026-04-16","","test_errors","",""
"","1079","test_query_timeout[remote]","tests.integration.dbapi.async.V2","2026-04-16","passed","2026-04-16","","test_timeout","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[remote]","tests.integration.dbapi.async.V2","2026-04-16","skipped","2026-04-16","","test_auth_async","",""
"","2416","test_check_async_query_fails[remote]","tests.integration.dbapi.sync.V2","2026-04-16","passed","2026-04-16","","test_server_async","",""
"","477","test_system_engine","tests.integration.dbapi.async.V2","2026-04-16","passed","2026-04-16","","test_system_engine_async","",""
"Test that connection.rollback() works correctly.","1444","test_connection_rollback[remote]","tests.integration.dbapi.async.V2","2026-04-16","passed","2026-04-16","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","713","test_autocommit_immediate_visibility[remote-implicit]","tests.integration.dbapi.async.V2","2026-04-16","passed","2026-04-16","","test_queries_async","",""
