"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Query parameters are handled properly","745","test_multi_statement_query[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"","481","test_databases_get_many","tests.integration.resource_manager.V2","2026-03-31","passed","2026-03-31","","test_database","",""
"","1301","test_cancel_async_query[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_server_async","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[remote]","tests.integration.dbapi.async.V2","2026-03-31","skipped","2026-03-31","","test_auth_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","1136","test_autocommit_immediate_visibility[remote-explicit]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"","3040","test_check_async_execution_from_another_connection[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_server_async","",""
"Select handles errors properly.","264","test_streaming_error[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_streaming","",""
"","252","test_select_quoted_decimal[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"Select handles multiple records properly.","1480","test_streaming_multiple_records[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_streaming","",""
"Create and drop table/index queries are handled properly.","2962","test_drop_create[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"","82","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]","tests.integration.utils","2026-03-31","passed","2026-03-31","","test_usage_tracker","",""
"","197","test_select_inf[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"","1147","test_system_engine","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_system_engine_async","",""
"","240","test_select_geography[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"Connection properly reacts to SQL execution error.","2006","test_sql_error[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_errors_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","2453","test_transaction_cursor_isolation[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"","185","test_select_geography[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"Test that connection.rollback() works correctly.","2221","test_connection_rollback[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"","238","test_fb_numeric_paramstyle_incorrect_params","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"Connection properly reacts to account that doesn't have
    a user attached to it.","4219","test_account_no_user","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_errors_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","654","test_autocommit_immediate_visibility[remote-implicit]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"","686","test_insert_async_running[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_server_async","",""
"Test that context manager does not commit transaction on exception exit.","1889","test_context_manager_no_auto_commit_on_exception_exit[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"Auth raises Authentication Error on credentials invalidation","0","test_credentials_invalidation[connection]","tests.integration.dbapi.sync.V2","2026-03-31","skipped","2026-03-31","","test_auth","",""
"","260","test_select_nan[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"","54","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]","tests.integration.utils","2026-03-31","passed","2026-03-31","","test_usage_tracker","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","609","test_autocommit_immediate_visibility[remote-explicit]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"Test fb_numeric paramstyle: not enough parameters supplied.","306","test_fb_numeric_paramstyle_not_enough_params","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"Test transaction SQL statements with COMMIT.","1221","test_transaction_commit[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"","900","test_anyio_backend_import_issue[3]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","744","test_context_manager_works_with_autocommit_on[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10716","test_executemany_bulk_insert_paramstyles[remote-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"","79738","test_streaming_limited_memory[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_streaming","",""
"","1113","test_query_timeout[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_timeout","",""
"Connection properly reacts to invalid engine name error.","277","test_engine_name_not_exists","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_errors","",""
"","3005","test_check_async_execution_from_another_connection[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_server_async","",""
"Insert and delete queries are handled properly.","632","test_insert[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
"Select handles multiple records properly.","1329","test_streaming_multiple_records[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_streaming","",""
"","51","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]","tests.integration.utils","2026-03-31","passed","2026-03-31","","test_usage_tracker","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","823","test_executemany_bulk_insert_paramstyles[remote-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"Select handles all data types properly.","728","test_streaming_select[remote]","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_streaming","",""
"","310","test_select_quoted_bigint[remote]","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"","253","test_fb_numeric_paramstyle_incorrect_params","tests.integration.dbapi.async.V2","2026-03-31","passed","2026-03-31","","test_queries_async","",""
"","3288","test_account_v2_connection_with_db_and_engine","tests.integration.dbapi.sync.V2","2026-03-31","passed","2026-03-31","","test_queries","",""
