"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test transaction SQL statements with ROLLBACK.","167","test_transaction_rollback[core]","tests.integration.dbapi.async.V2","2026-04-03","passed","2026-04-03","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","173","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.async.V2","2026-04-03","passed","2026-04-03","","test_queries_async","",""
"","35","test_select_geography[core]","tests.integration.dbapi.async.V2","2026-04-03","passed","2026-04-03","","test_queries_async","",""
"","1035","test_query_timeout[core]","tests.integration.dbapi.async.V2","2026-04-03","passed","2026-04-03","","test_timeout","",""
"Select handles multiple records properly.","614","test_streaming_multiple_records[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_streaming","",""
"","29","test_select_geography[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"Test transaction SQL statements with COMMIT.","85","test_transaction_commit[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"","0","test_streaming_limited_memory[core]","tests.integration.dbapi.sync.V2","2026-04-03","skipped","2026-04-03","","test_streaming","",""
"Test that connection.close() does not rollback when autocommit=True.","83","test_connection_close_no_rollback_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10070","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"","39","test_select_nan[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","96","test_context_manager_auto_commit_on_normal_exit[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"","206","test_select_struct[core]","tests.integration.dbapi.async.V2","2026-04-03","passed","2026-04-03","","test_queries_async","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[core]","tests.integration.dbapi.async.V2","2026-04-03","skipped","2026-04-03","","test_auth_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","81","test_executemany_bulk_insert_paramstyles[core-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","2026-04-03","passed","2026-04-03","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","90","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"","149","test_select_struct[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"Test transaction SQL statements with ROLLBACK.","91","test_transaction_rollback[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"Select handles all data types properly.","61","test_streaming_select[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_streaming","",""
"Select handles all data types properly.","62","test_select[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","93","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.async.V2","2026-04-03","passed","2026-04-03","","test_queries_async","",""
"","33","test_set_invalid_parameter[core]","tests.integration.dbapi.async.V2","2026-04-03","passed","2026-04-03","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","89","test_autocommit_immediate_visibility[core-explicit]","tests.integration.dbapi.async.V2","2026-04-03","passed","2026-04-03","","test_queries_async","",""
"Connection properly reacts to sql execution error.","46","test_sql_error[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_errors","",""
"Test that context manager does not auto-commit when autocommit=True.","83","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","2026-04-03","passed","2026-04-03","","test_queries","",""
"Select handles errors properly.","36","test_streaming_error[core]","tests.integration.dbapi.async.V2","2026-04-03","passed","2026-04-03","","test_streaming","",""
