"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1003","test_query_timeout[core]","tests.integration.dbapi.sync.V2","Wed Mar 18 03:55:11 UTC 2026","passed","Wed Mar 18 03:55:12 UTC 2026","","test_timeout","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","42","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.sync.V2","Wed Mar 18 03:55:08 UTC 2026","passed","Wed Mar 18 03:55:09 UTC 2026","","test_queries","",""
"Test that cursors share the same transaction state - no isolation between cursors.","112","test_transaction_cursor_isolation[core]","tests.integration.dbapi.async.V2","Wed Mar 18 03:54:54 UTC 2026","passed","Wed Mar 18 03:54:54 UTC 2026","","test_queries_async","",""
"Test that connection.commit() works correctly.","101","test_connection_commit[core]","tests.integration.dbapi.async.V2","Wed Mar 18 03:54:54 UTC 2026","passed","Wed Mar 18 03:54:55 UTC 2026","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","128","test_transaction_rollback[core]","tests.integration.dbapi.async.V2","Wed Mar 18 03:54:54 UTC 2026","passed","Wed Mar 18 03:54:54 UTC 2026","","test_queries_async","",""
"Query parameters are handled properly.","4","test_parameterized_query_with_special_chars[core]","tests.integration.dbapi.sync.V2","Wed Mar 18 03:54:57 UTC 2026","passed","Wed Mar 18 03:54:57 UTC 2026","","test_queries","",""
"Inserted and than selected bytea value doesn't get corrupted.","56","test_bytea_roundtrip[core]","tests.integration.dbapi.async.V2","Wed Mar 18 03:54:54 UTC 2026","passed","Wed Mar 18 03:54:54 UTC 2026","","test_queries_async","",""
"Query parameters are handled properly.","55","test_parameterized_query[core]","tests.integration.dbapi.sync.V2","Wed Mar 18 03:54:58 UTC 2026","passed","Wed Mar 18 03:54:58 UTC 2026","","test_queries","",""
"Test that connection.close() rolls back uncommitted transactions when autocommit=False.","83","test_connection_close_rollback_with_autocommit_off[core]","tests.integration.dbapi.sync.V2","Wed Mar 18 03:55:09 UTC 2026","passed","Wed Mar 18 03:55:09 UTC 2026","","test_queries","",""
"Select handles errors properly.","6","test_streaming_error[core]","tests.integration.dbapi.sync.V2","Wed Mar 18 03:55:10 UTC 2026","passed","Wed Mar 18 03:55:10 UTC 2026","","test_streaming","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","84","test_autocommit_immediate_visibility[core-explicit]","tests.integration.dbapi.async.V2","Wed Mar 18 03:54:54 UTC 2026","passed","Wed Mar 18 03:54:54 UTC 2026","","test_queries_async","",""
