"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","354272","test_engine_update_single_parameter","tests.integration.resource_manager.V2","Fri Mar 20 15:24:04 UTC 2026","passed","Fri Mar 20 15:29:59 UTC 2026","","test_engine","",""
"","56","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]","tests.integration.utils","Fri Mar 20 15:21:54 UTC 2026","passed","Fri Mar 20 15:21:54 UTC 2026","","test_usage_tracker","",""
"","373949","test_engine_update_multiple_parameters","tests.integration.resource_manager.V2","Fri Mar 20 15:20:55 UTC 2026","passed","Fri Mar 20 15:27:09 UTC 2026","","test_engine","",""
"Test transaction SQL statements with ROLLBACK.","836","test_transaction_rollback[remote]","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:18 UTC 2026","passed","Fri Mar 20 15:20:19 UTC 2026","","test_queries","",""
"","219","test_account_v2_connection_with_db","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:13 UTC 2026","passed","Fri Mar 20 15:20:13 UTC 2026","","test_queries","",""
"Test transaction SQL statements with COMMIT.","1233","test_transaction_commit[remote]","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:49 UTC 2026","passed","Fri Mar 20 15:19:51 UTC 2026","","test_queries_async","",""
"","67","test_select_inf[remote]","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:02 UTC 2026","passed","Fri Mar 20 15:20:03 UTC 2026","","test_queries","",""
"","748","test_anyio_backend_import_issue[2]","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:10 UTC 2026","passed","Fri Mar 20 15:20:11 UTC 2026","","test_queries","",""
"Connection properly reacts to account that doesn't have
    a user attached to it.","2575","test_account_no_user","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:45 UTC 2026","passed","Fri Mar 20 15:19:48 UTC 2026","","test_errors_async","",""
"","2639","test_insert_async[remote]","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:32 UTC 2026","passed","Fri Mar 20 15:20:35 UTC 2026","","test_server_async","",""
"
    Async integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","908","test_database_switching_with_same_engine_preserves_database_context[remote]","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:55 UTC 2026","passed","Fri Mar 20 15:19:56 UTC 2026","","test_queries_async","",""
"","55353","test_streaming_limited_memory[remote]","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:59 UTC 2026","passed","Fri Mar 20 15:20:54 UTC 2026","","test_streaming","",""
"Select handles all data types properly.","228","test_streaming_select[remote]","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:59 UTC 2026","passed","Fri Mar 20 15:19:59 UTC 2026","","test_streaming","",""
"","753","test_anyio_backend_import_issue[4]","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:11 UTC 2026","passed","Fri Mar 20 15:20:12 UTC 2026","","test_queries","",""
"","61936","test_engine_rename","tests.integration.resource_manager.V2","Fri Mar 20 15:27:09 UTC 2026","passed","Fri Mar 20 15:28:11 UTC 2026","","test_engine","",""
"Connection properly reacts to invalid database error.","1273","test_database_not_exists","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:45 UTC 2026","passed","Fri Mar 20 15:19:46 UTC 2026","","test_errors_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10766","test_executemany_bulk_insert_paramstyles[remote-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:47 UTC 2026","passed","Fri Mar 20 15:19:58 UTC 2026","","test_queries_async","",""
"Test fb_numeric paramstyle: not enough parameters supplied.","91","test_fb_numeric_paramstyle_not_enough_params","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:16 UTC 2026","passed","Fri Mar 20 15:20:16 UTC 2026","","test_queries","",""
"Select handles errors properly.","96","test_streaming_error[remote]","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:59 UTC 2026","passed","Fri Mar 20 15:19:59 UTC 2026","","test_streaming","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","949","test_context_manager_auto_commit_on_normal_exit[remote]","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:26 UTC 2026","passed","Fri Mar 20 15:20:27 UTC 2026","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","414","test_context_manager_works_with_autocommit_on[remote]","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:28 UTC 2026","passed","Fri Mar 20 15:20:28 UTC 2026","","test_queries","",""
"Connection properly reacts to invalid account error.","917","test_invalid_account","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:45 UTC 2026","passed","Fri Mar 20 15:19:46 UTC 2026","","test_errors_async","",""
"Query parameters are handled properly.","37","test_parameterized_query_with_special_chars[remote]","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:03 UTC 2026","passed","Fri Mar 20 15:20:03 UTC 2026","","test_queries","",""
"Query parameters are handled properly.","578","test_parameterized_query[remote]","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:47 UTC 2026","passed","Fri Mar 20 15:19:47 UTC 2026","","test_queries_async","",""
"","56","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]","tests.integration.utils","Fri Mar 20 15:21:54 UTC 2026","passed","Fri Mar 20 15:21:54 UTC 2026","","test_usage_tracker","",""
"","30","test_check_async_execution_fails[remote]","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:40 UTC 2026","passed","Fri Mar 20 15:20:40 UTC 2026","","test_server_async","",""
"Create and drop table/index queries are handled properly.","1151","test_drop_create[remote]","tests.integration.dbapi.sync.V2","Fri Mar 20 15:28:52 UTC 2026","passed","Fri Mar 20 15:28:53 UTC 2026","","test_queries","",""
"Connecting with engine name is handled properly.","276","test_connect_no_db","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:02 UTC 2026","passed","Fri Mar 20 15:20:02 UTC 2026","","test_queries","",""
"Test fb_numeric paramstyle: insert/select all supported types, and parameter count errors.","590","test_fb_numeric_paramstyle_all_types","tests.integration.dbapi.sync.V2","Fri Mar 20 15:20:16 UTC 2026","passed","Fri Mar 20 15:20:16 UTC 2026","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","712","test_context_manager_works_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Fri Mar 20 15:19:54 UTC 2026","passed","Fri Mar 20 15:19:55 UTC 2026","","test_queries_async","",""
