"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 30 03:22:31 GMT 2025","Thu Oct 30 03:22:31 GMT 2025","80","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[core]",""
"passed","Thu Oct 30 03:22:18 GMT 2025","Thu Oct 30 03:22:18 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[core]",""
"skipped","Thu Oct 30 03:22:32 GMT 2025","Thu Oct 30 03:22:32 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Thu Oct 30 03:22:31 GMT 2025","Thu Oct 30 03:22:31 GMT 2025","26","tests.integration.dbapi.sync.V2","test_queries","","","","test_transaction_commit[core]","Test transaction SQL statements with COMMIT."
"passed","Thu Oct 30 03:22:18 GMT 2025","Thu Oct 30 03:22:18 GMT 2025","59","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Thu Oct 30 03:22:18 GMT 2025","Thu Oct 30 03:22:18 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[core]",""
"passed","Thu Oct 30 03:22:31 GMT 2025","Thu Oct 30 03:22:31 GMT 2025","38","tests.integration.dbapi.sync.V2","test_queries","","","","test_transaction_cursor_isolation[core]","Test that one cursor can't see another's data until it commits."
"passed","Thu Oct 30 03:22:18 GMT 2025","Thu Oct 30 03:22:18 GMT 2025","65","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Thu Oct 30 03:22:08 GMT 2025","Thu Oct 30 03:22:08 GMT 2025","70","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Thu Oct 30 03:22:20 GMT 2025","Thu Oct 30 03:22:20 GMT 2025","49","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Thu Oct 30 03:22:19 GMT 2025","Thu Oct 30 03:22:19 GMT 2025","33","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Thu Oct 30 03:22:31 GMT 2025","Thu Oct 30 03:22:32 GMT 2025","545","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"skipped","Thu Oct 30 03:22:20 GMT 2025","Thu Oct 30 03:22:20 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Thu Oct 30 03:22:31 GMT 2025","Thu Oct 30 03:22:31 GMT 2025","34","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Thu Oct 30 03:22:08 GMT 2025","Thu Oct 30 03:22:18 GMT 2025","10086","tests.integration.dbapi.async.V2","test_queries_async","","","","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","executemany with bulk_insert=True works correctly for both paramstyles."
"passed","Thu Oct 30 03:22:31 GMT 2025","Thu Oct 30 03:22:31 GMT 2025","32","tests.integration.dbapi.sync.V2","test_queries","","","","test_transaction_rollback[core]","Test transaction SQL statements with ROLLBACK."
"passed","Thu Oct 30 03:22:32 GMT 2025","Thu Oct 30 03:22:33 GMT 2025","1003","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[core]",""
