"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","75","test_autocommit_immediate_visibility[core-kind-explicit]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that connection.rollback() works correctly.","112","test_connection_rollback[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that context manager does not auto-commit when autocommit=True.","76","test_context_manager_works_with_autocommit_on[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Verify that a dedicated cluster can be brought up with default settings.","11","test_dedicated_compose_default[kind-core]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose","",""
"Connection properly reacts to SQL execution error.","28","test_sql_error[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_errors_async","",""
"","4","test_set_invalid_parameter[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","122","test_context_manager_no_auto_commit_on_exception_exit[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_auth_async","",""
"Insert and delete queries are handled properly.","87","test_insert[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","6","test_select_quoted_decimal[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Query parameters are handled properly.","32","test_parameterized_query_with_special_chars[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","30","test_set_invalid_parameter[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","20","test_executemany_bulk_insert_paramstyles[core-kind-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Select handles errors properly during fetching.","160","test_streaming_error_during_fetching[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Inserted and than selected bytea value doesn't get corrupted.","34","test_bytea_roundtrip[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","29","test_select_quoted_bigint[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Query parameters are handled properly.","45","test_parameterized_query[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Select handles all data types properly.","34","test_streaming_select[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Select handles multiple records properly.","778","test_streaming_multiple_records[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"","111","test_select_struct[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","30","test_select_quoted_decimal[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_auth_async","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","skipped","2026-03-25","","test_queries","",""
"Select handles errors properly during fetching.","205","test_streaming_error_during_fetching[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Select handles all data types properly.","63","test_select[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","126","test_context_manager_auto_commit_on_normal_exit[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_queries_async","",""
"Test that connection.rollback() works correctly.","65","test_connection_rollback[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","117","test_database_switching_with_same_engine_preserves_database_context[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10043","test_executemany_bulk_insert_paramstyles[core-kind-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","6","test_select_geography[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","0","test_streaming_limited_memory[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_streaming","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","skipped","2026-03-25","","test_auth","",""
"Select handles all data types properly.","36","test_select[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","6","test_select_inf[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Verify that a dedicated cluster can be brought up with 2 nodes.","48","test_dedicated_compose_multi_node[kind-core]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose_async","",""
"Connection properly reacts to sql execution error.","5","test_sql_error[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_errors","",""
"Select handles errors properly.","8","test_streaming_error[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"","30","test_select_inf[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","38","test_autocommit_immediate_visibility[core-kind-implicit]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that connection.aclose() does not rollback when autocommit=True.","112","test_connection_close_no_rollback_with_autocommit_on[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","39","test_autocommit_immediate_visibility[core-kind-explicit]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","6","test_select_quoted_bigint[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Inserted and than selected bytea value doesn't get corrupted.","57","test_bytea_roundtrip[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Select handles all data types properly.","68","test_streaming_select[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","57","test_executemany_bulk_insert_paramstyles[core-kind-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that connection.close() does not rollback when autocommit=True.","77","test_connection_close_no_rollback_with_autocommit_on[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","1028","test_query_timeout[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_timeout","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10084","test_executemany_bulk_insert_paramstyles[core-kind-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Verify that a dedicated cluster can be brought up with default settings.","37","test_dedicated_compose_default[kind-core]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose_async","",""
"","29","test_select_nan[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","77","test_transaction_cursor_isolation[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","82","test_select_struct[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Query parameters are handled properly","38","test_multi_statement_query[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","7","test_select_nan[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Select handles multiple records properly.","507","test_streaming_multiple_records[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","119","test_connection_close_rollback_with_autocommit_off[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test transaction SQL statements with COMMIT.","77","test_transaction_commit[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test transaction SQL statements with ROLLBACK.","84","test_transaction_rollback[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","80","test_context_manager_no_auto_commit_on_exception_exit[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
