"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test fb_numeric paramstyle: too many parameters supplied (should succeed).","436","test_fb_numeric_paramstyle_too_many_params","tests.integration.dbapi.async.V2","Wed Mar 25 07:14:17 UTC 2026","passed","Wed Mar 25 07:14:17 UTC 2026","","test_queries_async","",""
"","81","test_fb_numeric_paramstyle_incorrect_params","tests.integration.dbapi.sync.V2","Wed Mar 25 07:14:27 UTC 2026","passed","Wed Mar 25 07:14:27 UTC 2026","","test_queries","",""
"","492","test_cancel_async_query[remote]","tests.integration.dbapi.sync.V2","Wed Mar 25 07:14:37 UTC 2026","passed","Wed Mar 25 07:14:38 UTC 2026","","test_server_async","",""
"Query parameters are handled properly","335","test_multi_statement_query[remote]","tests.integration.dbapi.sync.V2","Wed Mar 25 07:14:17 UTC 2026","passed","Wed Mar 25 07:14:18 UTC 2026","","test_queries","",""
"","12500","test_insert_async[remote]","tests.integration.dbapi.sync.V2","Wed Mar 25 07:14:34 UTC 2026","passed","Wed Mar 25 07:14:46 UTC 2026","","test_server_async","",""
"Test fb_numeric paramstyle: not enough parameters supplied.","163","test_fb_numeric_paramstyle_not_enough_params","tests.integration.dbapi.async.V2","Wed Mar 25 07:14:01 UTC 2026","passed","Wed Mar 25 07:14:01 UTC 2026","","test_queries_async","",""
"
    Async integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","972","test_database_switching_with_same_engine_preserves_database_context[remote]","tests.integration.dbapi.async.V2","Wed Mar 25 07:14:07 UTC 2026","passed","Wed Mar 25 07:14:08 UTC 2026","","test_queries_async","",""
"","522","test_system_engine_use_engine","tests.integration.dbapi.sync.V2","Wed Mar 25 07:14:40 UTC 2026","passed","Wed Mar 25 07:14:40 UTC 2026","","test_system_engine","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","620","test_autocommit_immediate_visibility[remote-explicit]","tests.integration.dbapi.async.V2","Wed Mar 25 07:14:05 UTC 2026","passed","Wed Mar 25 07:14:06 UTC 2026","","test_queries_async","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[remote]","tests.integration.dbapi.async.V2","Wed Mar 25 07:13:58 UTC 2026","skipped","Wed Mar 25 07:13:58 UTC 2026","","test_auth_async","",""
"","17572","test_create_start_stop_engine","tests.integration.resource_manager.V2","Wed Mar 25 07:14:42 UTC 2026","passed","Wed Mar 25 07:14:59 UTC 2026","","test_engine","",""
"Test fb_numeric paramstyle: too many parameters supplied (should succeed).","347","test_fb_numeric_paramstyle_too_many_params","tests.integration.dbapi.sync.V2","Wed Mar 25 07:14:27 UTC 2026","passed","Wed Mar 25 07:14:27 UTC 2026","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","531399","test_long_query[remote]","tests.integration.dbapi.sync.V2","Wed Mar 25 07:14:15 UTC 2026","passed","Wed Mar 25 07:23:07 UTC 2026","","test_queries","",""
"","1159","test_anyio_backend_import_issue[3]","tests.integration.dbapi.sync.V2","Wed Mar 25 07:14:20 UTC 2026","passed","Wed Mar 25 07:14:21 UTC 2026","","test_queries","",""
"Test that connection.aclose() does not rollback when autocommit=True.","666","test_connection_close_no_rollback_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Wed Mar 25 07:14:07 UTC 2026","passed","Wed Mar 25 07:14:07 UTC 2026","","test_queries_async","",""
"","594","test_engine_switch","tests.integration.dbapi.async.V2","Wed Mar 25 07:14:01 UTC 2026","passed","Wed Mar 25 07:14:02 UTC 2026","","test_queries_async","",""
"Connection properly reacts to invalid account error.","598","test_invalid_account","tests.integration.dbapi.async.V2","Wed Mar 25 07:13:58 UTC 2026","passed","Wed Mar 25 07:13:59 UTC 2026","","test_errors_async","",""
"Connection properly reacts to account that doesn't have
    a user attached to it.","2509","test_account_no_user","tests.integration.dbapi.async.V2","Wed Mar 25 07:13:58 UTC 2026","passed","Wed Mar 25 07:14:01 UTC 2026","","test_errors_async","",""
"","76","test_set_invalid_parameter[remote]","tests.integration.dbapi.async.V2","Wed Mar 25 07:14:00 UTC 2026","passed","Wed Mar 25 07:14:00 UTC 2026","","test_queries_async","",""
"Connecting with engine name is handled properly.","374","test_system_engine","tests.integration.dbapi.sync.V2","Wed Mar 25 07:14:39 UTC 2026","passed","Wed Mar 25 07:14:40 UTC 2026","","test_system_engine","",""
