"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 15:56:05 GMT 2025","Tue Oct 21 15:56:05 GMT 2025","52","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Tue Oct 21 15:56:06 GMT 2025","Tue Oct 21 15:56:06 GMT 2025","60","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Tue Oct 21 15:56:03 GMT 2025","Tue Oct 21 15:56:03 GMT 2025","84","tests.integration.dbapi.async.V2","test_queries_async","","","","test_transaction_cursor_isolation[core]","Test that one cursor can't see another's data until it commits."
"passed","Tue Oct 21 15:56:05 GMT 2025","Tue Oct 21 15:56:05 GMT 2025","42","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[core]","Select handles all data types properly."
"passed","Tue Oct 21 15:56:03 GMT 2025","Tue Oct 21 15:56:03 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[core]",""
"passed","Tue Oct 21 15:56:08 GMT 2025","Tue Oct 21 15:56:08 GMT 2025","6","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Tue Oct 21 15:56:02 GMT 2025","Tue Oct 21 15:56:02 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[core]",""
"passed","Tue Oct 21 15:56:05 GMT 2025","Tue Oct 21 15:56:05 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[core]",""
"passed","Tue Oct 21 15:56:07 GMT 2025","Tue Oct 21 15:56:07 GMT 2025","48","tests.integration.dbapi.sync.V2","test_queries","","","","test_transaction_cursor_isolation[core]","Test that one cursor can't see another's data until it commits."
"broken","Tue Oct 21 15:56:03 GMT 2025","Tue Oct 21 15:56:03 GMT 2025","49","tests.integration.dbapi.async.V2","test_queries_async","","","","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""test_tbl"" VALUES (?, ?)-test_data1]","executemany with bulk_insert=True works correctly for both paramstyles."
"passed","Tue Oct 21 15:56:03 GMT 2025","Tue Oct 21 15:56:03 GMT 2025","71","tests.integration.dbapi.async.V2","test_queries_async","","","","test_transaction_rollback[core]","Test transaction SQL statements with ROLLBACK."
"passed","Tue Oct 21 15:56:06 GMT 2025","Tue Oct 21 15:56:06 GMT 2025","10","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Tue Oct 21 15:56:03 GMT 2025","Tue Oct 21 15:56:03 GMT 2025","32","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Tue Oct 21 15:56:04 GMT 2025","Tue Oct 21 15:56:05 GMT 2025","1030","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[core]",""
"skipped","Tue Oct 21 15:56:02 GMT 2025","Tue Oct 21 15:56:02 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"skipped","Tue Oct 21 15:56:04 GMT 2025","Tue Oct 21 15:56:04 GMT 2025","0","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Tue Oct 21 15:56:04 GMT 2025","Tue Oct 21 15:56:04 GMT 2025","32","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
