"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 15:56:36 GMT 2025","Tue Oct 21 15:56:37 GMT 2025","1200","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Tue Oct 21 15:56:45 GMT 2025","Tue Oct 21 16:05:43 GMT 2025","537951","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[remote]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Oct 21 15:56:43 GMT 2025","Tue Oct 21 15:56:43 GMT 2025","307","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Tue Oct 21 15:56:53 GMT 2025","Tue Oct 21 15:56:53 GMT 2025","105","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Tue Oct 21 15:56:37 GMT 2025","Tue Oct 21 15:56:37 GMT 2025","162","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db",""
"passed","Tue Oct 21 15:58:00 GMT 2025","Tue Oct 21 15:58:00 GMT 2025","54","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Tue Oct 21 15:56:45 GMT 2025","Tue Oct 21 15:56:45 GMT 2025","37","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[remote]",""
"passed","Tue Oct 21 15:56:35 GMT 2025","Tue Oct 21 15:56:36 GMT 2025","1083","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Tue Oct 21 15:56:56 GMT 2025","Tue Oct 21 15:56:56 GMT 2025","112","tests.integration.dbapi.sync.V2","test_queries","","","","test_fb_numeric_paramstyle_incorrect_params",""
"passed","Tue Oct 21 15:56:39 GMT 2025","Tue Oct 21 15:56:39 GMT 2025","98","tests.integration.dbapi.async.V2","test_queries_async","","","","test_fb_numeric_paramstyle_incorrect_params",""
"passed","Tue Oct 21 15:56:42 GMT 2025","Tue Oct 21 15:56:42 GMT 2025","348","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[remote]","Select handles errors properly during fetching."
"passed","Tue Oct 21 15:56:45 GMT 2025","Tue Oct 21 15:56:45 GMT 2025","128","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[remote]","Select handles all data types properly."
"broken","Tue Oct 21 15:56:47 GMT 2025","Tue Oct 21 15:56:47 GMT 2025","124","tests.integration.dbapi.sync.V2","test_queries","","","","test_executemany_bulk_insert_paramstyles[remote-fb_numeric-INSERT INTO ""test_tbl"" VALUES ($1, $2)-test_data0]","executemany with bulk_insert=True works correctly for both paramstyles."
"passed","Tue Oct 21 15:56:38 GMT 2025","Tue Oct 21 15:56:39 GMT 2025","987","tests.integration.dbapi.async.V2","test_queries_async","","","","test_transaction_commit[remote]","Test transaction SQL statements with COMMIT."
"passed","Tue Oct 21 15:56:38 GMT 2025","Tue Oct 21 15:56:38 GMT 2025","381","tests.integration.dbapi.async.V2","test_queries_async","","","","test_engine_switch",""
"passed","Tue Oct 21 15:56:46 GMT 2025","Tue Oct 21 15:56:46 GMT 2025","471","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[remote]","Insert and delete queries are handled properly."
"passed","Tue Oct 21 15:56:41 GMT 2025","Tue Oct 21 15:56:42 GMT 2025","648","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[remote]","Select handles multiple records properly."
"passed","Tue Oct 21 15:56:43 GMT 2025","Tue Oct 21 15:56:43 GMT 2025","247","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[remote]","Select handles all data types properly."
"passed","Tue Oct 21 15:57:18 GMT 2025","Tue Oct 21 15:57:18 GMT 2025","252","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[remote]","Select handles all data types properly."
"passed","Tue Oct 21 15:56:36 GMT 2025","Tue Oct 21 15:56:37 GMT 2025","818","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert[remote]","Insert and delete queries are handled properly."
"passed","Tue Oct 21 15:56:50 GMT 2025","Tue Oct 21 15:56:50 GMT 2025","783","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Tue Oct 21 15:56:37 GMT 2025","Tue Oct 21 15:56:39 GMT 2025","1452","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[remote]",""
"passed","Tue Oct 21 15:56:35 GMT 2025","Tue Oct 21 15:56:36 GMT 2025","584","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[remote]",""
"passed","Tue Oct 21 15:59:24 GMT 2025","Tue Oct 21 16:01:55 GMT 2025","151659","tests.integration.resource_manager.V2","test_engine","","","","test_engine_rename",""
"passed","Tue Oct 21 15:56:50 GMT 2025","Tue Oct 21 15:56:51 GMT 2025","820","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Tue Oct 21 15:56:38 GMT 2025","Tue Oct 21 15:56:38 GMT 2025","96","tests.integration.dbapi.async.V2","test_queries_async","","","","test_fb_numeric_paramstyle_not_enough_params","Test fb_numeric paramstyle: not enough parameters supplied."
"passed","Tue Oct 21 15:57:11 GMT 2025","Tue Oct 21 15:57:12 GMT 2025","412","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async_running[remote]",""
"passed","Tue Oct 21 15:56:35 GMT 2025","Tue Oct 21 16:05:33 GMT 2025","537375","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[remote]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Oct 21 15:56:53 GMT 2025","Tue Oct 21 15:56:57 GMT 2025","3397","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Tue Oct 21 15:58:00 GMT 2025","Tue Oct 21 15:58:00 GMT 2025","59","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Tue Oct 21 15:56:57 GMT 2025","Tue Oct 21 15:56:57 GMT 2025","580","tests.integration.dbapi.sync.V2","test_queries","","","","test_transaction_commit[remote]","Test transaction SQL statements with COMMIT."
"passed","Tue Oct 21 15:56:51 GMT 2025","Tue Oct 21 15:56:52 GMT 2025","776","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Tue Oct 21 15:56:54 GMT 2025","Tue Oct 21 15:56:54 GMT 2025","388","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[remote]","Inserted and than selected bytea value doesn't get corrupted."
"skipped","Tue Oct 21 15:56:43 GMT 2025","Tue Oct 21 15:56:43 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Tue Oct 21 15:57:59 GMT 2025","Tue Oct 21 15:57:59 GMT 2025","800","tests.integration.dbapi.sync.V2","test_queries","","","","test_transaction_cursor_isolation[remote]","Test that one cursor can't see another's data until it commits."
"passed","Tue Oct 21 15:56:43 GMT 2025","Tue Oct 21 15:56:43 GMT 2025","652","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Tue Oct 21 15:57:18 GMT 2025","Tue Oct 21 15:57:19 GMT 2025","867","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[remote]","Select handles multiple records properly."
"passed","Tue Oct 21 15:56:43 GMT 2025","Tue Oct 21 15:56:43 GMT 2025","67","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Oct 21 15:58:35 GMT 2025","Tue Oct 21 15:58:35 GMT 2025","97","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[remote]","Select handles errors properly."
"passed","Tue Oct 21 15:56:38 GMT 2025","Tue Oct 21 15:56:38 GMT 2025","95","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[remote]",""
"passed","Tue Oct 21 15:57:37 GMT 2025","Tue Oct 21 15:57:38 GMT 2025","1020","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[remote]",""
