"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Select handles multiple records properly.","362","test_streaming_multiple_records[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:28 UTC 2025","passed","Sun Dec 07 03:31:28 UTC 2025","","test_streaming","",""
"","29","test_select_quoted_decimal[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:26 UTC 2025","passed","Sun Dec 07 03:31:26 UTC 2025","","test_queries_async","",""
"Test that connection.commit() works correctly.","107","test_connection_commit[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:27 UTC 2025","passed","Sun Dec 07 03:31:27 UTC 2025","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","121","test_transaction_rollback[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:27 UTC 2025","passed","Sun Dec 07 03:31:27 UTC 2025","","test_queries_async","",""
"","29","test_select_nan[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:16 UTC 2025","passed","Sun Dec 07 03:31:16 UTC 2025","","test_queries_async","",""
"Inserted and than selected bytea value doesn't get corrupted.","56","test_bytea_roundtrip[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:26 UTC 2025","passed","Sun Dec 07 03:31:26 UTC 2025","","test_queries_async","",""
"","4","test_select_quoted_decimal[core]","tests.integration.dbapi.sync.V2","Sun Dec 07 03:31:41 UTC 2025","passed","Sun Dec 07 03:31:41 UTC 2025","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","77","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:27 UTC 2025","passed","Sun Dec 07 03:31:27 UTC 2025","","test_queries_async","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:16 UTC 2025","skipped","Sun Dec 07 03:31:16 UTC 2025","","test_auth_async","",""
"Select handles all data types properly.","36","test_streaming_select[core]","tests.integration.dbapi.sync.V2","Sun Dec 07 03:31:42 UTC 2025","passed","Sun Dec 07 03:31:42 UTC 2025","","test_streaming","",""
"","31","test_select_geography[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:26 UTC 2025","passed","Sun Dec 07 03:31:26 UTC 2025","","test_queries_async","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.sync.V2","Sun Dec 07 03:31:30 UTC 2025","skipped","Sun Dec 07 03:31:30 UTC 2025","","test_auth","",""
"Test that connection.commit() works correctly.","58","test_connection_commit[core]","tests.integration.dbapi.sync.V2","Sun Dec 07 03:31:41 UTC 2025","passed","Sun Dec 07 03:31:41 UTC 2025","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","72","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","Sun Dec 07 03:31:41 UTC 2025","passed","Sun Dec 07 03:31:42 UTC 2025","","test_queries","",""
"","114","test_select_struct[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:26 UTC 2025","passed","Sun Dec 07 03:31:26 UTC 2025","","test_queries_async","",""
"Test that context manager does not auto-commit when autocommit=True.","114","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:27 UTC 2025","passed","Sun Dec 07 03:31:27 UTC 2025","","test_queries_async","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","125","test_connection_close_rollback_with_autocommit_off[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:28 UTC 2025","passed","Sun Dec 07 03:31:28 UTC 2025","","test_queries_async","",""
"Inserted and than selected bytea value doesn't get corrupted.","31","test_bytea_roundtrip[core]","tests.integration.dbapi.sync.V2","Sun Dec 07 03:31:40 UTC 2025","passed","Sun Dec 07 03:31:40 UTC 2025","","test_queries","",""
"Connection properly reacts to SQL execution error.","40","test_sql_error[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:16 UTC 2025","passed","Sun Dec 07 03:31:16 UTC 2025","","test_errors_async","",""
"","30","test_select_inf[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:16 UTC 2025","passed","Sun Dec 07 03:31:16 UTC 2025","","test_queries_async","",""
"","3","test_set_invalid_parameter[core]","tests.integration.dbapi.sync.V2","Sun Dec 07 03:31:40 UTC 2025","passed","Sun Dec 07 03:31:40 UTC 2025","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10040","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","Sun Dec 07 03:31:30 UTC 2025","passed","Sun Dec 07 03:31:40 UTC 2025","","test_queries","",""
"Query parameters are handled properly.","74","test_parameterized_query[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:16 UTC 2025","passed","Sun Dec 07 03:31:16 UTC 2025","","test_queries_async","",""
"Select handles multiple records properly.","577","test_streaming_multiple_records[core]","tests.integration.dbapi.sync.V2","Sun Dec 07 03:31:42 UTC 2025","passed","Sun Dec 07 03:31:43 UTC 2025","","test_streaming","",""
"Test that connection.rollback() works correctly.","62","test_connection_rollback[core]","tests.integration.dbapi.sync.V2","Sun Dec 07 03:31:41 UTC 2025","passed","Sun Dec 07 03:31:41 UTC 2025","","test_queries","",""
"
    Async integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","127","test_database_switching_with_same_engine_preserves_database_context[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:28 UTC 2025","passed","Sun Dec 07 03:31:28 UTC 2025","","test_queries_async","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","124","test_context_manager_auto_commit_on_normal_exit[core]","tests.integration.dbapi.async.V2","Sun Dec 07 03:31:27 UTC 2025","passed","Sun Dec 07 03:31:27 UTC 2025","","test_queries_async","",""
