"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 05 03:18:23 GMT 2025","Sun Oct 05 03:18:23 GMT 2025","4","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"passed","Sun Oct 05 03:18:21 GMT 2025","Sun Oct 05 03:18:21 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[core]",""
"passed","Sun Oct 05 03:18:24 GMT 2025","Sun Oct 05 03:18:24 GMT 2025","57","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Sun Oct 05 03:18:21 GMT 2025","Sun Oct 05 03:18:21 GMT 2025","34","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"passed","Sun Oct 05 03:18:22 GMT 2025","Sun Oct 05 03:18:22 GMT 2025","64","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Sun Oct 05 03:18:26 GMT 2025","Sun Oct 05 03:18:26 GMT 2025","9","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"skipped","Sun Oct 05 03:18:24 GMT 2025","Sun Oct 05 03:18:24 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Sun Oct 05 03:18:24 GMT 2025","Sun Oct 05 03:18:24 GMT 2025","4","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[core]",""
"passed","Sun Oct 05 03:18:21 GMT 2025","Sun Oct 05 03:18:21 GMT 2025","38","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[core]","Connection properly reacts to SQL execution error."
"passed","Sun Oct 05 03:18:24 GMT 2025","Sun Oct 05 03:18:24 GMT 2025","34","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Sun Oct 05 03:18:24 GMT 2025","Sun Oct 05 03:18:24 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_decimal[core]",""
"passed","Sun Oct 05 03:18:22 GMT 2025","Sun Oct 05 03:18:22 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[core]",""
