"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","124","test_connection_close_rollback_with_autocommit_off[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:54 UTC 2026","passed","Mon Mar 30 04:01:54 UTC 2026","","test_queries_async","",""
"Query parameters are handled properly.","72","test_parameterized_query[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:42 UTC 2026","passed","Mon Mar 30 04:01:42 UTC 2026","","test_queries_async","",""
"","32","test_select_quoted_decimal[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:53 UTC 2026","passed","Mon Mar 30 04:01:53 UTC 2026","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","83","test_transaction_rollback[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:08 UTC 2026","passed","Mon Mar 30 04:02:08 UTC 2026","","test_queries","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:01:56 UTC 2026","skipped","Mon Mar 30 04:01:56 UTC 2026","","test_auth","",""
"Test that connection.rollback() works correctly.","110","test_connection_rollback[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:54 UTC 2026","passed","Mon Mar 30 04:01:54 UTC 2026","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10085","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:43 UTC 2026","passed","Mon Mar 30 04:01:53 UTC 2026","","test_queries_async","",""
"Inserted and than selected bytea value doesn't get corrupted.","32","test_bytea_roundtrip[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:07 UTC 2026","passed","Mon Mar 30 04:02:07 UTC 2026","","test_queries","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:42 UTC 2026","skipped","Mon Mar 30 04:01:42 UTC 2026","","test_auth_async","",""
"","5","test_select_quoted_bigint[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:07 UTC 2026","passed","Mon Mar 30 04:02:07 UTC 2026","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","43","test_autocommit_immediate_visibility[core-explicit]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:08 UTC 2026","passed","Mon Mar 30 04:02:08 UTC 2026","","test_queries","",""
"","29","test_select_quoted_bigint[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:53 UTC 2026","passed","Mon Mar 30 04:01:53 UTC 2026","","test_queries_async","",""
"Select handles all data types properly.","39","test_select[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:01:56 UTC 2026","passed","Mon Mar 30 04:01:57 UTC 2026","","test_queries","",""
"Select handles all data types properly.","63","test_select[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:42 UTC 2026","passed","Mon Mar 30 04:01:42 UTC 2026","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","45","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:08 UTC 2026","passed","Mon Mar 30 04:02:08 UTC 2026","","test_queries","",""
"Select handles errors properly during fetching.","236","test_streaming_error_during_fetching[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:55 UTC 2026","passed","Mon Mar 30 04:01:55 UTC 2026","","test_streaming","",""
"Test that cursors share the same transaction state - no isolation between cursors.","76","test_transaction_cursor_isolation[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:08 UTC 2026","passed","Mon Mar 30 04:02:08 UTC 2026","","test_queries","",""
"Select handles multiple records properly.","746","test_streaming_multiple_records[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:09 UTC 2026","passed","Mon Mar 30 04:02:10 UTC 2026","","test_streaming","",""
"Test that context manager does not auto-commit when autocommit=True.","74","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:08 UTC 2026","passed","Mon Mar 30 04:02:08 UTC 2026","","test_queries","",""
"","83","test_select_struct[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:07 UTC 2026","passed","Mon Mar 30 04:02:07 UTC 2026","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","116","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:54 UTC 2026","passed","Mon Mar 30 04:01:54 UTC 2026","","test_queries_async","",""
"","1029","test_query_timeout[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:55 UTC 2026","passed","Mon Mar 30 04:01:56 UTC 2026","","test_timeout","",""
"Inserted and than selected bytea value doesn't get corrupted.","56","test_bytea_roundtrip[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:53 UTC 2026","passed","Mon Mar 30 04:01:53 UTC 2026","","test_queries_async","",""
"Test transaction SQL statements with COMMIT.","88","test_transaction_commit[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:07 UTC 2026","passed","Mon Mar 30 04:02:08 UTC 2026","","test_queries","",""
"Insert and delete queries are handled properly.","83","test_insert[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:42 UTC 2026","passed","Mon Mar 30 04:01:42 UTC 2026","","test_queries_async","",""
"Query parameters are handled properly.","7","test_parameterized_query_with_special_chars[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:01:57 UTC 2026","passed","Mon Mar 30 04:01:57 UTC 2026","","test_queries","",""
"Test that connection.commit() works correctly.","58","test_connection_commit[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:08 UTC 2026","passed","Mon Mar 30 04:02:08 UTC 2026","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","28","test_executemany_bulk_insert_paramstyles[core-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:01:57 UTC 2026","passed","Mon Mar 30 04:01:57 UTC 2026","","test_queries","",""
"Query parameters are handled properly","62","test_multi_statement_query[core]","tests.integration.dbapi.async.V2","Mon Mar 30 04:01:53 UTC 2026","passed","Mon Mar 30 04:01:53 UTC 2026","","test_queries_async","",""
"Test that connection.close() does not rollback when autocommit=True.","72","test_connection_close_no_rollback_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","Mon Mar 30 04:02:09 UTC 2026","passed","Mon Mar 30 04:02:09 UTC 2026","","test_queries","",""
