"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that context manager does not commit transaction on exception exit.","123","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.async.V2","Fri Feb 20 03:50:39 UTC 2026","passed","Fri Feb 20 03:50:39 UTC 2026","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","27","test_executemany_bulk_insert_paramstyles[core-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:42 UTC 2026","passed","Fri Feb 20 03:50:42 UTC 2026","","test_queries","",""
"Test that connection.aclose() does not rollback when autocommit=True.","121","test_connection_close_no_rollback_with_autocommit_on[core]","tests.integration.dbapi.async.V2","Fri Feb 20 03:50:39 UTC 2026","passed","Fri Feb 20 03:50:39 UTC 2026","","test_queries_async","",""
"","31","test_select_quoted_bigint[core]","tests.integration.dbapi.async.V2","Fri Feb 20 03:50:38 UTC 2026","passed","Fri Feb 20 03:50:38 UTC 2026","","test_queries_async","",""
"Query parameters are handled properly.","54","test_parameterized_query[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:41 UTC 2026","passed","Fri Feb 20 03:50:42 UTC 2026","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:41 UTC 2026","skipped","Fri Feb 20 03:50:41 UTC 2026","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","83","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.async.V2","Fri Feb 20 03:50:38 UTC 2026","passed","Fri Feb 20 03:50:38 UTC 2026","","test_queries_async","",""
"Select handles errors properly.","7","test_streaming_error[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:54 UTC 2026","passed","Fri Feb 20 03:50:54 UTC 2026","","test_streaming","",""
"Query parameters are handled properly","36","test_multi_statement_query[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:52 UTC 2026","passed","Fri Feb 20 03:50:52 UTC 2026","","test_queries","",""
"Insert and delete queries are handled properly.","53","test_insert[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:41 UTC 2026","passed","Fri Feb 20 03:50:41 UTC 2026","","test_queries","",""
"","2","test_set_invalid_parameter[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:52 UTC 2026","passed","Fri Feb 20 03:50:52 UTC 2026","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","117","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.async.V2","Fri Feb 20 03:50:39 UTC 2026","passed","Fri Feb 20 03:50:39 UTC 2026","","test_queries_async","",""
"","1030","test_query_timeout[core]","tests.integration.dbapi.async.V2","Fri Feb 20 03:50:40 UTC 2026","passed","Fri Feb 20 03:50:41 UTC 2026","","test_timeout","",""
"Test that connection.close() does not rollback when autocommit=True.","75","test_connection_close_no_rollback_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:53 UTC 2026","passed","Fri Feb 20 03:50:53 UTC 2026","","test_queries","",""
"","6","test_select_inf[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:41 UTC 2026","passed","Fri Feb 20 03:50:41 UTC 2026","","test_queries","",""
"Select handles errors properly.","32","test_streaming_error[core]","tests.integration.dbapi.async.V2","Fri Feb 20 03:50:40 UTC 2026","passed","Fri Feb 20 03:50:40 UTC 2026","","test_streaming","",""
"","6","test_select_quoted_bigint[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:52 UTC 2026","passed","Fri Feb 20 03:50:52 UTC 2026","","test_queries","",""
"Select handles errors properly during fetching.","120","test_streaming_error_during_fetching[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:54 UTC 2026","passed","Fri Feb 20 03:50:54 UTC 2026","","test_streaming","",""
"Inserted and than selected bytea value doesn't get corrupted.","32","test_bytea_roundtrip[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:52 UTC 2026","passed","Fri Feb 20 03:50:52 UTC 2026","","test_queries","",""
"Test that connection.commit() works correctly.","58","test_connection_commit[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:53 UTC 2026","passed","Fri Feb 20 03:50:53 UTC 2026","","test_queries","",""
"","94","test_select_struct[core]","tests.integration.dbapi.sync.V2","Fri Feb 20 03:50:52 UTC 2026","passed","Fri Feb 20 03:50:52 UTC 2026","","test_queries","",""
