"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Query parameters are handled properly.","345","test_parameterized_query[remote-docker-compose]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:18:35 UTC 2026","passed","Tue Mar 24 03:18:35 UTC 2026","","test_queries","",""
"Connection properly reacts to invalid database error.","892","test_database_not_exists[docker-compose]","tests.integration.dbapi.async.V2","Tue Mar 24 03:18:17 UTC 2026","passed","Tue Mar 24 03:18:18 UTC 2026","","test_errors_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10314","test_executemany_bulk_insert_paramstyles[remote-docker-compose-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:18:36 UTC 2026","passed","Tue Mar 24 03:18:46 UTC 2026","","test_queries","",""
"","402","test_system_engine[docker-compose]","tests.integration.dbapi.async.V2","Tue Mar 24 03:18:31 UTC 2026","passed","Tue Mar 24 03:18:32 UTC 2026","","test_system_engine_async","",""
"","76","test_fb_numeric_paramstyle_incorrect_params[docker-compose]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:18:46 UTC 2026","passed","Tue Mar 24 03:18:46 UTC 2026","","test_queries","",""
"","709","test_system_engine_use_engine[docker-compose]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:19:01 UTC 2026","passed","Tue Mar 24 03:19:02 UTC 2026","","test_system_engine","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","532315","test_long_query[remote-docker-compose]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:18:34 UTC 2026","passed","Tue Mar 24 03:27:26 UTC 2026","","test_queries","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[remote-docker-compose]","tests.integration.dbapi.async.V2","Tue Mar 24 03:18:17 UTC 2026","skipped","Tue Mar 24 03:18:17 UTC 2026","","test_auth_async","",""
"","16444","test_connection_with_mixed_case_db_and_engine[docker-compose]","tests.integration.dbapi.async.V2","Tue Mar 24 03:18:20 UTC 2026","passed","Tue Mar 24 03:18:37 UTC 2026","","test_queries_async","",""
"Test that context manager does not auto-commit when autocommit=True.","354","test_context_manager_works_with_autocommit_on[remote-docker-compose]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:18:51 UTC 2026","passed","Tue Mar 24 03:18:51 UTC 2026","","test_queries","",""
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","877","test_database_switching_with_same_engine_preserves_database_context[remote-docker-compose]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:18:53 UTC 2026","passed","Tue Mar 24 03:18:54 UTC 2026","","test_queries","",""
"","272114","test_engine_update_multiple_parameters[docker-compose]","tests.integration.resource_manager.V2","Tue Mar 24 03:19:09 UTC 2026","passed","Tue Mar 24 03:23:41 UTC 2026","","test_engine","",""
"","242","test_account_v2_connection_with_db[docker-compose]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:18:41 UTC 2026","passed","Tue Mar 24 03:18:41 UTC 2026","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","567","test_executemany_bulk_insert_paramstyles[remote-docker-compose-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","Tue Mar 24 03:18:19 UTC 2026","passed","Tue Mar 24 03:18:19 UTC 2026","","test_queries_async","",""
"","743","test_anyio_backend_import_issue[docker-compose-3]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:18:40 UTC 2026","passed","Tue Mar 24 03:18:41 UTC 2026","","test_queries","",""
"Inserted and than selected bytea value doesn't get corrupted.","493","test_bytea_roundtrip[remote-docker-compose]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:18:41 UTC 2026","passed","Tue Mar 24 03:18:42 UTC 2026","","test_queries","",""
"","26","test_select_nan[remote-docker-compose]","tests.integration.dbapi.sync.V2","Tue Mar 24 03:18:33 UTC 2026","passed","Tue Mar 24 03:18:34 UTC 2026","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","1392","test_context_manager_no_auto_commit_on_exception_exit[remote-docker-compose]","tests.integration.dbapi.async.V2","Tue Mar 24 03:18:26 UTC 2026","passed","Tue Mar 24 03:18:27 UTC 2026","","test_queries_async","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","1154","test_context_manager_auto_commit_on_normal_exit[remote-docker-compose]","tests.integration.dbapi.async.V2","Tue Mar 24 03:18:25 UTC 2026","passed","Tue Mar 24 03:18:26 UTC 2026","","test_queries_async","",""
"Test fb_numeric paramstyle: insert/select all supported types, and parameter count errors.","425","test_fb_numeric_paramstyle_all_types[docker-compose]","tests.integration.dbapi.async.V2","Tue Mar 24 03:18:30 UTC 2026","passed","Tue Mar 24 03:18:31 UTC 2026","","test_queries_async","",""
