"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","61","test_database_switching_with_same_engine_preserves_database_context[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Verify that a dedicated cluster can be brought up with default settings.","17","test_dedicated_compose_default[docker-compose-core]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","22","test_executemany_bulk_insert_paramstyles[core-docker-compose-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","59","test_context_manager_auto_commit_on_normal_exit[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Select handles errors properly.","21","test_streaming_error[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"","16","test_select_quoted_bigint[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Select handles all data types properly.","63","test_select[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test transaction SQL statements with COMMIT.","52","test_transaction_commit[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","skipped","2026-03-25","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_queries_async","",""
"Test that connection.close() does not rollback when autocommit=True.","48","test_connection_close_no_rollback_with_autocommit_on[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","89","test_connection_close_rollback_with_autocommit_off[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","11","test_select_geography[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that connection.aclose() does not rollback when autocommit=True.","75","test_connection_close_no_rollback_with_autocommit_on[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Connection properly reacts to sql execution error.","10","test_sql_error[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_errors","",""
"Verify that a dedicated cluster can be brought up with 2 nodes.","48","test_dedicated_compose_multi_node[docker-compose-core]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10091","test_executemany_bulk_insert_paramstyles[core-docker-compose-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
