"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Select handles errors properly during fetching.","251","test_streaming_error_during_fetching[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_streaming","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","skipped","2026-03-23","","test_queries","",""
"Select handles all data types properly.","63","test_streaming_select[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_streaming","",""
"Auth refreshes token on expiration/invalidation","1","test_refresh_token[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","skipped","2026-03-23","","test_auth_async","",""
"","29","test_select_quoted_bigint[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"","33","test_set_invalid_parameter[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"","26","test_set_invalid_parameter[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","170","test_context_manager_no_auto_commit_on_exception_exit[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"","36","test_select_geography[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"","0","test_streaming_limited_memory[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","skipped","2026-03-23","","test_streaming","",""
"Test that cursors share the same transaction state - no isolation between cursors.","219","test_transaction_cursor_isolation[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","176","test_context_manager_auto_commit_on_normal_exit[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"Test that connection.aclose() does not rollback when autocommit=True.","136","test_connection_close_no_rollback_with_autocommit_on[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","100","test_autocommit_immediate_visibility[core-docker-compose-implicit]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","85","test_transaction_cursor_isolation[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","49","test_autocommit_immediate_visibility[core-docker-compose-implicit]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","179","test_connection_close_rollback_with_autocommit_off[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"Query parameters are handled properly","70","test_multi_statement_query[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"Test transaction SQL statements with COMMIT.","90","test_transaction_commit[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"Connection properly reacts to sql execution error.","28","test_sql_error[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_errors","",""
"Test transaction SQL statements with COMMIT.","167","test_transaction_commit[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"","124","test_select_struct[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"","54","test_select_nan[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10083","test_executemany_bulk_insert_paramstyles[core-docker-compose-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","97","test_context_manager_auto_commit_on_normal_exit[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","88","test_context_manager_works_with_autocommit_on[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"","36","test_select_quoted_bigint[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"Insert and delete queries are handled properly.","86","test_insert[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"","29","test_select_geography[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","137","test_context_manager_works_with_autocommit_on[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"Test that connection.commit() works correctly.","68","test_connection_commit[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","29","test_executemany_bulk_insert_paramstyles[core-docker-compose-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"Test transaction SQL statements with ROLLBACK.","92","test_transaction_rollback[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"Select handles all data types properly.","85","test_select[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","79","test_executemany_bulk_insert_paramstyles[core-docker-compose-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","2026-03-23","passed","2026-03-23","","test_queries_async","",""
"Select handles errors properly during fetching.","203","test_streaming_error_during_fetching[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-23","passed","2026-03-23","","test_streaming","",""
