"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","976","test_database_switching_with_same_engine_preserves_database_context[remote]","tests.integration.dbapi.sync.V2","Wed Mar 25 06:11:20 UTC 2026","passed","Wed Mar 25 06:11:21 UTC 2026","","test_queries","",""
"Query parameters are handled properly.","595","test_parameterized_query[remote]","tests.integration.dbapi.async.V2","Wed Mar 25 06:10:47 UTC 2026","passed","Wed Mar 25 06:10:47 UTC 2026","","test_queries_async","",""
"","53893","test_streaming_limited_memory[remote]","tests.integration.dbapi.async.V2","Wed Mar 25 06:10:58 UTC 2026","passed","Wed Mar 25 06:11:52 UTC 2026","","test_streaming","",""
"","698","test_connection_with_mixed_case_db_and_engine","tests.integration.dbapi.sync.V2","Wed Mar 25 06:11:22 UTC 2026","passed","Wed Mar 25 06:11:23 UTC 2026","","test_queries","",""
"Connecting with engine name is handled properly.","1517","test_connect_no_db","tests.integration.dbapi.async.V2","Wed Mar 25 06:10:45 UTC 2026","passed","Wed Mar 25 06:10:47 UTC 2026","","test_queries_async","",""
"Query parameters are handled properly.","367","test_parameterized_query[remote]","tests.integration.dbapi.sync.V2","Wed Mar 25 06:11:02 UTC 2026","passed","Wed Mar 25 06:11:02 UTC 2026","","test_queries","",""
"","33","test_select_quoted_decimal[remote]","tests.integration.dbapi.sync.V2","Wed Mar 25 06:11:14 UTC 2026","passed","Wed Mar 25 06:11:14 UTC 2026","","test_queries","",""
"Test that connection.aclose() does not rollback when autocommit=True.","697","test_connection_close_no_rollback_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Wed Mar 25 06:10:55 UTC 2026","passed","Wed Mar 25 06:10:56 UTC 2026","","test_queries_async","",""
"","423","test_system_engine","tests.integration.dbapi.async.V2","Wed Mar 25 06:10:59 UTC 2026","passed","Wed Mar 25 06:10:59 UTC 2026","","test_system_engine_async","",""
"Connection properly reacts to invalid database error.","852","test_database_not_exists","tests.integration.dbapi.async.V2","Wed Mar 25 06:10:45 UTC 2026","passed","Wed Mar 25 06:10:46 UTC 2026","","test_errors_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","718","test_autocommit_immediate_visibility[remote-implicit]","tests.integration.dbapi.async.V2","Wed Mar 25 06:10:51 UTC 2026","passed","Wed Mar 25 06:10:52 UTC 2026","","test_queries_async","",""
"Select handles errors properly.","180","test_streaming_error[remote]","tests.integration.dbapi.async.V2","Wed Mar 25 06:11:52 UTC 2026","passed","Wed Mar 25 06:11:52 UTC 2026","","test_streaming","",""
"","609","test_system_engine_use_engine","tests.integration.dbapi.sync.V2","Wed Mar 25 06:11:31 UTC 2026","passed","Wed Mar 25 06:11:32 UTC 2026","","test_system_engine","",""
"","95","test_select_quoted_bigint[remote]","tests.integration.dbapi.async.V2","Wed Mar 25 06:10:49 UTC 2026","passed","Wed Mar 25 06:10:49 UTC 2026","","test_queries_async","",""
"Test fb_numeric paramstyle: too many parameters supplied (should succeed).","410","test_fb_numeric_paramstyle_too_many_params","tests.integration.dbapi.async.V2","Wed Mar 25 06:10:49 UTC 2026","passed","Wed Mar 25 06:10:49 UTC 2026","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","1283","test_transaction_rollback[remote]","tests.integration.dbapi.async.V2","Wed Mar 25 06:10:50 UTC 2026","passed","Wed Mar 25 06:10:51 UTC 2026","","test_queries_async","",""
"Query parameters are handled properly","524","test_multi_statement_query[remote]","tests.integration.dbapi.sync.V2","Wed Mar 25 06:11:13 UTC 2026","passed","Wed Mar 25 06:11:14 UTC 2026","","test_queries","",""
"Auth raises Authentication Error on credentials invalidation","0","test_credentials_invalidation[username_password_connection]","tests.integration.dbapi.sync.V2","Wed Mar 25 06:11:00 UTC 2026","skipped","Wed Mar 25 06:11:00 UTC 2026","","test_auth","",""
