"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 11:04:15 GMT 2025","Thu Oct 23 11:04:16 GMT 2025","1354","tests.integration.dbapi.async.V2","test_queries_async","","","","test_transaction_cursor_isolation[remote]","Test that one cursor can't see another's data until it commits."
"passed","Thu Oct 23 11:05:14 GMT 2025","Thu Oct 23 11:05:15 GMT 2025","1126","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[remote]",""
"passed","Thu Oct 23 11:04:14 GMT 2025","Thu Oct 23 11:04:15 GMT 2025","1283","tests.integration.dbapi.async.V2","test_queries_async","","","","test_transaction_rollback[remote]","Test transaction SQL statements with ROLLBACK."
"passed","Thu Oct 23 11:05:08 GMT 2025","Thu Oct 23 11:05:09 GMT 2025","1162","tests.integration.dbapi.sync.V2","test_server_async","","","","test_cancel_async_query[remote]",""
"passed","Thu Oct 23 11:10:31 GMT 2025","Thu Oct 23 11:11:24 GMT 2025","52925","tests.integration.resource_manager.V2","test_engine","","","","test_engine_rename",""
"passed","Thu Oct 23 11:04:20 GMT 2025","Thu Oct 23 11:04:21 GMT 2025","862","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Thu Oct 23 11:04:10 GMT 2025","Thu Oct 23 11:04:10 GMT 2025","535","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[remote]",""
"passed","Thu Oct 23 11:04:47 GMT 2025","Thu Oct 23 11:04:48 GMT 2025","906","tests.integration.dbapi.sync.V2","test_queries","","","","test_transaction_cursor_isolation[remote]","Test that one cursor can't see another's data until it commits."
"passed","Thu Oct 23 11:04:20 GMT 2025","Thu Oct 23 11:04:22 GMT 2025","1361","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Thu Oct 23 11:05:32 GMT 2025","Thu Oct 23 11:05:32 GMT 2025","54","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Thu Oct 23 11:04:16 GMT 2025","Thu Oct 23 11:04:17 GMT 2025","263","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_fails[remote]",""
"passed","Thu Oct 23 11:12:57 GMT 2025","Thu Oct 23 11:12:58 GMT 2025","391","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[remote]","Query parameters are handled properly."
"passed","Thu Oct 23 11:04:44 GMT 2025","Thu Oct 23 11:04:44 GMT 2025","192","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_decimal[remote]",""
"passed","Thu Oct 23 11:04:15 GMT 2025","Thu Oct 23 11:04:17 GMT 2025","2456","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[remote]",""
"passed","Thu Oct 23 11:04:24 GMT 2025","Thu Oct 23 11:13:12 GMT 2025","527613","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[remote]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Thu Oct 23 11:05:32 GMT 2025","Thu Oct 23 11:05:32 GMT 2025","54","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Thu Oct 23 11:04:14 GMT 2025","Thu Oct 23 11:04:14 GMT 2025","280","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[remote]",""
"passed","Thu Oct 23 11:04:08 GMT 2025","Thu Oct 23 11:04:09 GMT 2025","847","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Thu Oct 23 11:05:09 GMT 2025","Thu Oct 23 11:05:10 GMT 2025","1342","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[remote]","Select handles multiple records properly."
"passed","Thu Oct 23 11:04:22 GMT 2025","Thu Oct 23 11:04:22 GMT 2025","250","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Thu Oct 23 11:04:19 GMT 2025","Thu Oct 23 11:04:19 GMT 2025","269","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[remote]","Select handles errors properly."
"passed","Thu Oct 23 11:04:08 GMT 2025","Thu Oct 23 11:04:10 GMT 2025","1369","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Thu Oct 23 11:05:32 GMT 2025","Thu Oct 23 11:05:32 GMT 2025","55","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Thu Oct 23 11:04:13 GMT 2025","Thu Oct 23 11:04:14 GMT 2025","939","tests.integration.dbapi.async.V2","test_queries_async","","","","test_engine_switch",""
"passed","Thu Oct 23 11:04:17 GMT 2025","Thu Oct 23 11:04:20 GMT 2025","2767","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_query_fails[remote]",""
