"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create and drop table/index queries are handled properly.","2054","test_drop_create[remote]","tests.integration.dbapi.async.V2","Thu Nov 06 11:00:41 UTC 2025","passed","Thu Nov 06 11:00:43 UTC 2025","","test_queries_async","",""
"","72460","test_streaming_limited_memory[remote]","tests.integration.dbapi.sync.V2","Thu Nov 06 11:01:52 UTC 2025","passed","Thu Nov 06 11:03:05 UTC 2025","","test_streaming","",""
"","91233","test_connection_with_mixed_case_db_and_engine","tests.integration.dbapi.async.V2","Thu Nov 06 11:00:46 UTC 2025","passed","Thu Nov 06 11:02:18 UTC 2025","","test_queries_async","",""
"","138444","test_engine_update_multiple_parameters","tests.integration.resource_manager.V2","Thu Nov 06 11:02:19 UTC 2025","passed","Thu Nov 06 11:04:38 UTC 2025","","test_engine","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","1009","test_autocommit_immediate_visibility[remote-implicit]","tests.integration.dbapi.async.V2","Thu Nov 06 11:00:48 UTC 2025","passed","Thu Nov 06 11:00:49 UTC 2025","","test_queries_async","",""
"","862","test_anyio_backend_import_issue[2]","tests.integration.dbapi.sync.V2","Thu Nov 06 11:01:08 UTC 2025","passed","Thu Nov 06 11:01:09 UTC 2025","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","1479","test_context_manager_no_auto_commit_on_exception_exit[remote]","tests.integration.dbapi.async.V2","Thu Nov 06 11:00:50 UTC 2025","passed","Thu Nov 06 11:00:51 UTC 2025","","test_queries_async","",""
"Test that context manager does not auto-commit when autocommit=True.","675","test_context_manager_works_with_autocommit_on[remote]","tests.integration.dbapi.sync.V2","Thu Nov 06 11:01:33 UTC 2025","passed","Thu Nov 06 11:01:33 UTC 2025","","test_queries","",""
"Query parameters are handled properly","613","test_multi_statement_query[remote]","tests.integration.dbapi.async.V2","Thu Nov 06 11:00:42 UTC 2025","passed","Thu Nov 06 11:00:43 UTC 2025","","test_queries_async","",""
"","57","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]","tests.integration.utils","Thu Nov 06 11:02:45 UTC 2025","passed","Thu Nov 06 11:02:45 UTC 2025","","test_usage_tracker","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[remote]","tests.integration.dbapi.async.V2","Thu Nov 06 11:00:40 UTC 2025","skipped","Thu Nov 06 11:00:40 UTC 2025","","test_auth_async","",""
"Auth raises Authentication Error on credentials invalidation","0","test_credentials_invalidation[connection]","tests.integration.dbapi.sync.V2","Thu Nov 06 11:00:57 UTC 2025","skipped","Thu Nov 06 11:00:57 UTC 2025","","test_auth","",""
"Test that connection.rollback() works correctly.","2132","test_connection_rollback[remote]","tests.integration.dbapi.sync.V2","Thu Nov 06 11:01:27 UTC 2025","passed","Thu Nov 06 11:01:30 UTC 2025","","test_queries","",""
"","132","test_fb_numeric_paramstyle_incorrect_params","tests.integration.dbapi.async.V2","Thu Nov 06 11:00:45 UTC 2025","passed","Thu Nov 06 11:00:45 UTC 2025","","test_queries_async","",""
"Test transaction SQL statements with COMMIT.","875","test_transaction_commit[remote]","tests.integration.dbapi.sync.V2","Thu Nov 06 11:01:17 UTC 2025","passed","Thu Nov 06 11:01:18 UTC 2025","","test_queries","",""
"","177","test_select_quoted_decimal[remote]","tests.integration.dbapi.sync.V2","Thu Nov 06 11:01:17 UTC 2025","passed","Thu Nov 06 11:01:17 UTC 2025","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","1127","test_context_manager_no_auto_commit_on_exception_exit[remote]","tests.integration.dbapi.sync.V2","Thu Nov 06 11:01:34 UTC 2025","passed","Thu Nov 06 11:01:35 UTC 2025","","test_queries","",""
"","1735","test_select_struct[remote]","tests.integration.dbapi.sync.V2","Thu Nov 06 11:01:14 UTC 2025","passed","Thu Nov 06 11:01:15 UTC 2025","","test_queries","",""
"","55","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]","tests.integration.utils","Thu Nov 06 11:02:45 UTC 2025","passed","Thu Nov 06 11:02:45 UTC 2025","","test_usage_tracker","",""
