"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","test_select_inf[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:39:56 UTC 2026","passed","Thu Jan 22 13:39:56 UTC 2026","","test_queries","",""
"Test fb_numeric paramstyle: not enough parameters supplied.","267","test_fb_numeric_paramstyle_not_enough_params","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:15 UTC 2026","passed","Thu Jan 22 13:40:15 UTC 2026","","test_queries","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","2187","test_connection_close_rollback_with_autocommit_off[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:46 UTC 2026","passed","Thu Jan 22 13:39:48 UTC 2026","","test_queries_async","",""
"Test transaction SQL statements with COMMIT.","1563","test_transaction_commit[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:18 UTC 2026","passed","Thu Jan 22 13:40:19 UTC 2026","","test_queries","",""
"","53","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]","tests.integration.utils","Thu Jan 22 13:43:31 UTC 2026","passed","Thu Jan 22 13:43:31 UTC 2026","","test_usage_tracker","",""
"","208","test_set_invalid_parameter[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:39:59 UTC 2026","passed","Thu Jan 22 13:39:59 UTC 2026","","test_queries","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:32 UTC 2026","skipped","Thu Jan 22 13:39:32 UTC 2026","","test_auth_async","",""
"","917","test_anyio_backend_import_issue[0]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:39:59 UTC 2026","passed","Thu Jan 22 13:40:00 UTC 2026","","test_queries","",""
"","233936","test_connection_with_mixed_case_db_and_engine","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:36 UTC 2026","passed","Thu Jan 22 13:43:30 UTC 2026","","test_queries_async","",""
"","2907","test_check_async_query_fails[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:51 UTC 2026","passed","Thu Jan 22 13:40:54 UTC 2026","","test_server_async","",""
"Query parameters are handled properly.","362","test_parameterized_query_with_special_chars[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:48:31 UTC 2026","passed","Thu Jan 22 13:48:31 UTC 2026","","test_queries_async","",""
"Test that BEGIN does not start a transaction when autocommit is enabled.","2193","test_begin_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:41 UTC 2026","passed","Thu Jan 22 13:39:43 UTC 2026","","test_queries_async","",""
"","286","test_fb_numeric_paramstyle_incorrect_params","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:16 UTC 2026","passed","Thu Jan 22 13:40:16 UTC 2026","","test_queries","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","2193","test_context_manager_auto_commit_on_normal_exit[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:43 UTC 2026","passed","Thu Jan 22 13:39:45 UTC 2026","","test_queries_async","",""
"","183837","test_create_start_stop_engine","tests.integration.resource_manager.V2","Thu Jan 22 13:41:02 UTC 2026","passed","Thu Jan 22 13:44:05 UTC 2026","","test_engine","",""
"","265","test_select_quoted_decimal[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:38 UTC 2026","passed","Thu Jan 22 13:39:38 UTC 2026","","test_queries_async","",""
"","318","test_account_v2_connection_with_db","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:36 UTC 2026","passed","Thu Jan 22 13:39:37 UTC 2026","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","1036","test_autocommit_immediate_visibility[remote-implicit]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:26 UTC 2026","passed","Thu Jan 22 13:40:27 UTC 2026","","test_queries","",""
"Test that connection.aclose() does not rollback when autocommit=True.","1446","test_connection_close_no_rollback_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:46 UTC 2026","passed","Thu Jan 22 13:39:48 UTC 2026","","test_queries_async","",""
"Select handles errors properly.","320","test_streaming_error[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:42:07 UTC 2026","passed","Thu Jan 22 13:42:07 UTC 2026","","test_streaming","",""
"","423929","test_engine_update_multiple_parameters","tests.integration.resource_manager.V2","Thu Jan 22 13:42:07 UTC 2026","passed","Thu Jan 22 13:49:11 UTC 2026","","test_engine","",""
"","3227","test_insert_async[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:46 UTC 2026","passed","Thu Jan 22 13:40:49 UTC 2026","","test_server_async","",""
"Inserted and than selected bytea value doesn't get corrupted.","876","test_bytea_roundtrip[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:35 UTC 2026","passed","Thu Jan 22 13:39:36 UTC 2026","","test_queries_async","",""
"","943","test_anyio_backend_import_issue[4]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:03 UTC 2026","passed","Thu Jan 22 13:40:04 UTC 2026","","test_queries","",""
"Connection properly reacts to sql execution error.","223","test_sql_error[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:39:55 UTC 2026","passed","Thu Jan 22 13:39:56 UTC 2026","","test_errors","",""
"Connection properly reacts to invalid database error.","1476","test_database_not_exists","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:32 UTC 2026","passed","Thu Jan 22 13:39:33 UTC 2026","","test_errors_async","",""
"","671","test_select_inf[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:35 UTC 2026","passed","Thu Jan 22 13:39:36 UTC 2026","","test_queries_async","",""
"","1122","test_connection_with_mixed_case_db_and_engine","tests.integration.dbapi.sync.V2","Thu Jan 22 13:46:02 UTC 2026","passed","Thu Jan 22 13:46:03 UTC 2026","","test_queries","",""
"Inserted and than selected bytea value doesn't get corrupted.","868","test_bytea_roundtrip[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:04 UTC 2026","passed","Thu Jan 22 13:40:05 UTC 2026","","test_queries","",""
"","212","test_check_async_execution_fails[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:50 UTC 2026","passed","Thu Jan 22 13:40:50 UTC 2026","","test_server_async","",""
"Auth raises Authentication Error on credentials invalidation","0","test_credentials_invalidation[connection]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:39:54 UTC 2026","skipped","Thu Jan 22 13:39:54 UTC 2026","","test_auth","",""
"Connecting with engine name is handled properly.","871","test_system_engine_no_db","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:57 UTC 2026","passed","Thu Jan 22 13:40:58 UTC 2026","","test_system_engine","",""
"
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    ","376","test_multi_thread_connection_sharing","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:04 UTC 2026","passed","Thu Jan 22 13:40:04 UTC 2026","","test_queries","",""
"Select handles multiple records properly.","1175","test_streaming_multiple_records[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:50 UTC 2026","passed","Thu Jan 22 13:39:51 UTC 2026","","test_streaming","",""
"Test that connection.close() does not rollback when autocommit=True.","874","test_connection_close_no_rollback_with_autocommit_on[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:45 UTC 2026","passed","Thu Jan 22 13:40:46 UTC 2026","","test_queries","",""
"Connection properly reacts to SQL execution error.","1996","test_sql_error[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:32 UTC 2026","passed","Thu Jan 22 13:39:34 UTC 2026","","test_errors_async","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","537617","test_long_query[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:39:56 UTC 2026","passed","Thu Jan 22 13:48:54 UTC 2026","","test_queries","",""
"","2830","test_check_async_query_fails[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:49 UTC 2026","passed","Thu Jan 22 13:39:52 UTC 2026","","test_server_async","",""
"","1385","test_system_engine_use_engine","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:58 UTC 2026","passed","Thu Jan 22 13:41:00 UTC 2026","","test_system_engine","",""
"","283","test_fb_numeric_paramstyle_incorrect_params","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:37 UTC 2026","passed","Thu Jan 22 13:39:38 UTC 2026","","test_queries_async","",""
"","233","test_select_quoted_bigint[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:17 UTC 2026","passed","Thu Jan 22 13:40:17 UTC 2026","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","1667","test_context_manager_no_auto_commit_on_exception_exit[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:40 UTC 2026","passed","Thu Jan 22 13:40:42 UTC 2026","","test_queries","",""
"","51","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]","tests.integration.utils","Thu Jan 22 13:43:31 UTC 2026","passed","Thu Jan 22 13:43:31 UTC 2026","","test_usage_tracker","",""
"","1220","test_system_engine","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:53 UTC 2026","passed","Thu Jan 22 13:39:54 UTC 2026","","test_system_engine_async","",""
"Test fb_numeric paramstyle: insert/select all supported types, and parameter count errors.","1007","test_fb_numeric_paramstyle_all_types","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:36 UTC 2026","passed","Thu Jan 22 13:39:37 UTC 2026","","test_queries_async","",""
"Test that context manager does not auto-commit when autocommit=True.","1496","test_context_manager_works_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:45 UTC 2026","passed","Thu Jan 22 13:39:46 UTC 2026","","test_queries_async","",""
"","229","test_select_nan[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:39:56 UTC 2026","passed","Thu Jan 22 13:39:56 UTC 2026","","test_queries","",""
"","51","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]","tests.integration.utils","Thu Jan 22 13:43:30 UTC 2026","passed","Thu Jan 22 13:43:31 UTC 2026","","test_usage_tracker","",""
"","1341","test_system_engine_use_engine","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:54 UTC 2026","passed","Thu Jan 22 13:39:55 UTC 2026","","test_system_engine_async","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","1820","test_context_manager_auto_commit_on_normal_exit[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:36 UTC 2026","passed","Thu Jan 22 13:40:38 UTC 2026","","test_queries","",""
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","1990","test_database_switching_with_same_engine_preserves_database_context[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:46 UTC 2026","passed","Thu Jan 22 13:40:48 UTC 2026","","test_queries","",""
"Test that connection.commit() works correctly.","2025","test_connection_commit[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:31 UTC 2026","passed","Thu Jan 22 13:40:33 UTC 2026","","test_queries","",""
"","53662","test_streaming_limited_memory[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:51 UTC 2026","passed","Thu Jan 22 13:40:45 UTC 2026","","test_streaming","",""
"","982","test_anyio_backend_import_issue[3]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:02 UTC 2026","passed","Thu Jan 22 13:40:03 UTC 2026","","test_queries","",""
"","2307","test_account_v2_connection_with_db_and_engine","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:36 UTC 2026","passed","Thu Jan 22 13:39:39 UTC 2026","","test_queries_async","",""
"","52","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]","tests.integration.utils","Thu Jan 22 13:43:31 UTC 2026","passed","Thu Jan 22 13:43:31 UTC 2026","","test_usage_tracker","",""
"Create and drop table/index queries are handled properly.","1755","test_drop_create[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:39:56 UTC 2026","passed","Thu Jan 22 13:39:58 UTC 2026","","test_queries","",""
"Test that connection.rollback() works correctly.","2822","test_connection_rollback[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:43 UTC 2026","passed","Thu Jan 22 13:39:46 UTC 2026","","test_queries_async","",""
"Select handles multiple records properly.","1360","test_streaming_multiple_records[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:40:54 UTC 2026","passed","Thu Jan 22 13:40:55 UTC 2026","","test_streaming","",""
"","53","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]","tests.integration.utils","Thu Jan 22 13:43:30 UTC 2026","passed","Thu Jan 22 13:43:30 UTC 2026","","test_usage_tracker","",""
"Insert and delete queries are handled properly.","842","test_insert[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:48:54 UTC 2026","passed","Thu Jan 22 13:48:54 UTC 2026","","test_queries","",""
"Query parameters are handled properly.","880","test_parameterized_query[remote]","tests.integration.dbapi.sync.V2","Thu Jan 22 13:39:58 UTC 2026","passed","Thu Jan 22 13:39:59 UTC 2026","","test_queries","",""
"","456","test_set_invalid_parameter[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:36 UTC 2026","passed","Thu Jan 22 13:39:36 UTC 2026","","test_queries_async","",""
"Connecting with engine name is handled properly.","2528","test_connect_no_db","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:32 UTC 2026","passed","Thu Jan 22 13:39:34 UTC 2026","","test_queries_async","",""
"","271","test_select_geography[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:36 UTC 2026","passed","Thu Jan 22 13:39:36 UTC 2026","","test_queries_async","",""
"Create and drop table/index queries are handled properly.","1847","test_drop_create[remote]","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:34 UTC 2026","passed","Thu Jan 22 13:39:36 UTC 2026","","test_queries_async","",""
"","955","test_engine_switch","tests.integration.dbapi.async.V2","Thu Jan 22 13:39:37 UTC 2026","passed","Thu Jan 22 13:39:38 UTC 2026","","test_queries_async","",""
