"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Connection properly reacts to sql execution error.","0","test_sql_error[remote-NOTSET]","tests.integration.dbapi.sync.V2","Wed Mar 25 05:59:49 UTC 2026","skipped","Wed Mar 25 05:59:49 UTC 2026","","test_errors","",""
"","0","test_streaming_limited_memory[remote-NOTSET]","tests.integration.dbapi.sync.V2","Wed Mar 25 05:59:49 UTC 2026","skipped","Wed Mar 25 05:59:49 UTC 2026","","test_streaming","",""
"Select handles all data types properly.","0","test_streaming_select[remote-NOTSET]","tests.integration.dbapi.async.V2","Wed Mar 25 05:59:48 UTC 2026","skipped","Wed Mar 25 05:59:48 UTC 2026","","test_streaming","",""
"","0","test_account_v2_connection_with_db[NOTSET]","tests.integration.dbapi.sync.V2","Wed Mar 25 05:59:49 UTC 2026","skipped","Wed Mar 25 05:59:49 UTC 2026","","test_queries","",""
"Test fb_numeric paramstyle: too many parameters supplied (should succeed).","0","test_fb_numeric_paramstyle_too_many_params[NOTSET]","tests.integration.dbapi.sync.V2","Wed Mar 25 05:59:49 UTC 2026","skipped","Wed Mar 25 05:59:49 UTC 2026","","test_queries","",""
"","0","test_insert_async_running[NOTSET-remote]","tests.integration.dbapi.async.V2","Wed Mar 25 05:59:48 UTC 2026","skipped","Wed Mar 25 05:59:48 UTC 2026","","test_server_async","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","0","test_connection_close_rollback_with_autocommit_off[remote-NOTSET]","tests.integration.dbapi.async.V2","Wed Mar 25 05:59:48 UTC 2026","skipped","Wed Mar 25 05:59:48 UTC 2026","","test_queries_async","",""
"Create and drop table/index queries are handled properly.","0","test_drop_create[NOTSET-remote]","tests.integration.dbapi.sync.V2","Wed Mar 25 05:59:49 UTC 2026","skipped","Wed Mar 25 05:59:49 UTC 2026","","test_queries","",""
"","0","test_connection_with_mixed_case_db_and_engine[NOTSET]","tests.integration.dbapi.async.V2","Wed Mar 25 05:59:48 UTC 2026","skipped","Wed Mar 25 05:59:48 UTC 2026","","test_queries_async","",""
"Connection properly reacts to invalid account error.","0","test_account_no_user[NOTSET]","tests.integration.dbapi.sync.V2","Wed Mar 25 05:59:49 UTC 2026","skipped","Wed Mar 25 05:59:49 UTC 2026","","test_errors","",""
"","0","test_select_geography[remote-NOTSET]","tests.integration.dbapi.async.V2","Wed Mar 25 05:59:48 UTC 2026","skipped","Wed Mar 25 05:59:48 UTC 2026","","test_queries_async","",""
