"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Connection properly reacts to SQL execution error.","33","test_sql_error[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_errors_async","",""
"","34","test_set_invalid_parameter[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test transaction SQL statements with COMMIT.","88","test_transaction_commit[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Select handles errors properly.","35","test_streaming_error[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"","0","test_streaming_limited_memory[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_streaming","",""
"Select handles all data types properly.","83","test_streaming_select[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Test that connection.close() rolls back uncommitted transactions when autocommit=False.","102","test_connection_close_rollback_with_autocommit_off[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Query parameters are handled properly","75","test_multi_statement_query[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","36","test_select_quoted_bigint[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","145","test_select_struct[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Select handles all data types properly.","43","test_select[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Select handles multiple records properly.","871","test_streaming_multiple_records[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","24","test_executemany_bulk_insert_paramstyles[core-kind-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that connection.close() does not rollback when autocommit=True.","86","test_connection_close_no_rollback_with_autocommit_on[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","0","test_streaming_limited_memory[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","skipped","2026-03-25","","test_streaming","",""
"","9","test_select_geography[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","skipped","2026-03-25","","test_queries","",""
"
    Async integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","145","test_database_switching_with_same_engine_preserves_database_context[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","8","test_select_quoted_decimal[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_queries_async","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_auth_async","",""
"Test that connection.commit() works correctly.","75","test_connection_commit[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","8","test_select_nan[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Query parameters are handled properly","51","test_multi_statement_query[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Verify that a dedicated cluster can be brought up with default settings.","10","test_dedicated_compose_default[kind-core]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose","",""
"Test that context manager does not auto-commit when autocommit=True.","100","test_context_manager_works_with_autocommit_on[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Query parameters are handled properly.","52","test_parameterized_query[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","7","test_select_quoted_bigint[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that connection.aclose() does not rollback when autocommit=True.","138","test_connection_close_no_rollback_with_autocommit_on[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","150","test_context_manager_auto_commit_on_normal_exit[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","1031","test_query_timeout[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_timeout","",""
"Test that connection.rollback() works correctly.","136","test_connection_rollback[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","143","test_connection_close_rollback_with_autocommit_off[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10058","test_executemany_bulk_insert_paramstyles[core-kind-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Select handles multiple records properly.","602","test_streaming_multiple_records[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"","33","test_select_quoted_decimal[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","140","test_database_switching_with_same_engine_preserves_database_context[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test transaction SQL statements with COMMIT.","153","test_transaction_commit[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Select handles all data types properly.","42","test_streaming_select[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Verify that a dedicated cluster can be brought up with 2 nodes.","68","test_dedicated_compose_multi_node[kind-core]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","73","test_executemany_bulk_insert_paramstyles[core-kind-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","33","test_select_inf[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Verify that a dedicated cluster can be brought up with default settings.","43","test_dedicated_compose_default[kind-core]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose_async","",""
"Test that context manager does not commit transaction on exception exit.","146","test_context_manager_no_auto_commit_on_exception_exit[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","34","test_select_nan[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","skipped","2026-03-25","","test_auth","",""
"Query parameters are handled properly.","8","test_parameterized_query_with_special_chars[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_auth_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","98","test_autocommit_immediate_visibility[core-kind-implicit]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Select handles errors properly during fetching.","249","test_streaming_error_during_fetching[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","52","test_autocommit_immediate_visibility[core-kind-explicit]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","104","test_select_struct[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Query parameters are handled properly.","81","test_parameterized_query[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","101","test_context_manager_no_auto_commit_on_exception_exit[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","98","test_context_manager_auto_commit_on_normal_exit[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that connection.commit() works correctly.","126","test_connection_commit[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that context manager does not auto-commit when autocommit=True.","142","test_context_manager_works_with_autocommit_on[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Select handles all data types properly.","72","test_select[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","153","test_transaction_cursor_isolation[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Insert and delete queries are handled properly.","93","test_insert[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","99","test_autocommit_immediate_visibility[core-kind-explicit]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Verify that a dedicated cluster can be brought up with 2 nodes.","10","test_dedicated_compose_multi_node[kind-core]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose","",""
"Test transaction SQL statements with ROLLBACK.","144","test_transaction_rollback[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Inserted and than selected bytea value doesn't get corrupted.","42","test_bytea_roundtrip[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Select handles errors properly during fetching.","178","test_streaming_error_during_fetching[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Connection properly reacts to sql execution error.","6","test_sql_error[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_errors","",""
"Test transaction SQL statements with ROLLBACK.","94","test_transaction_rollback[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that cursors share the same transaction state - no isolation between cursors.","90","test_transaction_cursor_isolation[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Inserted and than selected bytea value doesn't get corrupted.","69","test_bytea_roundtrip[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","1004","test_query_timeout[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_timeout","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10104","test_executemany_bulk_insert_paramstyles[core-kind-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","5","test_set_invalid_parameter[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that connection.rollback() works correctly.","83","test_connection_rollback[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Select handles errors properly.","9","test_streaming_error[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","49","test_autocommit_immediate_visibility[core-kind-implicit]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Insert and delete queries are handled properly.","51","test_insert[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Query parameters are handled properly.","38","test_parameterized_query_with_special_chars[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","8","test_select_inf[core-kind]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","36","test_select_geography[core-kind]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
