"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Query parameters are handled properly.","506","test_parameterized_query[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:10:23 UTC 2026","passed","Fri Mar 27 09:10:24 UTC 2026","","test_queries","",""
"Connection properly reacts to sql execution error.","78","test_sql_error[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:35 UTC 2026","passed","Fri Mar 27 09:01:35 UTC 2026","","test_errors","",""
"Connection properly reacts to invalid database error.","176","test_database_not_exists","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:35 UTC 2026","passed","Fri Mar 27 09:01:35 UTC 2026","","test_errors","",""
"","2688","test_check_async_execution_from_another_connection[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:31 UTC 2026","passed","Fri Mar 27 09:01:33 UTC 2026","","test_server_async","",""
"
    Async integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","1077","test_database_switching_with_same_engine_preserves_database_context[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:29 UTC 2026","passed","Fri Mar 27 09:01:30 UTC 2026","","test_queries_async","",""
"","1408","test_select_struct[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:02:28 UTC 2026","passed","Fri Mar 27 09:02:29 UTC 2026","","test_queries_async","",""
"Test fb_numeric paramstyle: not enough parameters supplied.","120","test_fb_numeric_paramstyle_not_enough_params","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:50 UTC 2026","passed","Fri Mar 27 09:01:50 UTC 2026","","test_queries","",""
"","129","test_select_geography[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:02:48 UTC 2026","passed","Fri Mar 27 09:02:48 UTC 2026","","test_queries","",""
"","789","test_system_engine_use_engine","tests.integration.dbapi.sync.V2","Fri Mar 27 09:02:30 UTC 2026","passed","Fri Mar 27 09:02:31 UTC 2026","","test_system_engine","",""
"Test that connection.rollback() works correctly.","1669","test_connection_rollback[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:28 UTC 2026","passed","Fri Mar 27 09:01:29 UTC 2026","","test_queries_async","",""
"Select handles errors properly.","84","test_streaming_error[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:02:29 UTC 2026","passed","Fri Mar 27 09:02:29 UTC 2026","","test_streaming","",""
"Connection properly reacts to SQL execution error.","1190","test_sql_error[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:19 UTC 2026","passed","Fri Mar 27 09:01:21 UTC 2026","","test_errors_async","",""
"Connection properly reacts to invalid engine name error.","1006","test_engine_name_not_exists","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:19 UTC 2026","passed","Fri Mar 27 09:01:20 UTC 2026","","test_errors_async","",""
"","2669","test_check_async_execution_from_another_connection[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:02:23 UTC 2026","passed","Fri Mar 27 09:02:26 UTC 2026","","test_server_async","",""
"Inserted and than selected bytea value doesn't get corrupted.","530","test_bytea_roundtrip[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:21 UTC 2026","passed","Fri Mar 27 09:01:22 UTC 2026","","test_queries_async","",""
"Query parameters are handled properly","469","test_multi_statement_query[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:48 UTC 2026","passed","Fri Mar 27 09:01:48 UTC 2026","","test_queries","",""
"","57","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]","tests.integration.utils","Fri Mar 27 09:01:20 UTC 2026","passed","Fri Mar 27 09:01:20 UTC 2026","","test_usage_tracker","",""
"","213","test_select_quoted_bigint[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:24 UTC 2026","passed","Fri Mar 27 09:01:24 UTC 2026","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","1052","test_context_manager_no_auto_commit_on_exception_exit[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:02:05 UTC 2026","passed","Fri Mar 27 09:02:06 UTC 2026","","test_queries","",""
"Test that cursors share the same transaction state - no isolation between cursors.","1731","test_transaction_cursor_isolation[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:54 UTC 2026","passed","Fri Mar 27 09:01:56 UTC 2026","","test_queries","",""
"","2693","test_insert_async[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:30 UTC 2026","passed","Fri Mar 27 09:01:33 UTC 2026","","test_server_async","",""
"Test that BEGIN does not start a transaction when autocommit is enabled.","1298","test_begin_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:25 UTC 2026","passed","Fri Mar 27 09:01:26 UTC 2026","","test_queries_async","",""
"Insert and delete queries are handled properly.","535","test_insert[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:37 UTC 2026","passed","Fri Mar 27 09:01:38 UTC 2026","","test_queries","",""
"Select handles multiple records properly.","787","test_streaming_multiple_records[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:32 UTC 2026","passed","Fri Mar 27 09:01:33 UTC 2026","","test_streaming","",""
"","788","test_anyio_backend_import_issue[0]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:38 UTC 2026","passed","Fri Mar 27 09:01:39 UTC 2026","","test_queries","",""
"","56","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]","tests.integration.utils","Fri Mar 27 09:01:20 UTC 2026","passed","Fri Mar 27 09:01:20 UTC 2026","","test_usage_tracker","",""
"","83","test_select_quoted_bigint[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:51 UTC 2026","passed","Fri Mar 27 09:01:51 UTC 2026","","test_queries","",""
"Query parameters are handled properly.","583","test_parameterized_query[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:23 UTC 2026","passed","Fri Mar 27 09:01:23 UTC 2026","","test_queries_async","",""
"Test that connection.close() does not rollback when autocommit=True.","488","test_connection_close_no_rollback_with_autocommit_on[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:02:07 UTC 2026","passed","Fri Mar 27 09:02:08 UTC 2026","","test_queries","",""
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","1263","test_database_switching_with_same_engine_preserves_database_context[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:02:08 UTC 2026","passed","Fri Mar 27 09:02:09 UTC 2026","","test_queries","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:35 UTC 2026","skipped","Fri Mar 27 09:01:35 UTC 2026","","test_auth","",""
"Select handles all data types properly.","426","test_streaming_select[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:32 UTC 2026","passed","Fri Mar 27 09:01:33 UTC 2026","","test_streaming","",""
"","84","test_select_nan[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:36 UTC 2026","passed","Fri Mar 27 09:01:36 UTC 2026","","test_queries","",""
"Test that connection.commit() works correctly.","1541","test_connection_commit[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:26 UTC 2026","passed","Fri Mar 27 09:01:28 UTC 2026","","test_queries_async","",""
"Test that connection.commit() works correctly.","1255","test_connection_commit[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:59 UTC 2026","passed","Fri Mar 27 09:02:00 UTC 2026","","test_queries","",""
"Query parameters are handled properly","714","test_multi_statement_query[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:21 UTC 2026","passed","Fri Mar 27 09:01:22 UTC 2026","","test_queries_async","",""
"","65819","test_connection_with_mixed_case_db_and_engine","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:22 UTC 2026","passed","Fri Mar 27 09:02:28 UTC 2026","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","1479","test_transaction_rollback[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:24 UTC 2026","passed","Fri Mar 27 09:01:26 UTC 2026","","test_queries_async","",""
"Test that connection.rollback() works correctly.","1421","test_connection_rollback[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:02:01 UTC 2026","passed","Fri Mar 27 09:02:02 UTC 2026","","test_queries","",""
"","736","test_system_engine","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:33 UTC 2026","passed","Fri Mar 27 09:01:34 UTC 2026","","test_system_engine_async","",""
"","68772","test_engine_rename","tests.integration.resource_manager.V2","Fri Mar 27 09:06:49 UTC 2026","passed","Fri Mar 27 09:07:58 UTC 2026","","test_engine","",""
"","237","test_select_nan[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:21 UTC 2026","passed","Fri Mar 27 09:01:21 UTC 2026","","test_queries_async","",""
"","126","test_select_geography[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:01:25 UTC 2026","passed","Fri Mar 27 09:01:25 UTC 2026","","test_queries_async","",""
"","754","test_anyio_backend_import_issue[2]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:01:39 UTC 2026","passed","Fri Mar 27 09:01:40 UTC 2026","","test_queries","",""
