"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.sync.V2","2026-03-26","skipped","2026-03-26","","test_auth","",""
"","205","test_select_struct[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Select handles all data types properly.","141","test_select[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","45","test_autocommit_immediate_visibility[core-explicit]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","170","test_context_manager_auto_commit_on_normal_exit[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"
    Async integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","143","test_database_switching_with_same_engine_preserves_database_context[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","179","test_connection_close_rollback_with_autocommit_off[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Query parameters are handled properly","75","test_multi_statement_query[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Test that connection.commit() works correctly.","180","test_connection_commit[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","167","test_transaction_rollback[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","83","test_transaction_cursor_isolation[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"","33","test_set_invalid_parameter[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Query parameters are handled properly.","48","test_parameterized_query_with_special_chars[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","95","test_transaction_rollback[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Test that connection.close() rolls back uncommitted transactions when autocommit=False.","98","test_connection_close_rollback_with_autocommit_off[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Test that connection.rollback() works correctly.","172","test_connection_rollback[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","189","test_transaction_cursor_isolation[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"","35","test_select_quoted_bigint[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Inserted and than selected bytea value doesn't get corrupted.","68","test_bytea_roundtrip[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"","0","test_streaming_limited_memory[core]","tests.integration.dbapi.sync.V2","2026-03-26","skipped","2026-03-26","","test_streaming","",""
"Select handles errors properly during fetching.","194","test_streaming_error_during_fetching[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_streaming","",""
"","28","test_set_invalid_parameter[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","95","test_context_manager_auto_commit_on_normal_exit[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Select handles all data types properly.","149","test_streaming_select[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_streaming","",""
"Test that connection.rollback() works correctly.","70","test_connection_rollback[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Query parameters are handled properly","68","test_multi_statement_query[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Insert and delete queries are handled properly.","92","test_insert[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"","42","test_select_nan[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Query parameters are handled properly.","44","test_parameterized_query_with_special_chars[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","98","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[core]","tests.integration.dbapi.async.V2","2026-03-26","skipped","2026-03-26","","test_auth_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","87","test_executemany_bulk_insert_paramstyles[core-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Inserted and than selected bytea value doesn't get corrupted.","60","test_bytea_roundtrip[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10195","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Select handles all data types properly.","59","test_streaming_select[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_streaming","",""
"","36","test_select_geography[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Test that context manager does not auto-commit when autocommit=True.","136","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"Test transaction SQL statements with COMMIT.","85","test_transaction_commit[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"Select handles multiple records properly.","777","test_streaming_multiple_records[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_streaming","",""
"","46","test_select_inf[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_queries_async","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core]","tests.integration.dbapi.async.V2","2026-03-26","skipped","2026-03-26","","test_queries_async","",""
"Test that context manager does not auto-commit when autocommit=True.","83","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"","1026","test_query_timeout[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_timeout","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.async.V2","2026-03-26","skipped","2026-03-26","","test_auth_async","",""
"","30","test_select_inf[core]","tests.integration.dbapi.sync.V2","2026-03-26","passed","2026-03-26","","test_queries","",""
"","1034","test_query_timeout[core]","tests.integration.dbapi.async.V2","2026-03-26","passed","2026-03-26","","test_timeout","",""
