"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 03:23:27 GMT 2025","Tue Oct 28 03:23:27 GMT 2025","380","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Tue Oct 28 03:23:27 GMT 2025","Tue Oct 28 03:23:27 GMT 2025","154","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Tue Oct 28 03:23:40 GMT 2025","Tue Oct 28 03:23:40 GMT 2025","6","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Tue Oct 28 03:23:28 GMT 2025","Tue Oct 28 03:23:28 GMT 2025","38","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[core]","Select handles all data types properly."
"skipped","Tue Oct 28 03:23:15 GMT 2025","Tue Oct 28 03:23:15 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"passed","Tue Oct 28 03:23:26 GMT 2025","Tue Oct 28 03:23:26 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[core]",""
"passed","Tue Oct 28 03:23:16 GMT 2025","Tue Oct 28 03:23:16 GMT 2025","74","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Tue Oct 28 03:23:16 GMT 2025","Tue Oct 28 03:23:16 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"passed","Tue Oct 28 03:23:16 GMT 2025","Tue Oct 28 03:23:16 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[core]",""
"skipped","Tue Oct 28 03:23:15 GMT 2025","Tue Oct 28 03:23:15 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"passed","Tue Oct 28 03:23:28 GMT 2025","Tue Oct 28 03:23:28 GMT 2025","3","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"passed","Tue Oct 28 03:23:27 GMT 2025","Tue Oct 28 03:23:27 GMT 2025","102","tests.integration.dbapi.async.V2","test_queries_async","","","","test_transaction_cursor_isolation[core]","Test that one cursor can't see another's data until it commits."
"passed","Tue Oct 28 03:23:29 GMT 2025","Tue Oct 28 03:23:29 GMT 2025","52","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[core]","Insert and delete queries are handled properly."
