"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Select handles multiple records properly.","1621","test_streaming_multiple_records[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:49 UTC 2025","passed","Tue Nov 25 13:24:51 UTC 2025","","test_streaming","",""
"Select handles all data types properly.","645","test_select[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:23:53 UTC 2025","passed","Tue Nov 25 13:23:53 UTC 2025","","test_queries","",""
"Connection properly reacts to invalid account error.","991","test_invalid_account","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:28 UTC 2025","passed","Tue Nov 25 13:23:29 UTC 2025","","test_errors_async","",""
"
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    ","354","test_multi_thread_connection_sharing","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:03 UTC 2025","passed","Tue Nov 25 13:24:03 UTC 2025","","test_queries","",""
"Connecting with engine name is handled properly.","895","test_system_engine_no_db","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:51 UTC 2025","passed","Tue Nov 25 13:24:52 UTC 2025","","test_system_engine","",""
"","23587","test_engine_rename","tests.integration.resource_manager.V2","Tue Nov 25 13:29:05 UTC 2025","passed","Tue Nov 25 13:29:29 UTC 2025","","test_engine","",""
"Test that connection.aclose() does not rollback when autocommit=True.","1361","test_connection_close_no_rollback_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:43 UTC 2025","passed","Tue Nov 25 13:23:44 UTC 2025","","test_queries_async","",""
"","54","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]","tests.integration.utils","Tue Nov 25 13:25:22 UTC 2025","passed","Tue Nov 25 13:25:22 UTC 2025","","test_usage_tracker","",""
"","562","test_select_nan[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:30 UTC 2025","passed","Tue Nov 25 13:23:30 UTC 2025","","test_queries_async","",""
"Test fb_numeric paramstyle: too many parameters supplied (should succeed).","772","test_fb_numeric_paramstyle_too_many_params","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:10 UTC 2025","passed","Tue Nov 25 13:24:10 UTC 2025","","test_queries","",""
"","271","test_check_async_execution_fails[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:45 UTC 2025","passed","Tue Nov 25 13:23:46 UTC 2025","","test_server_async","",""
"Connecting with engine name is handled properly.","1037","test_system_engine","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:51 UTC 2025","passed","Tue Nov 25 13:24:52 UTC 2025","","test_system_engine","",""
"","336","test_select_geography[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:24:44 UTC 2025","passed","Tue Nov 25 13:24:45 UTC 2025","","test_queries_async","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:23:51 UTC 2025","skipped","Tue Nov 25 13:23:51 UTC 2025","","test_auth","",""
"","292","test_select_quoted_bigint[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:36 UTC 2025","passed","Tue Nov 25 13:23:36 UTC 2025","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","11319","test_executemany_bulk_insert_paramstyles[remote-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:31 UTC 2025","passed","Tue Nov 25 13:23:42 UTC 2025","","test_queries_async","",""
"","56","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]","tests.integration.utils","Tue Nov 25 13:25:22 UTC 2025","passed","Tue Nov 25 13:25:22 UTC 2025","","test_usage_tracker","",""
"","3130","test_check_async_execution_from_another_connection[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:44 UTC 2025","passed","Tue Nov 25 13:23:47 UTC 2025","","test_server_async","",""
"","722","test_insert_async_running[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:49 UTC 2025","passed","Tue Nov 25 13:24:50 UTC 2025","","test_server_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","1075","test_autocommit_immediate_visibility[remote-implicit]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:36 UTC 2025","passed","Tue Nov 25 13:23:37 UTC 2025","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","1915","test_transaction_rollback[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:36 UTC 2025","passed","Tue Nov 25 13:23:38 UTC 2025","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","2031","test_transaction_cursor_isolation[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:15 UTC 2025","passed","Tue Nov 25 13:24:17 UTC 2025","","test_queries","",""
"Test fb_numeric paramstyle: not enough parameters supplied.","286","test_fb_numeric_paramstyle_not_enough_params","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:09 UTC 2025","passed","Tue Nov 25 13:24:10 UTC 2025","","test_queries","",""
"","13356","test_insert_async[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:36 UTC 2025","passed","Tue Nov 25 13:24:49 UTC 2025","","test_server_async","",""
"","56096","test_streaming_limited_memory[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:47 UTC 2025","passed","Tue Nov 25 13:24:43 UTC 2025","","test_streaming","",""
"Query parameters are handled properly.","804","test_parameterized_query[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:30 UTC 2025","passed","Tue Nov 25 13:23:31 UTC 2025","","test_queries_async","",""
"","3062","test_check_async_execution_from_another_connection[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:43 UTC 2025","passed","Tue Nov 25 13:24:46 UTC 2025","","test_server_async","",""
"Connecting with engine name is handled properly.","660","test_connect_no_db","tests.integration.dbapi.sync.V2","Tue Nov 25 13:23:52 UTC 2025","passed","Tue Nov 25 13:23:53 UTC 2025","","test_queries","",""
"Connection properly reacts to invalid account error.","904","test_account_no_user","tests.integration.dbapi.sync.V2","Tue Nov 25 13:23:53 UTC 2025","passed","Tue Nov 25 13:23:54 UTC 2025","","test_errors","",""
"","57","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]","tests.integration.utils","Tue Nov 25 13:25:22 UTC 2025","passed","Tue Nov 25 13:25:22 UTC 2025","","test_usage_tracker","",""
"Test that connection.close() does not rollback when autocommit=True.","803","test_connection_close_no_rollback_with_autocommit_on[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:33 UTC 2025","passed","Tue Nov 25 13:24:34 UTC 2025","","test_queries","",""
"","219","test_select_geography[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:08 UTC 2025","passed","Tue Nov 25 13:24:09 UTC 2025","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","535421","test_long_query[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:29 UTC 2025","passed","Tue Nov 25 13:32:25 UTC 2025","","test_queries_async","",""
"Select handles all data types properly.","1025","test_streaming_select[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:48 UTC 2025","passed","Tue Nov 25 13:23:49 UTC 2025","","test_streaming","",""
"","1077","test_anyio_backend_import_issue[3]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:01 UTC 2025","passed","Tue Nov 25 13:24:02 UTC 2025","","test_queries","",""
"Query parameters are handled properly.","239","test_parameterized_query_with_special_chars[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:23:55 UTC 2025","passed","Tue Nov 25 13:23:56 UTC 2025","","test_queries","",""
"
    Integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","1777","test_database_switching_with_same_engine_preserves_database_context[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:34 UTC 2025","passed","Tue Nov 25 13:24:36 UTC 2025","","test_queries","",""
"Query parameters are handled properly","896","test_multi_statement_query[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:23:31 UTC 2025","passed","Tue Nov 25 13:23:32 UTC 2025","","test_queries_async","",""
"Query parameters are handled properly.","342","test_parameterized_query_with_special_chars[remote]","tests.integration.dbapi.async.V2","Tue Nov 25 13:32:25 UTC 2025","passed","Tue Nov 25 13:32:25 UTC 2025","","test_queries_async","",""
"Test fb_numeric paramstyle: insert/select all supported types, and parameter count errors.","828","test_fb_numeric_paramstyle_all_types","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:09 UTC 2025","passed","Tue Nov 25 13:24:09 UTC 2025","","test_queries","",""
"Select handles errors properly.","288","test_streaming_error[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:26:02 UTC 2025","passed","Tue Nov 25 13:26:02 UTC 2025","","test_streaming","",""
"","228","test_select_inf[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:23:53 UTC 2025","passed","Tue Nov 25 13:23:54 UTC 2025","","test_queries","",""
"","1198","test_cancel_async_query[remote]","tests.integration.dbapi.sync.V2","Tue Nov 25 13:24:45 UTC 2025","passed","Tue Nov 25 13:24:46 UTC 2025","","test_server_async","",""
