"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","914","test_anyio_backend_import_issue[4]","tests.integration.dbapi.sync.V2","Fri Mar 27 06:49:45 UTC 2026","passed","Fri Mar 27 06:49:45 UTC 2026","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","1314","test_context_manager_works_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 06:49:27 UTC 2026","passed","Fri Mar 27 06:49:29 UTC 2026","","test_queries_async","",""
"Connecting with engine name is handled properly.","1095","test_system_engine_no_db","tests.integration.dbapi.async.V2","Fri Mar 27 06:49:35 UTC 2026","passed","Fri Mar 27 06:49:36 UTC 2026","","test_system_engine_async","",""
"Insert and delete queries are handled properly.","1092","test_insert[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 06:49:17 UTC 2026","passed","Fri Mar 27 06:49:18 UTC 2026","","test_queries_async","",""
"Test fb_numeric paramstyle: too many parameters supplied (should succeed).","800","test_fb_numeric_paramstyle_too_many_params","tests.integration.dbapi.async.V2","Fri Mar 27 06:49:35 UTC 2026","passed","Fri Mar 27 06:49:36 UTC 2026","","test_queries_async","",""
"Test that BEGIN does not start a transaction when autocommit is enabled.","1663","test_begin_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 06:49:24 UTC 2026","passed","Fri Mar 27 06:49:26 UTC 2026","","test_queries_async","",""
"","13306","test_insert_async[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 06:50:05 UTC 2026","passed","Fri Mar 27 06:50:18 UTC 2026","","test_server_async","",""
"Test that BEGIN does not start a transaction when autocommit is enabled.","1195","test_begin_with_autocommit_on[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 06:49:56 UTC 2026","passed","Fri Mar 27 06:49:57 UTC 2026","","test_queries","",""
"Test transaction SQL statements with COMMIT.","1802","test_transaction_commit[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 06:49:20 UTC 2026","passed","Fri Mar 27 06:49:22 UTC 2026","","test_queries_async","",""
"Connection properly reacts to account that doesn't have
    a user attached to it.","2933","test_account_no_user","tests.integration.dbapi.async.V2","Fri Mar 27 06:49:15 UTC 2026","passed","Fri Mar 27 06:49:18 UTC 2026","","test_errors_async","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","1876","test_connection_close_rollback_with_autocommit_off[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 06:49:28 UTC 2026","passed","Fri Mar 27 06:49:30 UTC 2026","","test_queries_async","",""
"Insert and delete queries are handled properly.","693","test_insert[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 06:58:29 UTC 2026","passed","Fri Mar 27 06:58:29 UTC 2026","","test_queries","",""
"","955","test_anyio_backend_import_issue[3]","tests.integration.dbapi.sync.V2","Fri Mar 27 06:49:46 UTC 2026","passed","Fri Mar 27 06:49:47 UTC 2026","","test_queries","",""
