"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13392","test_insert_async[remote]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:52 UTC 2025","passed","Mon Nov 24 19:49:06 UTC 2025","","test_server_async","",""
"","13374","test_insert_async[remote]","tests.integration.dbapi.async.V2","Mon Nov 24 19:47:57 UTC 2025","passed","Mon Nov 24 19:48:10 UTC 2025","","test_server_async","",""
"Test that connection.rollback() works correctly.","2226","test_connection_rollback[remote]","tests.integration.dbapi.async.V2","Mon Nov 24 19:47:52 UTC 2025","passed","Mon Nov 24 19:47:55 UTC 2025","","test_queries_async","",""
"","54","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]","tests.integration.utils","Mon Nov 24 19:49:28 UTC 2025","passed","Mon Nov 24 19:49:28 UTC 2025","","test_usage_tracker","",""
"Auth raises Authentication Error on credentials invalidation","0","test_credentials_invalidation[connection]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:04 UTC 2025","skipped","Mon Nov 24 19:48:04 UTC 2025","","test_auth","",""
"Query parameters are handled properly.","823","test_parameterized_query[remote]","tests.integration.dbapi.async.V2","Mon Nov 24 19:47:43 UTC 2025","passed","Mon Nov 24 19:47:44 UTC 2025","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","1999","test_transaction_rollback[remote]","tests.integration.dbapi.async.V2","Mon Nov 24 19:47:48 UTC 2025","passed","Mon Nov 24 19:47:50 UTC 2025","","test_queries_async","",""
"Select handles errors properly.","282","test_streaming_error[remote]","tests.integration.dbapi.async.V2","Mon Nov 24 19:48:51 UTC 2025","passed","Mon Nov 24 19:48:51 UTC 2025","","test_streaming","",""
"","514","test_databases_get_many","tests.integration.resource_manager.V2","Mon Nov 24 19:49:04 UTC 2025","passed","Mon Nov 24 19:49:05 UTC 2025","","test_database","",""
"Inserted and than selected bytea value doesn't get corrupted.","673","test_bytea_roundtrip[remote]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:17 UTC 2025","passed","Mon Nov 24 19:48:17 UTC 2025","","test_queries","",""
"Select handles errors properly during fetching.","609","test_streaming_error_during_fetching[remote]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:50:14 UTC 2025","passed","Mon Nov 24 19:50:14 UTC 2025","","test_streaming","",""
"Test fb_numeric paramstyle: insert/select all supported types, and parameter count errors.","748","test_fb_numeric_paramstyle_all_types","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:24 UTC 2025","passed","Mon Nov 24 19:48:25 UTC 2025","","test_queries","",""
"Create and drop table/index queries are handled properly.","1479","test_drop_create[remote]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:06 UTC 2025","passed","Mon Nov 24 19:48:08 UTC 2025","","test_queries","",""
"Connecting with engine name is handled properly.","968","test_system_engine_no_db","tests.integration.dbapi.async.V2","Mon Nov 24 19:48:00 UTC 2025","passed","Mon Nov 24 19:48:01 UTC 2025","","test_system_engine_async","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","1831","test_connection_close_rollback_with_autocommit_off[remote]","tests.integration.dbapi.async.V2","Mon Nov 24 19:47:55 UTC 2025","passed","Mon Nov 24 19:47:57 UTC 2025","","test_queries_async","",""
"","888","test_engine_switch","tests.integration.dbapi.async.V2","Mon Nov 24 19:47:46 UTC 2025","passed","Mon Nov 24 19:47:47 UTC 2025","","test_queries_async","",""
"Insert and delete queries are handled properly.","740","test_insert[remote]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:57:15 UTC 2025","passed","Mon Nov 24 19:57:16 UTC 2025","","test_queries","",""
"","826","test_insert_async_running[remote]","tests.integration.dbapi.async.V2","Mon Nov 24 19:47:56 UTC 2025","passed","Mon Nov 24 19:47:57 UTC 2025","","test_server_async","",""
"","69742","test_create_start_stop_engine","tests.integration.resource_manager.V2","Mon Nov 24 19:49:05 UTC 2025","passed","Mon Nov 24 19:50:14 UTC 2025","","test_engine","",""
"Create and drop table/index queries are handled properly.","1635","test_drop_create[remote]","tests.integration.dbapi.async.V2","Mon Nov 24 19:47:42 UTC 2025","passed","Mon Nov 24 19:47:44 UTC 2025","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10793","test_executemany_bulk_insert_paramstyles[remote-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:10 UTC 2025","passed","Mon Nov 24 19:48:21 UTC 2025","","test_queries","",""
"Connecting with engine name is handled properly.","878","test_system_engine_no_db","tests.integration.dbapi.sync.V2","Mon Nov 24 19:49:01 UTC 2025","passed","Mon Nov 24 19:49:02 UTC 2025","","test_system_engine","",""
"","774","test_insert_async_running[remote]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:51 UTC 2025","passed","Mon Nov 24 19:48:52 UTC 2025","","test_server_async","",""
"","1196","test_cancel_async_query[remote]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:56 UTC 2025","passed","Mon Nov 24 19:48:57 UTC 2025","","test_server_async","",""
"","54","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]","tests.integration.utils","Mon Nov 24 19:49:28 UTC 2025","passed","Mon Nov 24 19:49:28 UTC 2025","","test_usage_tracker","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","549999","test_long_query[remote]","tests.integration.dbapi.async.V2","Mon Nov 24 19:47:42 UTC 2025","failed","Mon Nov 24 19:56:52 UTC 2025","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","2060","test_transaction_cursor_isolation[remote]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:31 UTC 2025","passed","Mon Nov 24 19:48:33 UTC 2025","","test_queries","",""
"Select handles all data types properly.","614","test_select[remote]","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:05 UTC 2025","passed","Mon Nov 24 19:48:06 UTC 2025","","test_queries","",""
"","281","test_check_async_execution_fails[remote]","tests.integration.dbapi.async.V2","Mon Nov 24 19:47:57 UTC 2025","passed","Mon Nov 24 19:47:58 UTC 2025","","test_server_async","",""
"Connection properly reacts to invalid engine name error.","276","test_engine_name_not_exists","tests.integration.dbapi.sync.V2","Mon Nov 24 19:48:06 UTC 2025","passed","Mon Nov 24 19:48:06 UTC 2025","","test_errors","",""
