"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 06 08:55:13 GMT 2025","Mon Oct 06 08:55:13 GMT 2025","73","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Mon Oct 06 08:54:59 GMT 2025","Mon Oct 06 08:54:59 GMT 2025","462","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Mon Oct 06 08:54:16 GMT 2025","Mon Oct 06 08:54:16 GMT 2025","80","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[remote]",""
"passed","Mon Oct 06 08:55:13 GMT 2025","Mon Oct 06 08:55:13 GMT 2025","73","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Mon Oct 06 08:54:15 GMT 2025","Mon Oct 06 08:54:15 GMT 2025","135","tests.integration.dbapi.sync.V2","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Mon Oct 06 08:54:27 GMT 2025","Mon Oct 06 08:54:27 GMT 2025","133","tests.integration.dbapi.sync.V2","test_queries","","","","test_fb_numeric_paramstyle_incorrect_params",""
"passed","Mon Oct 06 09:03:15 GMT 2025","Mon Oct 06 09:03:16 GMT 2025","1082","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Mon Oct 06 08:54:13 GMT 2025","Mon Oct 06 08:54:14 GMT 2025","877","tests.integration.dbapi.async.V2","test_server_async","","","","test_cancel_async_query[remote]",""
"passed","Mon Oct 06 08:54:58 GMT 2025","Mon Oct 06 08:54:59 GMT 2025","501","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[remote]","Select handles errors properly during fetching."
"passed","Mon Oct 06 08:54:08 GMT 2025","Mon Oct 06 08:54:09 GMT 2025","138","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[remote]",""
"passed","Mon Oct 06 08:54:07 GMT 2025","Mon Oct 06 08:54:08 GMT 2025","995","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"skipped","Mon Oct 06 08:54:15 GMT 2025","Mon Oct 06 08:54:15 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token[remote]","Auth refreshes token on expiration/invalidation"
"passed","Mon Oct 06 08:54:27 GMT 2025","Mon Oct 06 08:54:28 GMT 2025","581","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async_running[remote]",""
"passed","Mon Oct 06 08:54:33 GMT 2025","Mon Oct 06 08:54:33 GMT 2025","79","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_fails[remote]",""
"passed","Mon Oct 06 08:54:36 GMT 2025","Mon Oct 06 08:55:53 GMT 2025","77311","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[remote]",""
"passed","Mon Oct 06 08:54:19 GMT 2025","Mon Oct 06 08:54:20 GMT 2025","897","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Mon Oct 06 08:54:08 GMT 2025","Mon Oct 06 08:54:08 GMT 2025","381","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[remote]",""
"passed","Mon Oct 06 08:54:13 GMT 2025","Mon Oct 06 08:55:09 GMT 2025","55411","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[remote]",""
"passed","Mon Oct 06 08:54:23 GMT 2025","Mon Oct 06 08:54:24 GMT 2025","464","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[remote]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Mon Oct 06 08:55:02 GMT 2025","Mon Oct 06 08:55:02 GMT 2025","343","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"passed","Mon Oct 06 08:54:22 GMT 2025","Mon Oct 06 08:54:23 GMT 2025","845","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Mon Oct 06 08:54:45 GMT 2025","Mon Oct 06 08:54:58 GMT 2025","12764","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async[remote]",""
"broken","Mon Oct 06 08:55:02 GMT 2025","Mon Oct 06 08:55:19 GMT 2025","16511","tests.integration.resource_manager.V2","test_engine","","","","test_create_start_stop_engine",""
"passed","Mon Oct 06 08:54:15 GMT 2025","Mon Oct 06 08:54:16 GMT 2025","249","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Mon Oct 06 08:54:09 GMT 2025","Mon Oct 06 08:54:12 GMT 2025","3407","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Mon Oct 06 08:54:07 GMT 2025","Mon Oct 06 08:54:08 GMT 2025","1049","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Mon Oct 06 08:54:07 GMT 2025","Mon Oct 06 08:54:07 GMT 2025","720","tests.integration.dbapi.async.V2","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Mon Oct 06 08:54:08 GMT 2025","Mon Oct 06 08:54:08 GMT 2025","507","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[remote]","Query parameters are handled properly."
"passed","Mon Oct 06 08:54:10 GMT 2025","Mon Oct 06 08:54:13 GMT 2025","2777","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_from_another_connection[remote]",""
"skipped","Mon Oct 06 08:54:07 GMT 2025","Mon Oct 06 08:54:07 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[remote]","Auth raises authentication error on credentials invalidation"
