"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 08:55:06 GMT 2025","Tue Oct 14 08:55:07 GMT 2025","240","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"skipped","Tue Oct 14 08:55:06 GMT 2025","Tue Oct 14 08:55:06 GMT 2025","0","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Tue Oct 14 08:55:08 GMT 2025","Tue Oct 14 08:55:08 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[core]",""
"passed","Tue Oct 14 08:55:05 GMT 2025","Tue Oct 14 08:55:05 GMT 2025","62","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Tue Oct 14 08:55:06 GMT 2025","Tue Oct 14 08:55:06 GMT 2025","70","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"skipped","Tue Oct 14 08:55:05 GMT 2025","Tue Oct 14 08:55:05 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Oct 14 08:55:09 GMT 2025","Tue Oct 14 08:55:09 GMT 2025","53","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Tue Oct 14 08:55:10 GMT 2025","Tue Oct 14 08:55:10 GMT 2025","8","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Tue Oct 14 08:55:06 GMT 2025","Tue Oct 14 08:55:06 GMT 2025","509","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Tue Oct 14 08:55:06 GMT 2025","Tue Oct 14 08:55:06 GMT 2025","32","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[core]",""
"passed","Tue Oct 14 08:55:05 GMT 2025","Tue Oct 14 08:55:05 GMT 2025","32","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Tue Oct 14 08:55:05 GMT 2025","Tue Oct 14 08:55:06 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[core]",""
"passed","Tue Oct 14 08:55:05 GMT 2025","Tue Oct 14 08:55:05 GMT 2025","59","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Tue Oct 14 08:55:05 GMT 2025","Tue Oct 14 08:55:05 GMT 2025","62","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select[core]","Select handles all data types properly."
"passed","Tue Oct 14 08:55:06 GMT 2025","Tue Oct 14 08:55:06 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[core]",""
