"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Inserted and than selected bytea value doesn't get corrupted.","29","test_bytea_roundtrip[core]","tests.integration.dbapi.sync.V2","Tue Nov 25 03:24:59 UTC 2025","passed","Tue Nov 25 03:24:59 UTC 2025","","test_queries","",""
"Select handles errors properly during fetching.","113","test_streaming_error_during_fetching[core]","tests.integration.dbapi.sync.V2","Tue Nov 25 03:25:02 UTC 2025","passed","Tue Nov 25 03:25:02 UTC 2025","","test_streaming","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","83","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.async.V2","Tue Nov 25 03:24:46 UTC 2025","passed","Tue Nov 25 03:24:46 UTC 2025","","test_queries_async","",""
"","31","test_set_invalid_parameter[core]","tests.integration.dbapi.async.V2","Tue Nov 25 03:24:45 UTC 2025","passed","Tue Nov 25 03:24:45 UTC 2025","","test_queries_async","",""
"","4","test_select_inf[core]","tests.integration.dbapi.sync.V2","Tue Nov 25 03:24:49 UTC 2025","passed","Tue Nov 25 03:24:49 UTC 2025","","test_queries","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.async.V2","Tue Nov 25 03:24:35 UTC 2025","skipped","Tue Nov 25 03:24:35 UTC 2025","","test_auth_async","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","126","test_connection_close_rollback_with_autocommit_off[core]","tests.integration.dbapi.async.V2","Tue Nov 25 03:24:47 UTC 2025","passed","Tue Nov 25 03:24:47 UTC 2025","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","62","test_executemany_bulk_insert_paramstyles[core-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","Tue Nov 25 03:24:35 UTC 2025","passed","Tue Nov 25 03:24:35 UTC 2025","","test_queries_async","",""
"Test that connection.rollback() works correctly.","63","test_connection_rollback[core]","tests.integration.dbapi.sync.V2","Tue Nov 25 03:25:00 UTC 2025","passed","Tue Nov 25 03:25:00 UTC 2025","","test_queries","",""
"Query parameters are handled properly.","30","test_parameterized_query_with_special_chars[core]","tests.integration.dbapi.async.V2","Tue Nov 25 03:24:35 UTC 2025","passed","Tue Nov 25 03:24:35 UTC 2025","","test_queries_async","",""
"","3","test_select_quoted_bigint[core]","tests.integration.dbapi.sync.V2","Tue Nov 25 03:25:00 UTC 2025","passed","Tue Nov 25 03:25:00 UTC 2025","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","135","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.async.V2","Tue Nov 25 03:24:47 UTC 2025","passed","Tue Nov 25 03:24:47 UTC 2025","","test_queries_async","",""
"Select handles all data types properly.","69","test_streaming_select[core]","tests.integration.dbapi.async.V2","Tue Nov 25 03:24:47 UTC 2025","passed","Tue Nov 25 03:24:47 UTC 2025","","test_streaming","",""
"Connection properly reacts to SQL execution error.","39","test_sql_error[core]","tests.integration.dbapi.async.V2","Tue Nov 25 03:24:35 UTC 2025","passed","Tue Nov 25 03:24:35 UTC 2025","","test_errors_async","",""
