"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 13:34:08 GMT 2025","Fri Oct 17 13:34:09 GMT 2025","1265","tests.integration.dbapi.sync.V2","test_server_async","","","","test_cancel_async_query[remote]",""
"passed","Fri Oct 17 13:33:19 GMT 2025","Fri Oct 17 13:33:20 GMT 2025","1104","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[remote]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Fri Oct 17 13:34:52 GMT 2025","Fri Oct 17 13:34:52 GMT 2025","55","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]",""
"passed","Fri Oct 17 13:33:06 GMT 2025","Fri Oct 17 13:33:10 GMT 2025","4077","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"passed","Fri Oct 17 13:33:29 GMT 2025","Fri Oct 17 13:33:30 GMT 2025","956","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[remote]","Query parameters are handled properly"
"passed","Fri Oct 17 13:33:27 GMT 2025","Fri Oct 17 13:33:28 GMT 2025","987","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async_running[remote]",""
"passed","Fri Oct 17 13:34:19 GMT 2025","Fri Oct 17 13:34:20 GMT 2025","1061","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Fri Oct 17 13:33:08 GMT 2025","Fri Oct 17 13:33:09 GMT 2025","1326","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[remote]","Query parameters are handled properly."
"passed","Fri Oct 17 13:33:28 GMT 2025","Fri Oct 17 13:33:29 GMT 2025","781","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[remote]","Query parameters are handled properly."
"passed","Fri Oct 17 13:33:46 GMT 2025","Fri Oct 17 13:33:46 GMT 2025","275","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_bigint[remote]",""
"passed","Fri Oct 17 13:33:33 GMT 2025","Fri Oct 17 13:33:34 GMT 2025","1019","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Fri Oct 17 13:33:19 GMT 2025","Fri Oct 17 13:33:19 GMT 2025","634","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[remote]","Select handles errors properly during fetching."
"skipped","Fri Oct 17 13:33:05 GMT 2025","Fri Oct 17 13:33:05 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[remote]","Auth refreshes token on expiration/invalidation"
"passed","Fri Oct 17 13:42:21 GMT 2025","Fri Oct 17 13:42:22 GMT 2025","962","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[remote]","Insert and delete queries are handled properly."
