"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","test_select_quoted_bigint[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","73","test_context_manager_works_with_autocommit_on[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","88","test_connection_close_rollback_with_autocommit_off[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Insert and delete queries are handled properly.","70","test_insert[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Select handles all data types properly.","42","test_select[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","12","test_select_nan[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that connection.commit() works correctly.","52","test_connection_commit[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","skipped","2026-03-25","","test_queries","",""
"Connection properly reacts to SQL execution error.","18","test_sql_error[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_errors_async","",""
"","0","test_streaming_limited_memory[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_streaming","",""
"Select handles errors properly during fetching.","201","test_streaming_error_during_fetching[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Select handles multiple records properly.","755","test_streaming_multiple_records[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Test transaction SQL statements with ROLLBACK.","87","test_transaction_rollback[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test transaction SQL statements with COMMIT.","51","test_transaction_commit[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","48","test_executemany_bulk_insert_paramstyles[core-docker-compose-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"","16","test_select_geography[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Select handles errors properly during fetching.","188","test_streaming_error_during_fetching[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"","16","test_select_quoted_bigint[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","86","test_context_manager_no_auto_commit_on_exception_exit[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Query parameters are handled properly","49","test_multi_statement_query[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10061","test_executemany_bulk_insert_paramstyles[core-docker-compose-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_auth_async","",""
"Test that connection.close() does not rollback when autocommit=True.","49","test_connection_close_no_rollback_with_autocommit_on[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","skipped","2026-03-25","","test_queries_async","",""
"","12","test_select_quoted_decimal[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","19","test_select_inf[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","55","test_context_manager_no_auto_commit_on_exception_exit[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Select handles errors properly.","18","test_streaming_error[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_streaming","",""
"Test that connection.rollback() works correctly.","54","test_connection_rollback[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"
    Async integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","69","test_database_switching_with_same_engine_preserves_database_context[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","43","test_autocommit_immediate_visibility[core-docker-compose-explicit]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","49","test_context_manager_works_with_autocommit_on[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Test transaction SQL statements with COMMIT.","84","test_transaction_commit[core-docker-compose]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","23","test_executemany_bulk_insert_paramstyles[core-docker-compose-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"","11","test_select_geography[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Verify that a dedicated cluster can be brought up with default settings.","36","test_dedicated_compose_default[docker-compose-core]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose_async","",""
"","9","test_set_invalid_parameter[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","skipped","2026-03-25","","test_auth","",""
"Connection properly reacts to sql execution error.","9","test_sql_error[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_errors","",""
"Test that cursors share the same transaction state - no isolation between cursors.","63","test_transaction_cursor_isolation[core-docker-compose]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_queries","",""
"Verify that a dedicated cluster can be brought up with default settings.","18","test_dedicated_compose_default[docker-compose-core]","tests.integration.dbapi.sync.V2","2026-03-25","passed","2026-03-25","","test_dedicated_compose","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10090","test_executemany_bulk_insert_paramstyles[core-docker-compose-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","2026-03-25","passed","2026-03-25","","test_queries_async","",""
