"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","test_check_async_execution_fails[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:06:26 UTC 2026","passed","Fri Mar 27 09:06:26 UTC 2026","","test_server_async","",""
"Connection properly reacts to invalid database error.","1128","test_database_not_exists","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:33 UTC 2026","passed","Fri Mar 27 09:05:34 UTC 2026","","test_errors_async","",""
"","2530","test_insert_async[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:44 UTC 2026","passed","Fri Mar 27 09:05:46 UTC 2026","","test_server_async","",""
"Select handles all data types properly.","208","test_streaming_select[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:45 UTC 2026","passed","Fri Mar 27 09:05:45 UTC 2026","","test_streaming","",""
"","507","test_cancel_async_query[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:06:26 UTC 2026","passed","Fri Mar 27 09:06:27 UTC 2026","","test_server_async","",""
"Test transaction SQL statements with COMMIT.","1272","test_transaction_commit[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:38 UTC 2026","passed","Fri Mar 27 09:05:40 UTC 2026","","test_queries_async","",""
"","114","test_select_geography[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:06:58 UTC 2026","passed","Fri Mar 27 09:06:59 UTC 2026","","test_queries","",""
"","730","test_anyio_backend_import_issue[0]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:06:01 UTC 2026","passed","Fri Mar 27 09:06:02 UTC 2026","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","666","test_autocommit_immediate_visibility[remote-explicit]","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:42 UTC 2026","passed","Fri Mar 27 09:05:42 UTC 2026","","test_queries_async","",""
"Connecting with engine name is handled properly.","451","test_system_engine","tests.integration.dbapi.sync.V2","Fri Mar 27 09:06:39 UTC 2026","passed","Fri Mar 27 09:06:39 UTC 2026","","test_system_engine","",""
"","1078","test_query_timeout[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:47 UTC 2026","passed","Fri Mar 27 09:05:48 UTC 2026","","test_timeout","",""
"Connecting with engine name is handled properly.","211","test_connect_no_db","tests.integration.dbapi.sync.V2","Fri Mar 27 09:05:49 UTC 2026","passed","Fri Mar 27 09:05:49 UTC 2026","","test_queries","",""
"","88","test_select_geography[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:37 UTC 2026","passed","Fri Mar 27 09:05:37 UTC 2026","","test_queries_async","",""
"","102861","test_connection_with_mixed_case_db_and_engine","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:36 UTC 2026","passed","Fri Mar 27 09:07:19 UTC 2026","","test_queries_async","",""
"","2389","test_check_async_query_fails[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:46 UTC 2026","passed","Fri Mar 27 09:05:49 UTC 2026","","test_server_async","",""
"Select handles errors properly during fetching.","212","test_streaming_error_during_fetching[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:06:38 UTC 2026","passed","Fri Mar 27 09:06:39 UTC 2026","","test_streaming","",""
"Query parameters are handled properly.","35","test_parameterized_query_with_special_chars[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:05:50 UTC 2026","passed","Fri Mar 27 09:05:50 UTC 2026","","test_queries","",""
"Test that context manager does not commit transaction on exception exit.","953","test_context_manager_no_auto_commit_on_exception_exit[remote]","tests.integration.dbapi.sync.V2","Fri Mar 27 09:06:15 UTC 2026","passed","Fri Mar 27 09:06:16 UTC 2026","","test_queries","",""
"Test that BEGIN does not start a transaction when autocommit is enabled.","924","test_begin_with_autocommit_on[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:40 UTC 2026","passed","Fri Mar 27 09:05:41 UTC 2026","","test_queries_async","",""
"","701","test_connection_with_mixed_case_db_and_engine","tests.integration.dbapi.sync.V2","Fri Mar 27 09:06:51 UTC 2026","passed","Fri Mar 27 09:06:52 UTC 2026","","test_queries","",""
"","153","test_select_quoted_decimal[remote]","tests.integration.dbapi.async.V2","Fri Mar 27 09:05:39 UTC 2026","passed","Fri Mar 27 09:05:40 UTC 2026","","test_queries_async","",""
