"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","3","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[core]",""
"passed","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","85","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Mon Oct 13 16:41:59 GMT 2025","Mon Oct 13 16:41:59 GMT 2025","218","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Mon Oct 13 16:41:55 GMT 2025","Mon Oct 13 16:41:55 GMT 2025","32","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[core]",""
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[core]",""
"passed","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","60","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","49","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Mon Oct 13 16:41:55 GMT 2025","Mon Oct 13 16:41:55 GMT 2025","516","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","4","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"passed","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[core]",""
"passed","Mon Oct 13 16:41:55 GMT 2025","Mon Oct 13 16:41:55 GMT 2025","125","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[core]",""
"passed","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","64","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"skipped","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"skipped","Mon Oct 13 16:41:55 GMT 2025","Mon Oct 13 16:41:55 GMT 2025","0","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","43","tests.integration.dbapi.sync.V2","test_queries","","","","test_executemany_bulk_insert[core]","executemany with bulk_insert=True inserts data correctly."
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[core]",""
"passed","Mon Oct 13 16:41:58 GMT 2025","Mon Oct 13 16:41:59 GMT 2025","941","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Mon Oct 13 16:41:56 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","1029","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[core]",""
"skipped","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","32","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"passed","Mon Oct 13 16:41:58 GMT 2025","Mon Oct 13 16:41:58 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_bigint[core]",""
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_decimal[core]",""
"passed","Mon Oct 13 16:41:59 GMT 2025","Mon Oct 13 16:42:00 GMT 2025","1004","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Mon Oct 13 16:41:55 GMT 2025","Mon Oct 13 16:41:56 GMT 2025","228","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","46","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[core]","Select handles all data types properly."
"passed","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","63","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select[core]","Select handles all data types properly."
"passed","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","77","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"skipped","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","44","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[core]",""
"passed","Mon Oct 13 16:41:57 GMT 2025","Mon Oct 13 16:41:57 GMT 2025","60","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","63","tests.integration.dbapi.async.V2","test_queries_async","","","","test_executemany_bulk_insert[core]","executemany with bulk_insert=True inserts data correctly."
"skipped","Mon Oct 13 16:41:59 GMT 2025","Mon Oct 13 16:41:59 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Mon Oct 13 16:41:54 GMT 2025","Mon Oct 13 16:41:54 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
