"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:25:49 UTC 2025","skipped","Wed Nov 05 03:25:49 UTC 2025","","test_queries_async","",""
"Select handles multiple records properly.","581","test_streaming_multiple_records[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:15 UTC 2025","passed","Wed Nov 05 03:26:16 UTC 2025","","test_streaming","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","39","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:14 UTC 2025","passed","Wed Nov 05 03:26:14 UTC 2025","","test_queries","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:25:49 UTC 2025","skipped","Wed Nov 05 03:25:49 UTC 2025","","test_auth_async","",""
"Test transaction SQL statements with COMMIT.","78","test_transaction_commit[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:14 UTC 2025","passed","Wed Nov 05 03:26:14 UTC 2025","","test_queries","",""
"","31","test_select_nan[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:25:49 UTC 2025","passed","Wed Nov 05 03:25:49 UTC 2025","","test_queries_async","",""
"","119","test_select_struct[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:00 UTC 2025","passed","Wed Nov 05 03:26:00 UTC 2025","","test_queries_async","",""
"Inserted and than selected bytea value doesn't get corrupted.","30","test_bytea_roundtrip[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:14 UTC 2025","passed","Wed Nov 05 03:26:14 UTC 2025","","test_queries","",""
"","0","test_streaming_limited_memory[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:16 UTC 2025","skipped","Wed Nov 05 03:26:16 UTC 2025","","test_streaming","",""
"Inserted and than selected bytea value doesn't get corrupted.","57","test_bytea_roundtrip[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:00 UTC 2025","passed","Wed Nov 05 03:26:00 UTC 2025","","test_queries_async","",""
"Query parameters are handled properly.","74","test_parameterized_query[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:25:49 UTC 2025","passed","Wed Nov 05 03:25:49 UTC 2025","","test_queries_async","",""
"Test that context manager does not auto-commit when autocommit=True.","119","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:01 UTC 2025","passed","Wed Nov 05 03:26:01 UTC 2025","","test_queries_async","",""
"Insert and delete queries are handled properly.","83","test_insert[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:25:49 UTC 2025","passed","Wed Nov 05 03:25:49 UTC 2025","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","83","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:15 UTC 2025","passed","Wed Nov 05 03:26:15 UTC 2025","","test_queries","",""
"","4","test_select_nan[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:03 UTC 2025","passed","Wed Nov 05 03:26:03 UTC 2025","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","80","test_autocommit_immediate_visibility[core-explicit]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:00 UTC 2025","passed","Wed Nov 05 03:26:01 UTC 2025","","test_queries_async","",""
"Select handles all data types properly.","30","test_streaming_select[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:15 UTC 2025","passed","Wed Nov 05 03:26:15 UTC 2025","","test_streaming","",""
"Select handles errors properly.","6","test_streaming_error[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:16 UTC 2025","passed","Wed Nov 05 03:26:16 UTC 2025","","test_streaming","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:25:49 UTC 2025","skipped","Wed Nov 05 03:25:49 UTC 2025","","test_auth_async","",""
"Test that connection.commit() works correctly.","59","test_connection_commit[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:15 UTC 2025","passed","Wed Nov 05 03:26:15 UTC 2025","","test_queries","",""
"Query parameters are handled properly","33","test_multi_statement_query[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:14 UTC 2025","passed","Wed Nov 05 03:26:14 UTC 2025","","test_queries","",""
"","31","test_select_quoted_bigint[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:00 UTC 2025","passed","Wed Nov 05 03:26:00 UTC 2025","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10087","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","Wed Nov 05 03:25:49 UTC 2025","passed","Wed Nov 05 03:26:00 UTC 2025","","test_queries_async","",""
"Select handles errors properly during fetching.","153","test_streaming_error_during_fetching[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:02 UTC 2025","passed","Wed Nov 05 03:26:02 UTC 2025","","test_streaming","",""
"Test that connection.aclose() does not rollback when autocommit=True.","123","test_connection_close_no_rollback_with_autocommit_on[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:01 UTC 2025","passed","Wed Nov 05 03:26:01 UTC 2025","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","26","test_executemany_bulk_insert_paramstyles[core-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:03 UTC 2025","passed","Wed Nov 05 03:26:03 UTC 2025","","test_queries","",""
"","1030","test_query_timeout[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:02 UTC 2025","passed","Wed Nov 05 03:26:03 UTC 2025","","test_timeout","",""
"","5","test_select_quoted_bigint[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:14 UTC 2025","passed","Wed Nov 05 03:26:14 UTC 2025","","test_queries","",""
"Test that connection.rollback() works correctly.","65","test_connection_rollback[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:15 UTC 2025","passed","Wed Nov 05 03:26:15 UTC 2025","","test_queries","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","129","test_context_manager_auto_commit_on_normal_exit[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:01 UTC 2025","passed","Wed Nov 05 03:26:01 UTC 2025","","test_queries_async","",""
"Test that cursors share the same transaction state - no isolation between cursors.","78","test_transaction_cursor_isolation[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:14 UTC 2025","passed","Wed Nov 05 03:26:14 UTC 2025","","test_queries","",""
"","33","test_select_geography[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:00 UTC 2025","passed","Wed Nov 05 03:26:00 UTC 2025","","test_queries_async","",""
"","0","test_streaming_limited_memory[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:02 UTC 2025","skipped","Wed Nov 05 03:26:02 UTC 2025","","test_streaming","",""
"","1003","test_query_timeout[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:16 UTC 2025","passed","Wed Nov 05 03:26:17 UTC 2025","","test_timeout","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:03 UTC 2025","skipped","Wed Nov 05 03:26:03 UTC 2025","","test_queries","",""
"Test transaction SQL statements with ROLLBACK.","130","test_transaction_rollback[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:00 UTC 2025","passed","Wed Nov 05 03:26:00 UTC 2025","","test_queries_async","",""
"Insert and delete queries are handled properly.","47","test_insert[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:03 UTC 2025","passed","Wed Nov 05 03:26:03 UTC 2025","","test_queries","",""
"Test that context manager does not auto-commit when autocommit=True.","77","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:15 UTC 2025","passed","Wed Nov 05 03:26:15 UTC 2025","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","83","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:00 UTC 2025","passed","Wed Nov 05 03:26:00 UTC 2025","","test_queries_async","",""
"Select handles multiple records properly.","340","test_streaming_multiple_records[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:01 UTC 2025","passed","Wed Nov 05 03:26:02 UTC 2025","","test_streaming","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","85","test_context_manager_auto_commit_on_normal_exit[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:15 UTC 2025","passed","Wed Nov 05 03:26:15 UTC 2025","","test_queries","",""
"Select handles errors properly during fetching.","115","test_streaming_error_during_fetching[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:16 UTC 2025","passed","Wed Nov 05 03:26:16 UTC 2025","","test_streaming","",""
"Test transaction SQL statements with COMMIT.","126","test_transaction_commit[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:00 UTC 2025","passed","Wed Nov 05 03:26:00 UTC 2025","","test_queries_async","",""
"","29","test_set_invalid_parameter[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:00 UTC 2025","passed","Wed Nov 05 03:26:00 UTC 2025","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","127","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:01 UTC 2025","passed","Wed Nov 05 03:26:01 UTC 2025","","test_queries_async","",""
"Test that connection.commit() works correctly.","109","test_connection_commit[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:01 UTC 2025","passed","Wed Nov 05 03:26:01 UTC 2025","","test_queries_async","",""
"","6","test_select_geography[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:14 UTC 2025","passed","Wed Nov 05 03:26:14 UTC 2025","","test_queries","",""
"","31","test_select_quoted_decimal[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:00 UTC 2025","passed","Wed Nov 05 03:26:00 UTC 2025","","test_queries_async","",""
"","5","test_select_quoted_decimal[core]","tests.integration.dbapi.sync.V2","Wed Nov 05 03:26:14 UTC 2025","passed","Wed Nov 05 03:26:14 UTC 2025","","test_queries","",""
"Select handles all data types properly.","64","test_streaming_select[core]","tests.integration.dbapi.async.V2","Wed Nov 05 03:26:01 UTC 2025","passed","Wed Nov 05 03:26:01 UTC 2025","","test_streaming","",""
