"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 15 10:55:30 GMT 2025","Wed Oct 15 10:55:30 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[core]",""
"passed","Wed Oct 15 10:55:30 GMT 2025","Wed Oct 15 10:55:30 GMT 2025","32","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"skipped","Wed Oct 15 10:55:19 GMT 2025","Wed Oct 15 10:55:19 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Wed Oct 15 10:55:30 GMT 2025","Wed Oct 15 10:55:30 GMT 2025","33","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Wed Oct 15 10:55:17 GMT 2025","Wed Oct 15 10:55:18 GMT 2025","534","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Wed Oct 15 10:55:18 GMT 2025","Wed Oct 15 10:55:18 GMT 2025","199","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"skipped","Wed Oct 15 10:55:06 GMT 2025","Wed Oct 15 10:55:06 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"passed","Wed Oct 15 10:55:19 GMT 2025","Wed Oct 15 10:55:19 GMT 2025","63","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Wed Oct 15 10:55:06 GMT 2025","Wed Oct 15 10:55:06 GMT 2025","40","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[core]","Connection properly reacts to SQL execution error."
"passed","Wed Oct 15 10:55:18 GMT 2025","Wed Oct 15 10:55:18 GMT 2025","32","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Wed Oct 15 10:55:19 GMT 2025","Wed Oct 15 10:55:19 GMT 2025","57","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Wed Oct 15 10:55:07 GMT 2025","Wed Oct 15 10:55:17 GMT 2025","10092","tests.integration.dbapi.async.V2","test_queries_async","","","","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""test_tbl"" VALUES (?, ?)-test_data1]","executemany with bulk_insert=True works correctly for both paramstyles."
"passed","Wed Oct 15 10:55:30 GMT 2025","Wed Oct 15 10:55:30 GMT 2025","41","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
