"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","115","test_select_struct[core]","tests.integration.dbapi.async.V2","Thu Nov 06 09:47:41 UTC 2025","passed","Thu Nov 06 09:47:41 UTC 2025","","test_queries_async","",""
"Select handles multiple records properly.","490","test_streaming_multiple_records[core]","tests.integration.dbapi.async.V2","Thu Nov 06 09:47:43 UTC 2025","passed","Thu Nov 06 09:47:43 UTC 2025","","test_streaming","",""
"Test that connection.aclose() does not rollback when autocommit=True.","126","test_connection_close_no_rollback_with_autocommit_on[core]","tests.integration.dbapi.async.V2","Thu Nov 06 09:47:43 UTC 2025","passed","Thu Nov 06 09:47:43 UTC 2025","","test_queries_async","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[core]","tests.integration.dbapi.async.V2","Thu Nov 06 09:47:30 UTC 2025","skipped","Thu Nov 06 09:47:30 UTC 2025","","test_auth_async","",""
"Select handles errors properly during fetching.","163","test_streaming_error_during_fetching[core]","tests.integration.dbapi.sync.V2","Thu Nov 06 09:47:58 UTC 2025","passed","Thu Nov 06 09:47:58 UTC 2025","","test_streaming","",""
"","1003","test_query_timeout[core]","tests.integration.dbapi.sync.V2","Thu Nov 06 09:47:58 UTC 2025","passed","Thu Nov 06 09:47:59 UTC 2025","","test_timeout","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core]","tests.integration.dbapi.async.V2","Thu Nov 06 09:47:31 UTC 2025","skipped","Thu Nov 06 09:47:31 UTC 2025","","test_queries_async","",""
"Test that connection.rollback() works correctly.","112","test_connection_rollback[core]","tests.integration.dbapi.async.V2","Thu Nov 06 09:47:42 UTC 2025","passed","Thu Nov 06 09:47:42 UTC 2025","","test_queries_async","",""
"Query parameters are handled properly","67","test_multi_statement_query[core]","tests.integration.dbapi.async.V2","Thu Nov 06 09:47:41 UTC 2025","passed","Thu Nov 06 09:47:41 UTC 2025","","test_queries_async","",""
"","5","test_select_geography[core]","tests.integration.dbapi.sync.V2","Thu Nov 06 09:47:56 UTC 2025","passed","Thu Nov 06 09:47:56 UTC 2025","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","61","test_executemany_bulk_insert_paramstyles[core-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","Thu Nov 06 09:47:31 UTC 2025","passed","Thu Nov 06 09:47:31 UTC 2025","","test_queries_async","",""
"","30","test_set_invalid_parameter[core]","tests.integration.dbapi.async.V2","Thu Nov 06 09:47:41 UTC 2025","passed","Thu Nov 06 09:47:41 UTC 2025","","test_queries_async","",""
"Select handles errors properly.","6","test_streaming_error[core]","tests.integration.dbapi.sync.V2","Thu Nov 06 09:47:58 UTC 2025","passed","Thu Nov 06 09:47:58 UTC 2025","","test_streaming","",""
"Query parameters are handled properly.","75","test_parameterized_query[core]","tests.integration.dbapi.async.V2","Thu Nov 06 09:47:31 UTC 2025","passed","Thu Nov 06 09:47:31 UTC 2025","","test_queries_async","",""
