"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 19 12:17:55 GMT 2025","Fri Sep 19 12:17:55 GMT 2025","222","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[remote]","Query parameters are handled properly."
"passed","Fri Sep 19 12:08:58 GMT 2025","Fri Sep 19 12:08:59 GMT 2025","1065","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[remote]","Connection properly reacts to SQL execution error."
"passed","Fri Sep 19 12:09:00 GMT 2025","Fri Sep 19 12:09:00 GMT 2025","807","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[remote]","Inserted and than selected bytea value doesn't get corrupted."
"skipped","Fri Sep 19 12:08:57 GMT 2025","Fri Sep 19 12:08:57 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[remote]","Auth refreshes token on expiration/invalidation"
"passed","Fri Sep 19 12:09:01 GMT 2025","Fri Sep 19 12:09:01 GMT 2025","252","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[remote]",""
"passed","Fri Sep 19 12:08:58 GMT 2025","Fri Sep 19 12:08:58 GMT 2025","534","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Fri Sep 19 12:09:00 GMT 2025","Fri Sep 19 12:09:01 GMT 2025","323","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[remote]",""
"passed","Fri Sep 19 12:09:04 GMT 2025","Fri Sep 19 12:09:05 GMT 2025","607","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine",""
"passed","Fri Sep 19 12:09:12 GMT 2025","Fri Sep 19 12:09:13 GMT 2025","890","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Fri Sep 19 12:09:00 GMT 2025","Fri Sep 19 12:09:00 GMT 2025","126","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[remote]",""
"passed","Fri Sep 19 12:10:44 GMT 2025","Fri Sep 19 12:10:44 GMT 2025","57","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Fri Sep 19 12:09:15 GMT 2025","Fri Sep 19 12:09:15 GMT 2025","177","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Fri Sep 19 12:09:08 GMT 2025","Fri Sep 19 12:09:08 GMT 2025","105","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[remote]",""
"passed","Fri Sep 19 12:09:04 GMT 2025","Fri Sep 19 12:09:04 GMT 2025","632","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[remote]","Select handles multiple records properly."
"passed","Fri Sep 19 12:09:58 GMT 2025","Fri Sep 19 12:09:58 GMT 2025","346","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[remote]","Select handles errors properly during fetching."
"passed","Fri Sep 19 12:09:01 GMT 2025","Fri Sep 19 12:09:01 GMT 2025","291","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[remote]",""
"passed","Fri Sep 19 12:09:00 GMT 2025","Fri Sep 19 12:09:00 GMT 2025","217","tests.integration.dbapi.async.V2","test_queries_async","","","","test_fb_numeric_paramstyle_not_enough_params","Test fb_numeric paramstyle: not enough parameters supplied."
"passed","Fri Sep 19 12:09:59 GMT 2025","Fri Sep 19 12:10:00 GMT 2025","865","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_use_engine",""
"passed","Fri Sep 19 12:08:59 GMT 2025","Fri Sep 19 12:09:00 GMT 2025","1399","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Fri Sep 19 12:09:58 GMT 2025","Fri Sep 19 12:09:59 GMT 2025","577","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Fri Sep 19 12:08:58 GMT 2025","Fri Sep 19 12:08:59 GMT 2025","992","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"skipped","Fri Sep 19 12:08:57 GMT 2025","Fri Sep 19 12:08:57 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[remote]","Auth raises authentication error on credentials invalidation"
"passed","Fri Sep 19 12:09:00 GMT 2025","Fri Sep 19 12:09:04 GMT 2025","4139","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Fri Sep 19 12:09:59 GMT 2025","Fri Sep 19 12:10:00 GMT 2025","1020","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[remote]",""
"passed","Fri Sep 19 12:09:14 GMT 2025","Fri Sep 19 12:09:15 GMT 2025","149","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Fri Sep 19 12:10:00 GMT 2025","Fri Sep 19 12:10:00 GMT 2025","264","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"passed","Fri Sep 19 12:09:13 GMT 2025","Fri Sep 19 12:09:14 GMT 2025","926","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Fri Sep 19 12:09:09 GMT 2025","Fri Sep 19 12:09:10 GMT 2025","541","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[remote]","Query parameters are handled properly"
"passed","Fri Sep 19 12:09:11 GMT 2025","Fri Sep 19 12:09:12 GMT 2025","886","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Fri Sep 19 12:15:23 GMT 2025","Fri Sep 19 12:18:14 GMT 2025","171100","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"passed","Fri Sep 19 12:09:14 GMT 2025","Fri Sep 19 12:09:14 GMT 2025","850","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Fri Sep 19 12:09:07 GMT 2025","Fri Sep 19 12:09:07 GMT 2025","153","tests.integration.dbapi.sync.V2","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Fri Sep 19 12:18:05 GMT 2025","Fri Sep 19 12:18:06 GMT 2025","1196","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Fri Sep 19 12:08:59 GMT 2025","Fri Sep 19 12:08:59 GMT 2025","313","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[remote]",""
"passed","Fri Sep 19 12:09:39 GMT 2025","Fri Sep 19 12:09:39 GMT 2025","614","tests.integration.dbapi.sync.V2","test_server_async","","","","test_cancel_async_query[remote]",""
"passed","Fri Sep 19 12:08:58 GMT 2025","Fri Sep 19 12:08:59 GMT 2025","671","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select[remote]","Select handles all data types properly."
"skipped","Fri Sep 19 12:09:06 GMT 2025","Fri Sep 19 12:09:06 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Fri Sep 19 12:10:44 GMT 2025","Fri Sep 19 12:10:44 GMT 2025","55","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Fri Sep 19 12:09:01 GMT 2025","Fri Sep 19 12:09:02 GMT 2025","880","tests.integration.dbapi.async.V2","test_queries_async","","","","test_database_switch",""
"passed","Fri Sep 19 12:09:08 GMT 2025","Fri Sep 19 12:18:05 GMT 2025","536811","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[remote]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Fri Sep 19 12:09:08 GMT 2025","Fri Sep 19 12:09:08 GMT 2025","168","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Fri Sep 19 12:09:06 GMT 2025","Fri Sep 19 12:09:07 GMT 2025","1113","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[remote]",""
"passed","Fri Sep 19 12:10:44 GMT 2025","Fri Sep 19 12:10:44 GMT 2025","56","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]",""
"passed","Fri Sep 19 12:08:59 GMT 2025","Fri Sep 19 12:09:00 GMT 2025","894","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[remote]","Query parameters are handled properly."
"passed","Fri Sep 19 12:09:15 GMT 2025","Fri Sep 19 12:09:18 GMT 2025","3300","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Fri Sep 19 12:09:19 GMT 2025","Fri Sep 19 12:09:20 GMT 2025","585","tests.integration.dbapi.sync.V2","test_queries","","","","test_fb_numeric_paramstyle_all_types","Test fb_numeric paramstyle: insert/select all supported types, and parameter count errors."
"passed","Fri Sep 19 12:08:58 GMT 2025","Fri Sep 19 12:08:58 GMT 2025","771","tests.integration.dbapi.async.V2","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Fri Sep 19 12:09:04 GMT 2025","Fri Sep 19 12:09:04 GMT 2025","98","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[remote]",""
"passed","Fri Sep 19 12:08:59 GMT 2025","Fri Sep 19 12:09:00 GMT 2025","719","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[remote]","Query parameters are handled properly"
"passed","Fri Sep 19 12:09:01 GMT 2025","Fri Sep 19 12:09:14 GMT 2025","12780","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async[remote]",""
"passed","Fri Sep 19 12:09:03 GMT 2025","Fri Sep 19 12:09:04 GMT 2025","516","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[remote]","Select handles all data types properly."
"passed","Fri Sep 19 12:09:03 GMT 2025","Fri Sep 19 12:09:03 GMT 2025","146","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_fails[remote]",""
"passed","Fri Sep 19 12:08:58 GMT 2025","Fri Sep 19 12:09:00 GMT 2025","2653","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"passed","Fri Sep 19 12:09:08 GMT 2025","Fri Sep 19 12:09:08 GMT 2025","358","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[remote]","Select handles all data types properly."
"passed","Fri Sep 19 12:09:02 GMT 2025","Fri Sep 19 12:09:03 GMT 2025","566","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async_running[remote]",""
"passed","Fri Sep 19 12:09:20 GMT 2025","Fri Sep 19 12:09:20 GMT 2025","475","tests.integration.dbapi.sync.V2","test_queries","","","","test_fb_numeric_paramstyle_too_many_params","Test fb_numeric paramstyle: too many parameters supplied (should succeed)."
