"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 03:16:24 GMT 2025","Tue Oct 07 03:16:24 GMT 2025","72","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Tue Oct 07 03:16:28 GMT 2025","Tue Oct 07 03:16:28 GMT 2025","80","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Tue Oct 07 03:16:28 GMT 2025","Tue Oct 07 03:16:29 GMT 2025","1003","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Tue Oct 07 03:16:24 GMT 2025","Tue Oct 07 03:16:24 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[core]",""
"passed","Tue Oct 07 03:16:25 GMT 2025","Tue Oct 07 03:16:25 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[core]",""
"passed","Tue Oct 07 03:16:27 GMT 2025","Tue Oct 07 03:16:27 GMT 2025","39","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Tue Oct 07 03:16:26 GMT 2025","Tue Oct 07 03:16:27 GMT 2025","47","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Tue Oct 07 03:16:24 GMT 2025","Tue Oct 07 03:16:25 GMT 2025","110","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[core]",""
"passed","Tue Oct 07 03:16:27 GMT 2025","Tue Oct 07 03:16:27 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_decimal[core]",""
"passed","Tue Oct 07 03:16:25 GMT 2025","Tue Oct 07 03:16:25 GMT 2025","123","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Tue Oct 07 03:16:25 GMT 2025","Tue Oct 07 03:16:25 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[core]",""
"passed","Tue Oct 07 03:16:28 GMT 2025","Tue Oct 07 03:16:28 GMT 2025","7","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Tue Oct 07 03:16:25 GMT 2025","Tue Oct 07 03:16:25 GMT 2025","31","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Tue Oct 07 03:16:26 GMT 2025","Tue Oct 07 03:16:26 GMT 2025","3","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"passed","Tue Oct 07 03:16:24 GMT 2025","Tue Oct 07 03:16:24 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"passed","Tue Oct 07 03:16:27 GMT 2025","Tue Oct 07 03:16:27 GMT 2025","48","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Tue Oct 07 03:16:27 GMT 2025","Tue Oct 07 03:16:27 GMT 2025","102","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[core]",""
"skipped","Tue Oct 07 03:16:24 GMT 2025","Tue Oct 07 03:16:24 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
