"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 04 03:38:40 GMT 2025","Mon Aug 04 03:38:40 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[core]",""
"passed","Mon Aug 04 03:38:38 GMT 2025","Mon Aug 04 03:38:38 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[core]",""
"passed","Mon Aug 04 03:38:39 GMT 2025","Mon Aug 04 03:38:40 GMT 2025","1029","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Mon Aug 04 03:38:38 GMT 2025","Mon Aug 04 03:38:38 GMT 2025","115","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[core]",""
"passed","Mon Aug 04 03:38:40 GMT 2025","Mon Aug 04 03:38:40 GMT 2025","52","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Mon Aug 04 03:38:42 GMT 2025","Mon Aug 04 03:38:42 GMT 2025","7","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Mon Aug 04 03:38:41 GMT 2025","Mon Aug 04 03:38:41 GMT 2025","53","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"skipped","Mon Aug 04 03:38:40 GMT 2025","Mon Aug 04 03:38:40 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"passed","Mon Aug 04 03:38:40 GMT 2025","Mon Aug 04 03:38:40 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[core]",""
"passed","Mon Aug 04 03:38:42 GMT 2025","Mon Aug 04 03:38:42 GMT 2025","199","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Mon Aug 04 03:38:38 GMT 2025","Mon Aug 04 03:38:38 GMT 2025","502","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"skipped","Mon Aug 04 03:38:40 GMT 2025","Mon Aug 04 03:38:40 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Mon Aug 04 03:38:37 GMT 2025","Mon Aug 04 03:38:37 GMT 2025","77","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"skipped","Mon Aug 04 03:38:37 GMT 2025","Mon Aug 04 03:38:37 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"passed","Mon Aug 04 03:38:40 GMT 2025","Mon Aug 04 03:38:41 GMT 2025","101","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[core]",""
"passed","Mon Aug 04 03:38:38 GMT 2025","Mon Aug 04 03:38:38 GMT 2025","59","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Mon Aug 04 03:38:40 GMT 2025","Mon Aug 04 03:38:40 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[core]",""
"skipped","Mon Aug 04 03:38:37 GMT 2025","Mon Aug 04 03:38:37 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Mon Aug 04 03:38:38 GMT 2025","Mon Aug 04 03:38:38 GMT 2025","31","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"skipped","Mon Aug 04 03:38:42 GMT 2025","Mon Aug 04 03:38:42 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Mon Aug 04 03:38:40 GMT 2025","Mon Aug 04 03:38:40 GMT 2025","45","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[core]","Select handles all data types properly."
"passed","Mon Aug 04 03:38:37 GMT 2025","Mon Aug 04 03:38:37 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"passed","Mon Aug 04 03:38:38 GMT 2025","Mon Aug 04 03:38:38 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[core]",""
"passed","Mon Aug 04 03:38:37 GMT 2025","Mon Aug 04 03:38:38 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Mon Aug 04 03:38:38 GMT 2025","Mon Aug 04 03:38:38 GMT 2025","70","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Mon Aug 04 03:38:40 GMT 2025","Mon Aug 04 03:38:40 GMT 2025","38","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Mon Aug 04 03:38:38 GMT 2025","Mon Aug 04 03:38:39 GMT 2025","214","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
