"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 29 10:58:39 GMT 2025","Tue Jul 29 10:58:39 GMT 2025","2","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[core]",""
"passed","Tue Jul 29 10:58:39 GMT 2025","Tue Jul 29 10:58:39 GMT 2025","50","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Tue Jul 29 10:58:36 GMT 2025","Tue Jul 29 10:58:36 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Tue Jul 29 10:58:39 GMT 2025","Tue Jul 29 10:58:39 GMT 2025","99","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[core]",""
"passed","Tue Jul 29 10:58:36 GMT 2025","Tue Jul 29 10:58:37 GMT 2025","504","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"skipped","Tue Jul 29 10:58:40 GMT 2025","Tue Jul 29 10:58:40 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Tue Jul 29 10:58:36 GMT 2025","Tue Jul 29 10:58:36 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[core]",""
"passed","Tue Jul 29 10:58:39 GMT 2025","Tue Jul 29 10:58:39 GMT 2025","64","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Tue Jul 29 10:58:36 GMT 2025","Tue Jul 29 10:58:36 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[core]",""
"skipped","Tue Jul 29 10:58:38 GMT 2025","Tue Jul 29 10:58:38 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"passed","Tue Jul 29 10:58:40 GMT 2025","Tue Jul 29 10:58:40 GMT 2025","6","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"skipped","Tue Jul 29 10:58:38 GMT 2025","Tue Jul 29 10:58:38 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Jul 29 10:58:36 GMT 2025","Tue Jul 29 10:58:36 GMT 2025","88","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Tue Jul 29 10:58:38 GMT 2025","Tue Jul 29 10:58:38 GMT 2025","3","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
