"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Fri Aug 15 03:28:19 GMT 2025","Fri Aug 15 03:28:19 GMT 2025","59","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[core]",""
"passed","Fri Aug 15 03:28:20 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","1030","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Fri Aug 15 03:28:19 GMT 2025","Fri Aug 15 03:28:19 GMT 2025","67","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"skipped","Fri Aug 15 03:28:23 GMT 2025","Fri Aug 15 03:28:23 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Fri Aug 15 03:28:19 GMT 2025","Fri Aug 15 03:28:19 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[core]",""
"skipped","Fri Aug 15 03:28:18 GMT 2025","Fri Aug 15 03:28:18 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Fri Aug 15 03:28:23 GMT 2025","Fri Aug 15 03:28:23 GMT 2025","8","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","59","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Fri Aug 15 03:28:18 GMT 2025","Fri Aug 15 03:28:18 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"passed","Fri Aug 15 03:28:23 GMT 2025","Fri Aug 15 03:28:24 GMT 2025","1004","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Fri Aug 15 03:28:20 GMT 2025","Fri Aug 15 03:28:20 GMT 2025","223","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","47","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[core]","Select handles all data types properly."
"passed","Fri Aug 15 03:28:22 GMT 2025","Fri Aug 15 03:28:23 GMT 2025","1013","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Fri Aug 15 03:28:19 GMT 2025","Fri Aug 15 03:28:19 GMT 2025","70","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Fri Aug 15 03:28:18 GMT 2025","Fri Aug 15 03:28:19 GMT 2025","80","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Fri Aug 15 03:28:18 GMT 2025","Fri Aug 15 03:28:18 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[core]",""
"passed","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","8","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[core]",""
"skipped","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"passed","Fri Aug 15 03:28:19 GMT 2025","Fri Aug 15 03:28:19 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[core]",""
"passed","Fri Aug 15 03:28:18 GMT 2025","Fri Aug 15 03:28:18 GMT 2025","39","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[core]","Connection properly reacts to SQL execution error."
"passed","Fri Aug 15 03:28:22 GMT 2025","Fri Aug 15 03:28:22 GMT 2025","58","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"skipped","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","45","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Fri Aug 15 03:28:22 GMT 2025","Fri Aug 15 03:28:22 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[core]",""
"passed","Fri Aug 15 03:28:19 GMT 2025","Fri Aug 15 03:28:19 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[core]",""
"passed","Fri Aug 15 03:28:23 GMT 2025","Fri Aug 15 03:28:23 GMT 2025","251","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Fri Aug 15 03:28:19 GMT 2025","Fri Aug 15 03:28:19 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Fri Aug 15 03:28:19 GMT 2025","Fri Aug 15 03:28:19 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[core]",""
"passed","Fri Aug 15 03:28:18 GMT 2025","Fri Aug 15 03:28:18 GMT 2025","80","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Fri Aug 15 03:28:22 GMT 2025","Fri Aug 15 03:28:22 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_bigint[core]",""
"passed","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[core]",""
"passed","Fri Aug 15 03:28:18 GMT 2025","Fri Aug 15 03:28:18 GMT 2025","66","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select[core]","Select handles all data types properly."
"passed","Fri Aug 15 03:28:19 GMT 2025","Fri Aug 15 03:28:19 GMT 2025","121","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[core]",""
"passed","Fri Aug 15 03:28:19 GMT 2025","Fri Aug 15 03:28:20 GMT 2025","497","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"skipped","Fri Aug 15 03:28:20 GMT 2025","Fri Aug 15 03:28:20 GMT 2025","0","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"skipped","Fri Aug 15 03:28:18 GMT 2025","Fri Aug 15 03:28:18 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"skipped","Fri Aug 15 03:28:18 GMT 2025","Fri Aug 15 03:28:18 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"passed","Fri Aug 15 03:28:22 GMT 2025","Fri Aug 15 03:28:22 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_decimal[core]",""
"passed","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:22 GMT 2025","39","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Fri Aug 15 03:28:22 GMT 2025","Fri Aug 15 03:28:22 GMT 2025","108","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[core]",""
"passed","Fri Aug 15 03:28:20 GMT 2025","Fri Aug 15 03:28:20 GMT 2025","31","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Fri Aug 15 03:28:21 GMT 2025","Fri Aug 15 03:28:21 GMT 2025","54","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[core]","Insert and delete queries are handled properly."
