"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 03 15:12:24 GMT 2025","Mon Feb 03 15:12:24 GMT 2025","574","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db",""
"skipped","Mon Feb 03 15:12:31 GMT 2025","Mon Feb 03 15:12:31 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Mon Feb 03 15:12:35 GMT 2025","Mon Feb 03 15:12:35 GMT 2025","510","tests.integration.dbapi.sync.V2","test_queries","","","","test_select","Select handles all data types properly."
"passed","Mon Feb 03 15:12:32 GMT 2025","Mon Feb 03 15:12:32 GMT 2025","432","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Mon Feb 03 15:15:44 GMT 2025","Mon Feb 03 15:15:44 GMT 2025","48","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"passed","Mon Feb 03 15:12:20 GMT 2025","Mon Feb 03 15:12:21 GMT 2025","491","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Mon Feb 03 15:12:24 GMT 2025","Mon Feb 03 15:12:25 GMT 2025","1006","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography",""
"passed","Mon Feb 03 15:13:03 GMT 2025","Mon Feb 03 15:13:04 GMT 2025","1443","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_use_engine",""
"passed","Mon Feb 03 15:12:49 GMT 2025","Mon Feb 03 15:12:53 GMT 2025","3951","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_from_another_connection",""
"passed","Mon Feb 03 15:12:33 GMT 2025","Mon Feb 03 15:12:34 GMT 2025","658","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Mon Feb 03 15:15:44 GMT 2025","Mon Feb 03 15:15:44 GMT 2025","48","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"skipped","Mon Feb 03 15:12:32 GMT 2025","Mon Feb 03 15:12:32 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Mon Feb 03 15:12:24 GMT 2025","Mon Feb 03 15:12:30 GMT 2025","6573","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Mon Feb 03 15:12:55 GMT 2025","Mon Feb 03 15:12:56 GMT 2025","1149","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout",""
"passed","Mon Feb 03 15:12:21 GMT 2025","Mon Feb 03 15:12:22 GMT 2025","861","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan",""
"passed","Mon Feb 03 15:15:44 GMT 2025","Mon Feb 03 15:15:44 GMT 2025","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Mon Feb 03 15:20:02 GMT 2025","Mon Feb 03 15:20:03 GMT 2025","1022","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars","Query parameters are handled properly."
"passed","Mon Feb 03 15:12:38 GMT 2025","Mon Feb 03 15:12:38 GMT 2025","227","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter",""
"passed","Mon Feb 03 15:12:24 GMT 2025","Mon Feb 03 15:15:42 GMT 2025","198677","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Mon Feb 03 15:12:56 GMT 2025","Mon Feb 03 15:16:05 GMT 2025","188836","tests.integration.resource_manager.V2","test_engine","","","","test_create_start_stop_engine",""
"passed","Mon Feb 03 15:12:38 GMT 2025","Mon Feb 03 15:12:40 GMT 2025","1811","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Mon Feb 03 15:12:22 GMT 2025","Mon Feb 03 15:12:24 GMT 2025","1502","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Mon Feb 03 15:12:29 GMT 2025","Mon Feb 03 15:12:31 GMT 2025","1594","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout",""
"passed","Mon Feb 03 15:12:25 GMT 2025","Mon Feb 03 15:12:30 GMT 2025","5035","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_from_another_connection",""
"passed","Mon Feb 03 15:12:39 GMT 2025","Mon Feb 03 15:12:41 GMT 2025","2350","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Mon Feb 03 15:12:37 GMT 2025","Mon Feb 03 15:12:37 GMT 2025","243","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query_with_special_chars","Query parameters are handled properly."
"passed","Mon Feb 03 15:13:04 GMT 2025","Mon Feb 03 15:19:47 GMT 2025","402517","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"passed","Mon Feb 03 15:12:52 GMT 2025","Mon Feb 03 15:13:02 GMT 2025","10451","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Mon Feb 03 15:12:28 GMT 2025","Mon Feb 03 15:12:29 GMT 2025","1687","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Mon Feb 03 15:12:22 GMT 2025","Mon Feb 03 15:12:24 GMT 2025","1499","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Mon Feb 03 15:12:22 GMT 2025","Mon Feb 03 15:12:23 GMT 2025","1407","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
"passed","Mon Feb 03 15:15:55 GMT 2025","Mon Feb 03 15:15:56 GMT 2025","825","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async_running",""
"passed","Mon Feb 03 15:12:22 GMT 2025","Mon Feb 03 15:12:24 GMT 2025","2291","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Mon Feb 03 15:12:39 GMT 2025","Mon Feb 03 15:12:40 GMT 2025","1700","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Mon Feb 03 15:12:53 GMT 2025","Mon Feb 03 15:12:54 GMT 2025","1102","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Mon Feb 03 15:12:34 GMT 2025","Mon Feb 03 15:12:34 GMT 2025","512","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Mon Feb 03 15:15:42 GMT 2025","Mon Feb 03 15:15:44 GMT 2025","1369","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async_running",""
"passed","Mon Feb 03 15:12:25 GMT 2025","Mon Feb 03 15:12:29 GMT 2025","3481","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_query_fails",""
"passed","Mon Feb 03 15:12:38 GMT 2025","Mon Feb 03 15:12:39 GMT 2025","945","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Mon Feb 03 15:12:48 GMT 2025","Mon Feb 03 15:12:48 GMT 2025","233","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography",""
